기준연월,시도명,시군구,행정동,소비금액비율
2026,전북특별자치도,전주시 덕진구,금암동,24.58
2026,전북특별자치도,익산시,신동,24.49
2026,전북특별자치도,군산시,수송동,20.48
2026,전북특별자치도,전주시 완산구,중화산1동,16.93
2026,전북특별자치도,전주시 덕진구,우아1동,13.52
2025,전북특별자치도,전주시 덕진구,금암동,27.48
2025,전북특별자치도,익산시,신동,18.19
2025,전북특별자치도,군산시,수송동,25.4
2025,전북특별자치도,전주시 완산구,중화산1동,19.11
2025,전북특별자치도,전주시 덕진구,우아1동,9.82
2024,전북특별자치도,전주시 덕진구,금암동,19.01
2024,전북특별자치도,익산시,신동,17.28
2024,전북특별자치도,군산시,수송동,25.37
2024,전북특별자치도,전주시 완산구,중화산1동,17.96
2024,전북특별자치도,전주시 덕진구,우아1동,20.39
2023,전북특별자치도,전주시 덕진구,금암동,27.12
2023,전북특별자치도,익산시,신동,18.05
2023,전북특별자치도,군산시,수송동,21.71
2023,전북특별자치도,전주시 완산구,중화산1동,17.96
2023,전북특별자치도,전주시 덕진구,우아1동,15.16
2022,전북특별자치도,전주시 덕진구,금암동,24.22
2022,전북특별자치도,익산시,신동,15.43
2022,전북특별자치도,군산시,수송동,16.4
2022,전북특별자치도,전주시 완산구,중화산1동,24.21
2022,전북특별자치도,전주시 덕진구,우아1동,19.75
2021,전북특별자치도,전주시 덕진구,금암동,15.05
2021,전북특별자치도,익산시,신동,15.64
2021,전북특별자치도,군산시,수송동,21.2
2021,전북특별자치도,전주시 완산구,중화산1동,25.28
2021,전북특별자치도,전주시 덕진구,우아1동,22.84
2020,전북특별자치도,전주시 덕진구,금암동,24.56
2020,전북특별자치도,익산시,신동,10.34
2020,전북특별자치도,군산시,수송동,14.43
2020,전북특별자치도,전주시 완산구,중화산1동,23.55
2020,전북특별자치도,전주시 덕진구,우아1동,27.12
2019,전북특별자치도,전주시 덕진구,금암동,35.82
2019,전북특별자치도,익산시,신동,17.94
2019,전북특별자치도,군산시,수송동,20.85
2019,전북특별자치도,전주시 완산구,중화산1동,8.85
2019,전북특별자치도,전주시 덕진구,우아1동,16.54
2018,전북특별자치도,전주시 덕진구,금암동,25.95
2018,전북특별자치도,익산시,신동,37.17
2018,전북특별자치도,군산시,수송동,16.54
2018,전북특별자치도,전주시 완산구,중화산1동,12.27
2018,전북특별자치도,전주시 덕진구,우아1동,8.07
