기준연월,시도명,소비건수비율
202512,서울특별시,76.16
202512,경기도,7.96
202512,부산광역시,7.96
202512,인천광역시,5.93
202512,제주특별자치도,2.0
202511,서울특별시,77.49
202511,경기도,7.22
202511,부산광역시,7.69
202511,인천광역시,5.81
202511,제주특별자치도,1.79
202510,서울특별시,76.44
202510,경기도,7.84
202510,부산광역시,7.65
202510,인천광역시,5.94
202510,제주특별자치도,2.13
202509,서울특별시,77.58
202509,경기도,7.35
202509,부산광역시,8.04
202509,인천광역시,4.84
202509,제주특별자치도,2.2
202508,서울특별시,76.31
202508,경기도,9.21
202508,부산광역시,7.25
202508,인천광역시,4.69
202508,제주특별자치도,2.53
202507,서울특별시,75.96
202507,경기도,10.46
202507,부산광역시,6.84
202507,인천광역시,4.59
202507,제주특별자치도,2.15
202506,서울특별시,77.25
202506,경기도,9.52
202506,부산광역시,7.02
202506,인천광역시,4.19
202506,제주특별자치도,2.02
202505,서울특별시,77.42
202505,경기도,9.01
202505,부산광역시,7.32
202505,인천광역시,4.21
202505,제주특별자치도,2.04
202504,서울특별시,77.8
202504,경기도,9.28
202504,부산광역시,6.78
202504,인천광역시,4.31
202504,제주특별자치도,1.83
202503,서울특별시,78.09
202503,경기도,9.84
202503,부산광역시,6.01
202503,인천광역시,4.61
202503,제주특별자치도,1.44
202502,서울특별시,75.95
202502,경기도,12.13
202502,부산광역시,5.33
202502,인천광역시,5.16
202502,제주특별자치도,1.43
202501,서울특별시,74.33
202501,경기도,12.7
202501,부산광역시,5.58
202501,인천광역시,5.78
202501,제주특별자치도,1.6
