기준연월,시도명,소비금액비율
202512,서울특별시,89.54
202512,부산광역시,4.61
202512,경기도,2.91
202512,제주특별자치도,1.64
202512,인천광역시,1.29
202511,서울특별시,89.95
202511,부산광역시,4.07
202511,경기도,3.09
202511,제주특별자치도,1.39
202511,인천광역시,1.49
202510,서울특별시,89.47
202510,부산광역시,3.92
202510,경기도,3.48
202510,제주특별자치도,1.47
202510,인천광역시,1.65
202509,서울특별시,89.4
202509,부산광역시,4.29
202509,경기도,3.32
202509,제주특별자치도,1.6
202509,인천광역시,1.39
202508,서울특별시,88.86
202508,부산광역시,3.89
202508,경기도,3.78
202508,제주특별자치도,1.98
202508,인천광역시,1.5
202507,서울특별시,88.25
202507,부산광역시,4.06
202507,경기도,4.3
202507,제주특별자치도,1.79
202507,인천광역시,1.6
202506,서울특별시,88.82
202506,부산광역시,4.12
202506,경기도,4.25
202506,제주특별자치도,1.53
202506,인천광역시,1.28
202505,서울특별시,89.08
202505,부산광역시,4.3
202505,경기도,3.76
202505,제주특별자치도,1.53
202505,인천광역시,1.33
202504,서울특별시,90.16
202504,부산광역시,3.55
202504,경기도,3.91
202504,제주특별자치도,1.1
202504,인천광역시,1.28
202503,서울특별시,89.64
202503,부산광역시,3.63
202503,경기도,4.33
202503,제주특별자치도,1.12
202503,인천광역시,1.27
202502,서울특별시,88.57
202502,부산광역시,3.58
202502,경기도,4.83
202502,제주특별자치도,1.14
202502,인천광역시,1.88
202501,서울특별시,87.6
202501,부산광역시,3.42
202501,경기도,5.67
202501,제주특별자치도,1.51
202501,인천광역시,1.8
