기준연월,시도명,시군구,행정동,소비건수비율
202512,서울특별시,중구,명동,35.49
202512,서울특별시,마포구,서교동,24.04
202512,서울특별시,강남구,역삼1동,17.5
202512,서울특별시,서초구,서초4동,14.52
202512,서울특별시,강남구,논현1동,8.44
202511,서울특별시,중구,명동,38.71
202511,서울특별시,마포구,서교동,22.45
202511,서울특별시,강남구,역삼1동,16.79
202511,서울특별시,서초구,서초4동,14.05
202511,서울특별시,강남구,논현1동,8.0
202510,서울특별시,중구,명동,36.81
202510,서울특별시,마포구,서교동,25.37
202510,서울특별시,강남구,역삼1동,16.93
202510,서울특별시,서초구,서초4동,12.76
202510,서울특별시,강남구,논현1동,8.12
202509,서울특별시,중구,명동,32.62
202509,서울특별시,마포구,서교동,26.17
202509,서울특별시,강남구,역삼1동,18.5
202509,서울특별시,서초구,서초4동,14.11
202509,서울특별시,강남구,논현1동,8.59
202508,서울특별시,중구,명동,30.88
202508,서울특별시,마포구,서교동,25.93
202508,서울특별시,강남구,역삼1동,19.08
202508,서울특별시,서초구,서초4동,14.6
202508,서울특별시,강남구,논현1동,9.5
202507,서울특별시,중구,명동,30.61
202507,서울특별시,마포구,서교동,24.47
202507,서울특별시,강남구,역삼1동,18.25
202507,서울특별시,서초구,서초4동,17.07
202507,서울특별시,강남구,논현1동,9.59
202506,서울특별시,중구,명동,31.67
202506,서울특별시,마포구,서교동,25.98
202506,서울특별시,강남구,역삼1동,17.2
202506,서울특별시,서초구,서초4동,15.97
202506,서울특별시,강남구,논현1동,9.17
202505,서울특별시,중구,명동,29.72
202505,서울특별시,마포구,서교동,26.31
202505,서울특별시,강남구,역삼1동,18.91
202505,서울특별시,서초구,서초4동,15.8
202505,서울특별시,강남구,논현1동,9.26
202504,서울특별시,중구,명동,31.02
202504,서울특별시,마포구,서교동,23.94
202504,서울특별시,강남구,역삼1동,18.86
202504,서울특별시,서초구,서초4동,16.49
202504,서울특별시,강남구,논현1동,9.69
202503,서울특별시,중구,명동,30.08
202503,서울특별시,마포구,서교동,22.51
202503,서울특별시,강남구,역삼1동,20.6
202503,서울특별시,서초구,서초4동,17.2
202503,서울특별시,강남구,논현1동,9.61
202502,서울특별시,중구,명동,27.39
202502,서울특별시,마포구,서교동,20.44
202502,서울특별시,강남구,역삼1동,22.64
202502,서울특별시,서초구,서초4동,18.86
202502,서울특별시,강남구,논현1동,10.67
202501,서울특별시,중구,명동,28.53
202501,서울특별시,마포구,서교동,20.93
202501,서울특별시,강남구,역삼1동,22.03
202501,서울특별시,서초구,서초4동,18.37
202501,서울특별시,강남구,논현1동,10.14
