기준연월,시도명,시군구,행정동,소비금액비율
202512,서울특별시,서초구,서초4동,28.45
202512,서울특별시,중구,명동,19.71
202512,서울특별시,강남구,역삼1동,18.99
202512,서울특별시,마포구,서교동,18.03
202512,서울특별시,강남구,논현1동,14.82
202511,서울특별시,서초구,서초4동,27.17
202511,서울특별시,중구,명동,21.84
202511,서울특별시,강남구,역삼1동,18.34
202511,서울특별시,마포구,서교동,17.65
202511,서울특별시,강남구,논현1동,14.99
202510,서울특별시,서초구,서초4동,25.01
202510,서울특별시,중구,명동,20.91
202510,서울특별시,강남구,역삼1동,18.66
202510,서울특별시,마포구,서교동,18.83
202510,서울특별시,강남구,논현1동,16.6
202509,서울특별시,서초구,서초4동,26.93
202509,서울특별시,중구,명동,19.81
202509,서울특별시,강남구,역삼1동,18.84
202509,서울특별시,마포구,서교동,18.72
202509,서울특별시,강남구,논현1동,15.7
202508,서울특별시,서초구,서초4동,26.77
202508,서울특별시,중구,명동,19.09
202508,서울특별시,강남구,역삼1동,18.52
202508,서울특별시,마포구,서교동,18.48
202508,서울특별시,강남구,논현1동,17.13
202507,서울특별시,서초구,서초4동,27.29
202507,서울특별시,중구,명동,19.68
202507,서울특별시,강남구,역삼1동,18.46
202507,서울특별시,마포구,서교동,17.54
202507,서울특별시,강남구,논현1동,17.03
202506,서울특별시,서초구,서초4동,26.61
202506,서울특별시,중구,명동,19.77
202506,서울특별시,강남구,역삼1동,17.34
202506,서울특별시,마포구,서교동,19.35
202506,서울특별시,강남구,논현1동,16.93
202505,서울특별시,서초구,서초4동,28.42
202505,서울특별시,중구,명동,17.03
202505,서울특별시,강남구,역삼1동,19.36
202505,서울특별시,마포구,서교동,19.26
202505,서울특별시,강남구,논현1동,15.93
202504,서울특별시,서초구,서초4동,27.42
202504,서울특별시,중구,명동,19.49
202504,서울특별시,강남구,역삼1동,18.95
202504,서울특별시,마포구,서교동,16.8
202504,서울특별시,강남구,논현1동,17.33
202503,서울특별시,서초구,서초4동,28.7
202503,서울특별시,중구,명동,19.3
202503,서울특별시,강남구,역삼1동,18.27
202503,서울특별시,마포구,서교동,17.79
202503,서울특별시,강남구,논현1동,15.94
202502,서울특별시,서초구,서초4동,29.08
202502,서울특별시,중구,명동,15.95
202502,서울특별시,강남구,역삼1동,20.12
202502,서울특별시,마포구,서교동,16.24
202502,서울특별시,강남구,논현1동,18.62
202501,서울특별시,서초구,서초4동,29.46
202501,서울특별시,중구,명동,16.98
202501,서울특별시,강남구,역삼1동,20.02
202501,서울특별시,마포구,서교동,16.23
202501,서울특별시,강남구,논현1동,17.31
