기준연월,시도명,시군구,행정동,소비건수비율
202512,부산광역시,부산진구,부전2동,42.55
202512,부산광역시,해운대구,중1동,24.25
202512,부산광역시,중구,광복동,20.05
202512,부산광역시,중구,남포동,8.41
202512,부산광역시,부산진구,부전1동,4.73
202511,부산광역시,부산진구,부전2동,42.09
202511,부산광역시,해운대구,중1동,17.65
202511,부산광역시,중구,광복동,25.2
202511,부산광역시,중구,남포동,9.7
202511,부산광역시,부산진구,부전1동,5.37
202510,부산광역시,부산진구,부전2동,42.95
202510,부산광역시,해운대구,중1동,20.28
202510,부산광역시,중구,광복동,22.45
202510,부산광역시,중구,남포동,9.23
202510,부산광역시,부산진구,부전1동,5.08
202509,부산광역시,부산진구,부전2동,46.84
202509,부산광역시,해운대구,중1동,20.12
202509,부산광역시,중구,광복동,19.61
202509,부산광역시,중구,남포동,8.43
202509,부산광역시,부산진구,부전1동,4.99
202508,부산광역시,부산진구,부전2동,49.59
202508,부산광역시,해운대구,중1동,18.49
202508,부산광역시,중구,광복동,18.23
202508,부산광역시,중구,남포동,8.17
202508,부산광역시,부산진구,부전1동,5.52
202507,부산광역시,부산진구,부전2동,48.99
202507,부산광역시,해운대구,중1동,20.19
202507,부산광역시,중구,광복동,17.25
202507,부산광역시,중구,남포동,7.86
202507,부산광역시,부산진구,부전1동,5.71
202506,부산광역시,부산진구,부전2동,49.05
202506,부산광역시,해운대구,중1동,21.12
202506,부산광역시,중구,광복동,17.95
202506,부산광역시,중구,남포동,6.55
202506,부산광역시,부산진구,부전1동,5.33
202505,부산광역시,부산진구,부전2동,50.7
202505,부산광역시,해운대구,중1동,19.7
202505,부산광역시,중구,광복동,17.41
202505,부산광역시,중구,남포동,7.13
202505,부산광역시,부산진구,부전1동,5.07
202504,부산광역시,부산진구,부전2동,49.02
202504,부산광역시,해운대구,중1동,23.47
202504,부산광역시,중구,광복동,15.2
202504,부산광역시,중구,남포동,6.0
202504,부산광역시,부산진구,부전1동,6.3
202503,부산광역시,부산진구,부전2동,56.3
202503,부산광역시,해운대구,중1동,17.01
202503,부산광역시,중구,광복동,14.09
202503,부산광역시,중구,남포동,6.07
202503,부산광역시,부산진구,부전1동,6.53
202502,부산광역시,부산진구,부전2동,62.21
202502,부산광역시,해운대구,중1동,12.66
202502,부산광역시,중구,광복동,12.73
202502,부산광역시,중구,남포동,5.95
202502,부산광역시,부산진구,부전1동,6.45
202501,부산광역시,부산진구,부전2동,59.63
202501,부산광역시,해운대구,중1동,14.37
202501,부산광역시,중구,광복동,12.88
202501,부산광역시,중구,남포동,6.29
202501,부산광역시,부산진구,부전1동,6.82
