기준연월,시도명,시군구,행정동,소비금액비율
202512,부산광역시,부산진구,부전2동,70.33
202512,부산광역시,해운대구,중1동,14.85
202512,부산광역시,중구,광복동,7.18
202512,부산광역시,해운대구,우2동,3.9
202512,부산광역시,부산진구,부전1동,3.73
202511,부산광역시,부산진구,부전2동,75.53
202511,부산광역시,해운대구,중1동,8.77
202511,부산광역시,중구,광복동,8.99
202511,부산광역시,해운대구,우2동,3.55
202511,부산광역시,부산진구,부전1동,3.15
202510,부산광역시,부산진구,부전2동,76.48
202510,부산광역시,해운대구,중1동,6.99
202510,부산광역시,중구,광복동,8.39
202510,부산광역시,해운대구,우2동,3.97
202510,부산광역시,부산진구,부전1동,4.16
202509,부산광역시,부산진구,부전2동,78.43
202509,부산광역시,해운대구,중1동,6.25
202509,부산광역시,중구,광복동,6.78
202509,부산광역시,해운대구,우2동,3.98
202509,부산광역시,부산진구,부전1동,4.56
202508,부산광역시,부산진구,부전2동,80.47
202508,부산광역시,해운대구,중1동,4.64
202508,부산광역시,중구,광복동,7.09
202508,부산광역시,해운대구,우2동,3.16
202508,부산광역시,부산진구,부전1동,4.63
202507,부산광역시,부산진구,부전2동,80.63
202507,부산광역시,해운대구,중1동,5.44
202507,부산광역시,중구,광복동,5.52
202507,부산광역시,해운대구,우2동,4.94
202507,부산광역시,부산진구,부전1동,3.47
202506,부산광역시,부산진구,부전2동,80.05
202506,부산광역시,해운대구,중1동,5.97
202506,부산광역시,중구,광복동,6.17
202506,부산광역시,해운대구,우2동,3.82
202506,부산광역시,부산진구,부전1동,3.99
202505,부산광역시,부산진구,부전2동,82.48
202505,부산광역시,해운대구,중1동,4.6
202505,부산광역시,중구,광복동,6.16
202505,부산광역시,해운대구,우2동,3.75
202505,부산광역시,부산진구,부전1동,3.0
202504,부산광역시,부산진구,부전2동,82.28
202504,부산광역시,해운대구,중1동,4.05
202504,부산광역시,중구,광복동,5.07
202504,부산광역시,해운대구,우2동,4.43
202504,부산광역시,부산진구,부전1동,4.18
202503,부산광역시,부산진구,부전2동,83.71
202503,부산광역시,해운대구,중1동,2.47
202503,부산광역시,중구,광복동,5.64
202503,부산광역시,해운대구,우2동,5.28
202503,부산광역시,부산진구,부전1동,2.9
202502,부산광역시,부산진구,부전2동,84.8
202502,부산광역시,해운대구,중1동,2.15
202502,부산광역시,중구,광복동,6.32
202502,부산광역시,해운대구,우2동,4.86
202502,부산광역시,부산진구,부전1동,1.88
202501,부산광역시,부산진구,부전2동,86.19
202501,부산광역시,해운대구,중1동,2.27
202501,부산광역시,중구,광복동,5.09
202501,부산광역시,해운대구,우2동,3.94
202501,부산광역시,부산진구,부전1동,2.51
