기준연월,시도명,시군구,행정동,소비건수비율
202512,대구광역시,중구,성내1동,38.28
202512,대구광역시,달서구,신당동,20.98
202512,대구광역시,중구,성내2동,17.07
202512,대구광역시,중구,삼덕동,15.58
202512,대구광역시,동구,신암4동,8.1
202511,대구광역시,중구,성내1동,34.24
202511,대구광역시,달서구,신당동,23.16
202511,대구광역시,중구,성내2동,19.04
202511,대구광역시,중구,삼덕동,15.98
202511,대구광역시,동구,신암4동,7.58
202510,대구광역시,중구,성내1동,59.3
202510,대구광역시,달서구,신당동,13.16
202510,대구광역시,중구,성내2동,12.4
202510,대구광역시,중구,삼덕동,10.82
202510,대구광역시,동구,신암4동,4.33
202509,대구광역시,중구,성내1동,63.59
202509,대구광역시,달서구,신당동,10.23
202509,대구광역시,중구,성내2동,11.37
202509,대구광역시,중구,삼덕동,9.56
202509,대구광역시,동구,신암4동,5.26
202508,대구광역시,중구,성내1동,62.82
202508,대구광역시,달서구,신당동,7.52
202508,대구광역시,중구,성내2동,11.81
202508,대구광역시,중구,삼덕동,11.02
202508,대구광역시,동구,신암4동,6.82
202507,대구광역시,중구,성내1동,61.35
202507,대구광역시,달서구,신당동,6.88
202507,대구광역시,중구,성내2동,12.05
202507,대구광역시,중구,삼덕동,12.96
202507,대구광역시,동구,신암4동,6.76
202506,대구광역시,중구,성내1동,63.63
202506,대구광역시,달서구,신당동,7.22
202506,대구광역시,중구,성내2동,11.8
202506,대구광역시,중구,삼덕동,11.47
202506,대구광역시,동구,신암4동,5.88
202505,대구광역시,중구,성내1동,63.94
202505,대구광역시,달서구,신당동,6.04
202505,대구광역시,중구,성내2동,11.72
202505,대구광역시,중구,삼덕동,11.55
202505,대구광역시,동구,신암4동,6.74
202504,대구광역시,중구,성내1동,63.62
202504,대구광역시,달서구,신당동,7.57
202504,대구광역시,중구,성내2동,11.79
202504,대구광역시,중구,삼덕동,10.44
202504,대구광역시,동구,신암4동,6.59
202503,대구광역시,중구,성내1동,64.55
202503,대구광역시,달서구,신당동,6.98
202503,대구광역시,중구,성내2동,10.46
202503,대구광역시,중구,삼덕동,10.14
202503,대구광역시,동구,신암4동,7.87
202502,대구광역시,중구,성내1동,58.64
202502,대구광역시,달서구,신당동,9.05
202502,대구광역시,중구,성내2동,11.32
202502,대구광역시,중구,삼덕동,12.16
202502,대구광역시,동구,신암4동,8.83
202501,대구광역시,중구,성내1동,56.51
202501,대구광역시,달서구,신당동,8.03
202501,대구광역시,중구,성내2동,10.93
202501,대구광역시,중구,삼덕동,14.48
202501,대구광역시,동구,신암4동,10.04
