기준연월,시도명,시군구,행정동,소비금액비율
202512,대구광역시,중구,성내1동,54.68
202512,대구광역시,중구,삼덕동,19.52
202512,대구광역시,달서구,신당동,14.87
202512,대구광역시,중구,성내2동,6.9
202512,대구광역시,북구,국우동,4.02
202511,대구광역시,중구,성내1동,48.29
202511,대구광역시,중구,삼덕동,21.76
202511,대구광역시,달서구,신당동,18.92
202511,대구광역시,중구,성내2동,9.4
202511,대구광역시,북구,국우동,1.63
202510,대구광역시,중구,성내1동,75.06
202510,대구광역시,중구,삼덕동,11.75
202510,대구광역시,달서구,신당동,6.27
202510,대구광역시,중구,성내2동,3.84
202510,대구광역시,북구,국우동,3.09
202509,대구광역시,중구,성내1동,75.59
202509,대구광역시,중구,삼덕동,11.72
202509,대구광역시,달서구,신당동,4.92
202509,대구광역시,중구,성내2동,4.86
202509,대구광역시,북구,국우동,2.91
202508,대구광역시,중구,성내1동,60.2
202508,대구광역시,중구,삼덕동,10.95
202508,대구광역시,달서구,신당동,3.41
202508,대구광역시,중구,성내2동,3.74
202508,대구광역시,북구,국우동,21.7
202507,대구광역시,중구,성내1동,76.14
202507,대구광역시,중구,삼덕동,14.47
202507,대구광역시,달서구,신당동,1.9
202507,대구광역시,중구,성내2동,6.0
202507,대구광역시,북구,국우동,1.5
202506,대구광역시,중구,성내1동,76.35
202506,대구광역시,중구,삼덕동,11.78
202506,대구광역시,달서구,신당동,2.12
202506,대구광역시,중구,성내2동,4.2
202506,대구광역시,북구,국우동,5.55
202505,대구광역시,중구,성내1동,80.12
202505,대구광역시,중구,삼덕동,12.11
202505,대구광역시,달서구,신당동,2.23
202505,대구광역시,중구,성내2동,4.88
202505,대구광역시,북구,국우동,0.66
202504,대구광역시,중구,성내1동,78.44
202504,대구광역시,중구,삼덕동,13.51
202504,대구광역시,달서구,신당동,3.33
202504,대구광역시,중구,성내2동,3.53
202504,대구광역시,북구,국우동,1.19
202503,대구광역시,중구,성내1동,82.64
202503,대구광역시,중구,삼덕동,9.14
202503,대구광역시,달서구,신당동,2.85
202503,대구광역시,중구,성내2동,5.19
202503,대구광역시,북구,국우동,0.19
202502,대구광역시,중구,성내1동,78.34
202502,대구광역시,중구,삼덕동,11.86
202502,대구광역시,달서구,신당동,2.85
202502,대구광역시,중구,성내2동,5.87
202502,대구광역시,북구,국우동,1.08
202501,대구광역시,중구,성내1동,68.79
202501,대구광역시,중구,삼덕동,19.45
202501,대구광역시,달서구,신당동,4.79
202501,대구광역시,중구,성내2동,5.74
202501,대구광역시,북구,국우동,1.23
