기준연월,시도명,시군구,행정동,소비건수비율
202512,광주광역시,서구,치평동,33.64
202512,광주광역시,동구,서남동,21.01
202512,광주광역시,광산구,어룡동,17.12
202512,광주광역시,서구,농성1동,16.21
202512,광주광역시,서구,광천동,12.03
202511,광주광역시,서구,치평동,31.85
202511,광주광역시,동구,서남동,22.19
202511,광주광역시,광산구,어룡동,21.37
202511,광주광역시,서구,농성1동,11.9
202511,광주광역시,서구,광천동,12.69
202510,광주광역시,서구,치평동,34.27
202510,광주광역시,동구,서남동,21.73
202510,광주광역시,광산구,어룡동,23.0
202510,광주광역시,서구,농성1동,10.37
202510,광주광역시,서구,광천동,10.63
202509,광주광역시,서구,치평동,52.68
202509,광주광역시,동구,서남동,17.27
202509,광주광역시,광산구,어룡동,12.78
202509,광주광역시,서구,농성1동,9.59
202509,광주광역시,서구,광천동,7.67
202508,광주광역시,서구,치평동,46.5
202508,광주광역시,동구,서남동,13.22
202508,광주광역시,광산구,어룡동,11.69
202508,광주광역시,서구,농성1동,14.68
202508,광주광역시,서구,광천동,13.91
202507,광주광역시,서구,치평동,49.68
202507,광주광역시,동구,서남동,16.87
202507,광주광역시,광산구,어룡동,11.88
202507,광주광역시,서구,농성1동,9.34
202507,광주광역시,서구,광천동,12.22
202506,광주광역시,서구,치평동,42.8
202506,광주광역시,동구,서남동,12.02
202506,광주광역시,광산구,어룡동,16.68
202506,광주광역시,서구,농성1동,15.24
202506,광주광역시,서구,광천동,13.26
202505,광주광역시,서구,치평동,40.88
202505,광주광역시,동구,서남동,14.83
202505,광주광역시,광산구,어룡동,16.15
202505,광주광역시,서구,농성1동,11.03
202505,광주광역시,서구,광천동,17.11
202504,광주광역시,서구,치평동,40.13
202504,광주광역시,동구,서남동,16.24
202504,광주광역시,광산구,어룡동,14.68
202504,광주광역시,서구,농성1동,17.72
202504,광주광역시,서구,광천동,11.22
202503,광주광역시,서구,치평동,43.19
202503,광주광역시,동구,서남동,12.17
202503,광주광역시,광산구,어룡동,19.11
202503,광주광역시,서구,농성1동,10.53
202503,광주광역시,서구,광천동,14.99
202502,광주광역시,서구,치평동,47.66
202502,광주광역시,동구,서남동,11.05
202502,광주광역시,광산구,어룡동,4.24
202502,광주광역시,서구,농성1동,18.97
202502,광주광역시,서구,광천동,18.08
202501,광주광역시,서구,치평동,40.47
202501,광주광역시,동구,서남동,14.45
202501,광주광역시,광산구,어룡동,10.92
202501,광주광역시,서구,농성1동,16.06
202501,광주광역시,서구,광천동,18.09
