기준연월,시도명,시군구,행정동,소비금액비율
202512,광주광역시,서구,치평동,40.16
202512,광주광역시,서구,농성1동,25.83
202512,광주광역시,동구,학동,20.04
202512,광주광역시,광산구,수완동,11.59
202512,광주광역시,서구,광천동,2.39
202511,광주광역시,서구,치평동,37.57
202511,광주광역시,서구,농성1동,39.36
202511,광주광역시,동구,학동,6.58
202511,광주광역시,광산구,수완동,10.15
202511,광주광역시,서구,광천동,6.33
202510,광주광역시,서구,치평동,35.24
202510,광주광역시,서구,농성1동,17.86
202510,광주광역시,동구,학동,23.54
202510,광주광역시,광산구,수완동,17.73
202510,광주광역시,서구,광천동,5.63
202509,광주광역시,서구,치평동,58.4
202509,광주광역시,서구,농성1동,22.07
202509,광주광역시,동구,학동,6.94
202509,광주광역시,광산구,수완동,5.25
202509,광주광역시,서구,광천동,7.33
202508,광주광역시,서구,치평동,47.11
202508,광주광역시,서구,농성1동,14.47
202508,광주광역시,동구,학동,27.52
202508,광주광역시,광산구,수완동,3.23
202508,광주광역시,서구,광천동,7.67
202507,광주광역시,서구,치평동,44.45
202507,광주광역시,서구,농성1동,7.8
202507,광주광역시,동구,학동,23.82
202507,광주광역시,광산구,수완동,14.74
202507,광주광역시,서구,광천동,9.19
202506,광주광역시,서구,치평동,44.34
202506,광주광역시,서구,농성1동,20.65
202506,광주광역시,동구,학동,10.29
202506,광주광역시,광산구,수완동,11.93
202506,광주광역시,서구,광천동,12.79
202505,광주광역시,서구,치평동,60.2
202505,광주광역시,서구,농성1동,15.35
202505,광주광역시,동구,학동,14.27
202505,광주광역시,광산구,수완동,6.48
202505,광주광역시,서구,광천동,3.71
202504,광주광역시,서구,치평동,45.52
202504,광주광역시,서구,농성1동,28.16
202504,광주광역시,동구,학동,17.26
202504,광주광역시,광산구,수완동,3.33
202504,광주광역시,서구,광천동,5.74
202503,광주광역시,서구,치평동,76.71
202503,광주광역시,서구,농성1동,9.54
202503,광주광역시,동구,학동,6.67
202503,광주광역시,광산구,수완동,4.53
202503,광주광역시,서구,광천동,2.56
202502,광주광역시,서구,치평동,54.9
202502,광주광역시,서구,농성1동,22.75
202502,광주광역시,동구,학동,8.56
202502,광주광역시,광산구,수완동,3.47
202502,광주광역시,서구,광천동,10.32
202501,광주광역시,서구,치평동,57.26
202501,광주광역시,서구,농성1동,14.14
202501,광주광역시,동구,학동,12.59
202501,광주광역시,광산구,수완동,2.07
202501,광주광역시,서구,광천동,13.94
