기준연월,시도명,시군구,행정동,소비건수비율
202512,대전광역시,서구,둔산2동,51.22
202512,대전광역시,동구,자양동,15.19
202512,대전광역시,유성구,온천1동,13.31
202512,대전광역시,중구,대사동,10.53
202512,대전광역시,유성구,온천2동,9.74
202511,대전광역시,서구,둔산2동,45.34
202511,대전광역시,동구,자양동,18.83
202511,대전광역시,유성구,온천1동,10.43
202511,대전광역시,중구,대사동,10.95
202511,대전광역시,유성구,온천2동,14.46
202510,대전광역시,서구,둔산2동,47.3
202510,대전광역시,동구,자양동,16.54
202510,대전광역시,유성구,온천1동,13.96
202510,대전광역시,중구,대사동,8.13
202510,대전광역시,유성구,온천2동,14.07
202509,대전광역시,서구,둔산2동,46.85
202509,대전광역시,동구,자양동,15.78
202509,대전광역시,유성구,온천1동,14.76
202509,대전광역시,중구,대사동,8.69
202509,대전광역시,유성구,온천2동,13.92
202508,대전광역시,서구,둔산2동,60.78
202508,대전광역시,동구,자양동,5.34
202508,대전광역시,유성구,온천1동,13.91
202508,대전광역시,중구,대사동,12.25
202508,대전광역시,유성구,온천2동,7.73
202507,대전광역시,서구,둔산2동,59.61
202507,대전광역시,동구,자양동,6.54
202507,대전광역시,유성구,온천1동,11.49
202507,대전광역시,중구,대사동,16.49
202507,대전광역시,유성구,온천2동,5.87
202506,대전광역시,서구,둔산2동,55.11
202506,대전광역시,동구,자양동,18.52
202506,대전광역시,유성구,온천1동,7.93
202506,대전광역시,중구,대사동,11.91
202506,대전광역시,유성구,온천2동,6.53
202505,대전광역시,서구,둔산2동,50.33
202505,대전광역시,동구,자양동,17.23
202505,대전광역시,유성구,온천1동,8.1
202505,대전광역시,중구,대사동,12.0
202505,대전광역시,유성구,온천2동,12.34
202504,대전광역시,서구,둔산2동,41.8
202504,대전광역시,동구,자양동,19.8
202504,대전광역시,유성구,온천1동,8.16
202504,대전광역시,중구,대사동,16.63
202504,대전광역시,유성구,온천2동,13.61
202503,대전광역시,서구,둔산2동,39.22
202503,대전광역시,동구,자양동,20.11
202503,대전광역시,유성구,온천1동,11.11
202503,대전광역시,중구,대사동,12.45
202503,대전광역시,유성구,온천2동,17.1
202502,대전광역시,서구,둔산2동,61.38
202502,대전광역시,동구,자양동,7.13
202502,대전광역시,유성구,온천1동,9.26
202502,대전광역시,중구,대사동,11.38
202502,대전광역시,유성구,온천2동,10.85
202501,대전광역시,서구,둔산2동,53.65
202501,대전광역시,동구,자양동,11.91
202501,대전광역시,유성구,온천1동,13.93
202501,대전광역시,중구,대사동,11.65
202501,대전광역시,유성구,온천2동,8.86
