기준연월,시도명,시군구,행정동,소비금액비율
202512,대전광역시,서구,둔산2동,54.91
202512,대전광역시,서구,가수원동,14.45
202512,대전광역시,중구,대사동,13.53
202512,대전광역시,유성구,온천1동,10.82
202512,대전광역시,서구,둔산1동,6.28
202511,대전광역시,서구,둔산2동,57.15
202511,대전광역시,서구,가수원동,8.23
202511,대전광역시,중구,대사동,24.67
202511,대전광역시,유성구,온천1동,3.7
202511,대전광역시,서구,둔산1동,6.25
202510,대전광역시,서구,둔산2동,54.96
202510,대전광역시,서구,가수원동,19.33
202510,대전광역시,중구,대사동,9.61
202510,대전광역시,유성구,온천1동,7.0
202510,대전광역시,서구,둔산1동,9.1
202509,대전광역시,서구,둔산2동,61.67
202509,대전광역시,서구,가수원동,15.5
202509,대전광역시,중구,대사동,10.03
202509,대전광역시,유성구,온천1동,8.02
202509,대전광역시,서구,둔산1동,4.79
202508,대전광역시,서구,둔산2동,61.51
202508,대전광역시,서구,가수원동,11.77
202508,대전광역시,중구,대사동,17.03
202508,대전광역시,유성구,온천1동,2.35
202508,대전광역시,서구,둔산1동,7.34
202507,대전광역시,서구,둔산2동,68.58
202507,대전광역시,서구,가수원동,6.0
202507,대전광역시,중구,대사동,11.11
202507,대전광역시,유성구,온천1동,9.39
202507,대전광역시,서구,둔산1동,4.91
202506,대전광역시,서구,둔산2동,53.65
202506,대전광역시,서구,가수원동,6.77
202506,대전광역시,중구,대사동,29.24
202506,대전광역시,유성구,온천1동,4.42
202506,대전광역시,서구,둔산1동,5.92
202505,대전광역시,서구,둔산2동,66.83
202505,대전광역시,서구,가수원동,2.14
202505,대전광역시,중구,대사동,18.33
202505,대전광역시,유성구,온천1동,7.62
202505,대전광역시,서구,둔산1동,5.08
202504,대전광역시,서구,둔산2동,63.15
202504,대전광역시,서구,가수원동,3.62
202504,대전광역시,중구,대사동,16.41
202504,대전광역시,유성구,온천1동,4.02
202504,대전광역시,서구,둔산1동,12.79
202503,대전광역시,서구,둔산2동,67.68
202503,대전광역시,서구,가수원동,1.44
202503,대전광역시,중구,대사동,8.34
202503,대전광역시,유성구,온천1동,10.32
202503,대전광역시,서구,둔산1동,12.23
202502,대전광역시,서구,둔산2동,54.59
202502,대전광역시,서구,가수원동,26.46
202502,대전광역시,중구,대사동,5.54
202502,대전광역시,유성구,온천1동,2.7
202502,대전광역시,서구,둔산1동,10.71
202501,대전광역시,서구,둔산2동,74.89
202501,대전광역시,서구,가수원동,5.66
202501,대전광역시,중구,대사동,4.24
202501,대전광역시,유성구,온천1동,2.58
202501,대전광역시,서구,둔산1동,12.62
