기준연월,시도명,시군구,행정동,소비건수비율
202512,울산광역시,남구,삼산동,59.48
202512,울산광역시,동구,전하1동,12.95
202512,울산광역시,남구,달동,10.18
202512,울산광역시,남구,무거동,9.37
202512,울산광역시,북구,효문동,8.03
202511,울산광역시,남구,삼산동,61.22
202511,울산광역시,동구,전하1동,15.54
202511,울산광역시,남구,달동,9.13
202511,울산광역시,남구,무거동,8.68
202511,울산광역시,북구,효문동,5.43
202510,울산광역시,남구,삼산동,67.31
202510,울산광역시,동구,전하1동,11.55
202510,울산광역시,남구,달동,8.13
202510,울산광역시,남구,무거동,7.11
202510,울산광역시,북구,효문동,5.9
202509,울산광역시,남구,삼산동,56.38
202509,울산광역시,동구,전하1동,22.14
202509,울산광역시,남구,달동,3.12
202509,울산광역시,남구,무거동,8.07
202509,울산광역시,북구,효문동,10.29
202508,울산광역시,남구,삼산동,60.78
202508,울산광역시,동구,전하1동,21.92
202508,울산광역시,남구,달동,4.79
202508,울산광역시,남구,무거동,4.29
202508,울산광역시,북구,효문동,8.23
202507,울산광역시,남구,삼산동,58.97
202507,울산광역시,동구,전하1동,14.5
202507,울산광역시,남구,달동,11.53
202507,울산광역시,남구,무거동,4.49
202507,울산광역시,북구,효문동,10.52
202506,울산광역시,남구,삼산동,64.78
202506,울산광역시,동구,전하1동,19.13
202506,울산광역시,남구,달동,8.64
202506,울산광역시,남구,무거동,1.66
202506,울산광역시,북구,효문동,5.8
202505,울산광역시,남구,삼산동,62.33
202505,울산광역시,동구,전하1동,16.34
202505,울산광역시,남구,달동,9.11
202505,울산광역시,남구,무거동,6.26
202505,울산광역시,북구,효문동,5.96
202504,울산광역시,남구,삼산동,59.14
202504,울산광역시,동구,전하1동,17.33
202504,울산광역시,남구,달동,10.33
202504,울산광역시,남구,무거동,7.2
202504,울산광역시,북구,효문동,6.0
202503,울산광역시,남구,삼산동,51.69
202503,울산광역시,동구,전하1동,21.97
202503,울산광역시,남구,달동,9.42
202503,울산광역시,남구,무거동,9.33
202503,울산광역시,북구,효문동,7.6
202502,울산광역시,남구,삼산동,60.11
202502,울산광역시,동구,전하1동,19.58
202502,울산광역시,남구,달동,10.6
202502,울산광역시,남구,무거동,5.46
202502,울산광역시,북구,효문동,4.24
202501,울산광역시,남구,삼산동,61.84
202501,울산광역시,동구,전하1동,17.29
202501,울산광역시,남구,달동,7.62
202501,울산광역시,남구,무거동,7.16
202501,울산광역시,북구,효문동,6.09
