기준연월,시도명,시군구,행정동,소비금액비율
202512,울산광역시,남구,삼산동,56.11
202512,울산광역시,남구,신정2동,19.53
202512,울산광역시,동구,전하1동,15.8
202512,울산광역시,남구,삼호동,6.64
202512,울산광역시,남구,달동,1.92
202511,울산광역시,남구,삼산동,77.34
202511,울산광역시,남구,신정2동,0.56
202511,울산광역시,동구,전하1동,13.21
202511,울산광역시,남구,삼호동,4.85
202511,울산광역시,남구,달동,4.04
202510,울산광역시,남구,삼산동,53.83
202510,울산광역시,남구,신정2동,24.62
202510,울산광역시,동구,전하1동,9.8
202510,울산광역시,남구,삼호동,2.52
202510,울산광역시,남구,달동,9.23
202509,울산광역시,남구,삼산동,47.87
202509,울산광역시,남구,신정2동,17.78
202509,울산광역시,동구,전하1동,24.38
202509,울산광역시,남구,삼호동,8.88
202509,울산광역시,남구,달동,1.09
202508,울산광역시,남구,삼산동,53.4
202508,울산광역시,남구,신정2동,12.86
202508,울산광역시,동구,전하1동,24.98
202508,울산광역시,남구,삼호동,6.7
202508,울산광역시,남구,달동,2.06
202507,울산광역시,남구,삼산동,38.31
202507,울산광역시,남구,신정2동,4.73
202507,울산광역시,동구,전하1동,42.41
202507,울산광역시,남구,삼호동,5.66
202507,울산광역시,남구,달동,8.9
202506,울산광역시,남구,삼산동,66.22
202506,울산광역시,남구,신정2동,1.21
202506,울산광역시,동구,전하1동,22.69
202506,울산광역시,남구,삼호동,5.53
202506,울산광역시,남구,달동,4.35
202505,울산광역시,남구,삼산동,68.66
202505,울산광역시,남구,신정2동,1.99
202505,울산광역시,동구,전하1동,24.96
202505,울산광역시,남구,삼호동,1.54
202505,울산광역시,남구,달동,2.85
202504,울산광역시,남구,삼산동,82.32
202504,울산광역시,남구,신정2동,2.27
202504,울산광역시,동구,전하1동,11.11
202504,울산광역시,남구,삼호동,1.94
202504,울산광역시,남구,달동,2.37
202503,울산광역시,남구,삼산동,31.11
202503,울산광역시,남구,신정2동,6.08
202503,울산광역시,동구,전하1동,52.75
202503,울산광역시,남구,삼호동,6.33
202503,울산광역시,남구,달동,3.72
202502,울산광역시,남구,삼산동,47.43
202502,울산광역시,남구,신정2동,0.63
202502,울산광역시,동구,전하1동,31.53
202502,울산광역시,남구,삼호동,6.03
202502,울산광역시,남구,달동,14.38
202501,울산광역시,남구,삼산동,62.95
202501,울산광역시,남구,신정2동,2.79
202501,울산광역시,동구,전하1동,28.37
202501,울산광역시,남구,삼호동,4.13
202501,울산광역시,남구,달동,1.76
