기준연월,시도명,시군구,행정동,소비금액비율
202512,세종특별자치시,세종특별자치시,나성동,51.66
202512,세종특별자치시,세종특별자치시,종촌동,15.72
202512,세종특별자치시,세종특별자치시,도담동,14.44
202512,세종특별자치시,세종특별자치시,아름동,14.24
202512,세종특별자치시,세종특별자치시,보람동,3.94
202511,세종특별자치시,세종특별자치시,나성동,36.22
202511,세종특별자치시,세종특별자치시,종촌동,9.0
202511,세종특별자치시,세종특별자치시,도담동,28.18
202511,세종특별자치시,세종특별자치시,아름동,20.62
202511,세종특별자치시,세종특별자치시,보람동,5.97
202510,세종특별자치시,세종특별자치시,나성동,30.06
202510,세종특별자치시,세종특별자치시,종촌동,28.65
202510,세종특별자치시,세종특별자치시,도담동,25.17
202510,세종특별자치시,세종특별자치시,아름동,11.44
202510,세종특별자치시,세종특별자치시,보람동,4.68
202509,세종특별자치시,세종특별자치시,나성동,37.52
202509,세종특별자치시,세종특별자치시,종촌동,22.36
202509,세종특별자치시,세종특별자치시,도담동,23.24
202509,세종특별자치시,세종특별자치시,아름동,8.25
202509,세종특별자치시,세종특별자치시,보람동,8.63
202508,세종특별자치시,세종특별자치시,나성동,34.31
202508,세종특별자치시,세종특별자치시,종촌동,10.83
202508,세종특별자치시,세종특별자치시,도담동,23.15
202508,세종특별자치시,세종특별자치시,아름동,29.84
202508,세종특별자치시,세종특별자치시,보람동,1.86
202507,세종특별자치시,세종특별자치시,나성동,46.48
202507,세종특별자치시,세종특별자치시,종촌동,5.47
202507,세종특별자치시,세종특별자치시,도담동,33.39
202507,세종특별자치시,세종특별자치시,아름동,12.93
202507,세종특별자치시,세종특별자치시,보람동,1.73
202506,세종특별자치시,세종특별자치시,나성동,46.67
202506,세종특별자치시,세종특별자치시,종촌동,6.75
202506,세종특별자치시,세종특별자치시,도담동,15.33
202506,세종특별자치시,세종특별자치시,아름동,8.89
202506,세종특별자치시,세종특별자치시,보람동,22.37
202505,세종특별자치시,세종특별자치시,나성동,72.74
202505,세종특별자치시,세종특별자치시,종촌동,7.33
202505,세종특별자치시,세종특별자치시,도담동,7.6
202505,세종특별자치시,세종특별자치시,아름동,11.17
202505,세종특별자치시,세종특별자치시,보람동,1.16
202504,세종특별자치시,세종특별자치시,나성동,54.53
202504,세종특별자치시,세종특별자치시,종촌동,4.07
202504,세종특별자치시,세종특별자치시,도담동,35.11
202504,세종특별자치시,세종특별자치시,아름동,2.46
202504,세종특별자치시,세종특별자치시,보람동,3.83
202503,세종특별자치시,세종특별자치시,나성동,11.37
202503,세종특별자치시,세종특별자치시,종촌동,10.75
202503,세종특별자치시,세종특별자치시,도담동,56.44
202503,세종특별자치시,세종특별자치시,아름동,9.57
202503,세종특별자치시,세종특별자치시,보람동,11.88
202502,세종특별자치시,세종특별자치시,나성동,15.3
202502,세종특별자치시,세종특별자치시,종촌동,27.7
202502,세종특별자치시,세종특별자치시,도담동,48.14
202502,세종특별자치시,세종특별자치시,아름동,7.68
202502,세종특별자치시,세종특별자치시,보람동,1.18
202501,세종특별자치시,세종특별자치시,나성동,18.32
202501,세종특별자치시,세종특별자치시,종촌동,6.52
202501,세종특별자치시,세종특별자치시,도담동,59.52
202501,세종특별자치시,세종특별자치시,아름동,9.2
202501,세종특별자치시,세종특별자치시,보람동,6.43
