기준연월,시도명,시군구,행정동,소비건수비율
202512,세종특별자치시,세종특별자치시,나성동,25.66
202512,세종특별자치시,세종특별자치시,아름동,22.09
202512,세종특별자치시,세종특별자치시,도담동,20.35
202512,세종특별자치시,세종특별자치시,조치원읍,16.87
202512,세종특별자치시,세종특별자치시,어진동,15.04
202511,세종특별자치시,세종특별자치시,나성동,28.6
202511,세종특별자치시,세종특별자치시,아름동,20.35
202511,세종특별자치시,세종특별자치시,도담동,14.85
202511,세종특별자치시,세종특별자치시,조치원읍,25.74
202511,세종특별자치시,세종특별자치시,어진동,10.45
202510,세종특별자치시,세종특별자치시,나성동,22.1
202510,세종특별자치시,세종특별자치시,아름동,17.19
202510,세종특별자치시,세종특별자치시,도담동,24.19
202510,세종특별자치시,세종특별자치시,조치원읍,16.27
202510,세종특별자치시,세종특별자치시,어진동,20.26
202509,세종특별자치시,세종특별자치시,나성동,19.16
202509,세종특별자치시,세종특별자치시,아름동,15.23
202509,세종특별자치시,세종특별자치시,도담동,19.04
202509,세종특별자치시,세종특별자치시,조치원읍,23.1
202509,세종특별자치시,세종특별자치시,어진동,23.48
202508,세종특별자치시,세종특별자치시,나성동,34.19
202508,세종특별자치시,세종특별자치시,아름동,22.35
202508,세종특별자치시,세종특별자치시,도담동,20.03
202508,세종특별자치시,세종특별자치시,조치원읍,10.18
202508,세종특별자치시,세종특별자치시,어진동,13.25
202507,세종특별자치시,세종특별자치시,나성동,25.61
202507,세종특별자치시,세종특별자치시,아름동,22.2
202507,세종특별자치시,세종특별자치시,도담동,19.27
202507,세종특별자치시,세종특별자치시,조치원읍,20.47
202507,세종특별자치시,세종특별자치시,어진동,12.45
202506,세종특별자치시,세종특별자치시,나성동,28.41
202506,세종특별자치시,세종특별자치시,아름동,20.36
202506,세종특별자치시,세종특별자치시,도담동,18.42
202506,세종특별자치시,세종특별자치시,조치원읍,17.52
202506,세종특별자치시,세종특별자치시,어진동,15.29
202505,세종특별자치시,세종특별자치시,나성동,27.04
202505,세종특별자치시,세종특별자치시,아름동,22.4
202505,세종특별자치시,세종특별자치시,도담동,17.92
202505,세종특별자치시,세종특별자치시,조치원읍,22.0
202505,세종특별자치시,세종특별자치시,어진동,10.64
202504,세종특별자치시,세종특별자치시,나성동,28.55
202504,세종특별자치시,세종특별자치시,아름동,7.66
202504,세종특별자치시,세종특별자치시,도담동,24.37
202504,세종특별자치시,세종특별자치시,조치원읍,24.09
202504,세종특별자치시,세종특별자치시,어진동,15.32
202503,세종특별자치시,세종특별자치시,나성동,19.56
202503,세종특별자치시,세종특별자치시,아름동,23.01
202503,세종특별자치시,세종특별자치시,도담동,15.62
202503,세종특별자치시,세종특별자치시,조치원읍,28.68
202503,세종특별자치시,세종특별자치시,어진동,13.13
202502,세종특별자치시,세종특별자치시,나성동,16.36
202502,세종특별자치시,세종특별자치시,아름동,19.09
202502,세종특별자치시,세종특별자치시,도담동,22.0
202502,세종특별자치시,세종특별자치시,조치원읍,19.82
202502,세종특별자치시,세종특별자치시,어진동,22.73
202501,세종특별자치시,세종특별자치시,나성동,25.85
202501,세종특별자치시,세종특별자치시,아름동,10.88
202501,세종특별자치시,세종특별자치시,도담동,23.81
202501,세종특별자치시,세종특별자치시,조치원읍,14.29
202501,세종특별자치시,세종특별자치시,어진동,25.17
