기준연월,시도명,시군구,행정동,소비건수비율
202512,충청북도,청주시 흥덕구,복대1동,34.48
202512,충청북도,청주시 흥덕구,가경동,24.93
202512,충청북도,청주시 흥덕구,강서1동,15.47
202512,충청북도,청주시 상당구,성안동,13.95
202512,충청북도,청주시 청원구,내수읍,11.18
202511,충청북도,청주시 흥덕구,복대1동,31.58
202511,충청북도,청주시 흥덕구,가경동,21.78
202511,충청북도,청주시 흥덕구,강서1동,14.92
202511,충청북도,청주시 상당구,성안동,16.06
202511,충청북도,청주시 청원구,내수읍,15.66
202510,충청북도,청주시 흥덕구,복대1동,27.97
202510,충청북도,청주시 흥덕구,가경동,22.74
202510,충청북도,청주시 흥덕구,강서1동,16.13
202510,충청북도,청주시 상당구,성안동,12.61
202510,충청북도,청주시 청원구,내수읍,20.55
202509,충청북도,청주시 흥덕구,복대1동,26.14
202509,충청북도,청주시 흥덕구,가경동,20.53
202509,충청북도,청주시 흥덕구,강서1동,19.43
202509,충청북도,청주시 상당구,성안동,17.47
202509,충청북도,청주시 청원구,내수읍,16.43
202508,충청북도,청주시 흥덕구,복대1동,34.31
202508,충청북도,청주시 흥덕구,가경동,22.98
202508,충청북도,청주시 흥덕구,강서1동,9.74
202508,충청북도,청주시 상당구,성안동,14.04
202508,충청북도,청주시 청원구,내수읍,18.93
202507,충청북도,청주시 흥덕구,복대1동,34.47
202507,충청북도,청주시 흥덕구,가경동,23.52
202507,충청북도,청주시 흥덕구,강서1동,15.39
202507,충청북도,청주시 상당구,성안동,10.06
202507,충청북도,청주시 청원구,내수읍,16.56
202506,충청북도,청주시 흥덕구,복대1동,28.81
202506,충청북도,청주시 흥덕구,가경동,30.62
202506,충청북도,청주시 흥덕구,강서1동,6.72
202506,충청북도,청주시 상당구,성안동,16.22
202506,충청북도,청주시 청원구,내수읍,17.63
202505,충청북도,청주시 흥덕구,복대1동,38.4
202505,충청북도,청주시 흥덕구,가경동,29.09
202505,충청북도,청주시 흥덕구,강서1동,7.25
202505,충청북도,청주시 상당구,성안동,11.96
202505,충청북도,청주시 청원구,내수읍,13.29
202504,충청북도,청주시 흥덕구,복대1동,33.98
202504,충청북도,청주시 흥덕구,가경동,27.94
202504,충청북도,청주시 흥덕구,강서1동,15.21
202504,충청북도,청주시 상당구,성안동,11.2
202504,충청북도,청주시 청원구,내수읍,11.67
202503,충청북도,청주시 흥덕구,복대1동,39.15
202503,충청북도,청주시 흥덕구,가경동,35.93
202503,충청북도,청주시 흥덕구,강서1동,8.17
202503,충청북도,청주시 상당구,성안동,10.8
202503,충청북도,청주시 청원구,내수읍,5.96
202502,충청북도,청주시 흥덕구,복대1동,43.84
202502,충청북도,청주시 흥덕구,가경동,18.88
202502,충청북도,청주시 흥덕구,강서1동,10.16
202502,충청북도,청주시 상당구,성안동,15.92
202502,충청북도,청주시 청원구,내수읍,11.2
202501,충청북도,청주시 흥덕구,복대1동,42.28
202501,충청북도,청주시 흥덕구,가경동,27.72
202501,충청북도,청주시 흥덕구,강서1동,11.14
202501,충청북도,청주시 상당구,성안동,11.84
202501,충청북도,청주시 청원구,내수읍,7.02
