기준연월,시도명,시군구,행정동,소비금액비율
202512,충청북도,청주시 흥덕구,가경동,35.62
202512,충청북도,청주시 상당구,성안동,20.06
202512,충청북도,청주시 흥덕구,복대1동,17.78
202512,충청북도,청주시 흥덕구,강서1동,15.23
202512,충청북도,청주시 서원구,성화.개신.죽림동,11.31
202511,충청북도,청주시 흥덕구,가경동,16.47
202511,충청북도,청주시 상당구,성안동,15.31
202511,충청북도,청주시 흥덕구,복대1동,21.61
202511,충청북도,청주시 흥덕구,강서1동,35.54
202511,충청북도,청주시 서원구,성화.개신.죽림동,11.07
202510,충청북도,청주시 흥덕구,가경동,15.84
202510,충청북도,청주시 상당구,성안동,27.58
202510,충청북도,청주시 흥덕구,복대1동,29.66
202510,충청북도,청주시 흥덕구,강서1동,9.87
202510,충청북도,청주시 서원구,성화.개신.죽림동,17.06
202509,충청북도,청주시 흥덕구,가경동,23.82
202509,충청북도,청주시 상당구,성안동,14.99
202509,충청북도,청주시 흥덕구,복대1동,10.06
202509,충청북도,청주시 흥덕구,강서1동,38.48
202509,충청북도,청주시 서원구,성화.개신.죽림동,12.65
202508,충청북도,청주시 흥덕구,가경동,31.22
202508,충청북도,청주시 상당구,성안동,17.77
202508,충청북도,청주시 흥덕구,복대1동,20.5
202508,충청북도,청주시 흥덕구,강서1동,13.39
202508,충청북도,청주시 서원구,성화.개신.죽림동,17.11
202507,충청북도,청주시 흥덕구,가경동,18.2
202507,충청북도,청주시 상당구,성안동,14.98
202507,충청북도,청주시 흥덕구,복대1동,15.03
202507,충청북도,청주시 흥덕구,강서1동,27.65
202507,충청북도,청주시 서원구,성화.개신.죽림동,24.14
202506,충청북도,청주시 흥덕구,가경동,27.76
202506,충청북도,청주시 상당구,성안동,25.64
202506,충청북도,청주시 흥덕구,복대1동,16.21
202506,충청북도,청주시 흥덕구,강서1동,8.66
202506,충청북도,청주시 서원구,성화.개신.죽림동,21.74
202505,충청북도,청주시 흥덕구,가경동,23.96
202505,충청북도,청주시 상당구,성안동,12.42
202505,충청북도,청주시 흥덕구,복대1동,37.9
202505,충청북도,청주시 흥덕구,강서1동,8.62
202505,충청북도,청주시 서원구,성화.개신.죽림동,17.1
202504,충청북도,청주시 흥덕구,가경동,19.39
202504,충청북도,청주시 상당구,성안동,7.14
202504,충청북도,청주시 흥덕구,복대1동,27.2
202504,충청북도,청주시 흥덕구,강서1동,17.29
202504,충청북도,청주시 서원구,성화.개신.죽림동,28.98
202503,충청북도,청주시 흥덕구,가경동,60.57
202503,충청북도,청주시 상당구,성안동,6.69
202503,충청북도,청주시 흥덕구,복대1동,9.52
202503,충청북도,청주시 흥덕구,강서1동,6.16
202503,충청북도,청주시 서원구,성화.개신.죽림동,17.06
202502,충청북도,청주시 흥덕구,가경동,14.86
202502,충청북도,청주시 상당구,성안동,11.17
202502,충청북도,청주시 흥덕구,복대1동,40.14
202502,충청북도,청주시 흥덕구,강서1동,7.4
202502,충청북도,청주시 서원구,성화.개신.죽림동,26.44
202501,충청북도,청주시 흥덕구,가경동,16.81
202501,충청북도,청주시 상당구,성안동,34.68
202501,충청북도,청주시 흥덕구,복대1동,21.12
202501,충청북도,청주시 흥덕구,강서1동,10.61
202501,충청북도,청주시 서원구,성화.개신.죽림동,16.78
