기준연월,시도명,시군구,행정동,소비건수비율
202512,충청남도,천안시 동남구,신안동,47.4
202512,충청남도,천안시 서북구,불당2동,19.68
202512,충청남도,아산시,둔포면,15.7
202512,충청남도,천안시 서북구,성정2동,8.85
202512,충청남도,아산시,배방읍,8.37
202511,충청남도,천안시 동남구,신안동,46.53
202511,충청남도,천안시 서북구,불당2동,15.4
202511,충청남도,아산시,둔포면,21.08
202511,충청남도,천안시 서북구,성정2동,8.17
202511,충청남도,아산시,배방읍,8.83
202510,충청남도,천안시 동남구,신안동,47.95
202510,충청남도,천안시 서북구,불당2동,21.68
202510,충청남도,아산시,둔포면,15.38
202510,충청남도,천안시 서북구,성정2동,8.61
202510,충청남도,아산시,배방읍,6.38
202509,충청남도,천안시 동남구,신안동,52.69
202509,충청남도,천안시 서북구,불당2동,13.67
202509,충청남도,아산시,둔포면,17.6
202509,충청남도,천안시 서북구,성정2동,7.33
202509,충청남도,아산시,배방읍,8.7
202508,충청남도,천안시 동남구,신안동,49.01
202508,충청남도,천안시 서북구,불당2동,18.26
202508,충청남도,아산시,둔포면,15.32
202508,충청남도,천안시 서북구,성정2동,8.03
202508,충청남도,아산시,배방읍,9.38
202507,충청남도,천안시 동남구,신안동,44.95
202507,충청남도,천안시 서북구,불당2동,18.46
202507,충청남도,아산시,둔포면,16.59
202507,충청남도,천안시 서북구,성정2동,6.34
202507,충청남도,아산시,배방읍,13.66
202506,충청남도,천안시 동남구,신안동,40.33
202506,충청남도,천안시 서북구,불당2동,23.91
202506,충청남도,아산시,둔포면,15.78
202506,충청남도,천안시 서북구,성정2동,10.27
202506,충청남도,아산시,배방읍,9.71
202505,충청남도,천안시 동남구,신안동,47.43
202505,충청남도,천안시 서북구,불당2동,19.62
202505,충청남도,아산시,둔포면,17.69
202505,충청남도,천안시 서북구,성정2동,6.15
202505,충청남도,아산시,배방읍,9.11
202504,충청남도,천안시 동남구,신안동,48.4
202504,충청남도,천안시 서북구,불당2동,18.96
202504,충청남도,아산시,둔포면,18.65
202504,충청남도,천안시 서북구,성정2동,6.36
202504,충청남도,아산시,배방읍,7.63
202503,충청남도,천안시 동남구,신안동,47.64
202503,충청남도,천안시 서북구,불당2동,19.09
202503,충청남도,아산시,둔포면,19.34
202503,충청남도,천안시 서북구,성정2동,9.05
202503,충청남도,아산시,배방읍,4.88
202502,충청남도,천안시 동남구,신안동,48.93
202502,충청남도,천안시 서북구,불당2동,20.86
202502,충청남도,아산시,둔포면,19.92
202502,충청남도,천안시 서북구,성정2동,5.55
202502,충청남도,아산시,배방읍,4.73
202501,충청남도,천안시 동남구,신안동,43.32
202501,충청남도,천안시 서북구,불당2동,14.56
202501,충청남도,아산시,둔포면,20.88
202501,충청남도,천안시 서북구,성정2동,11.64
202501,충청남도,아산시,배방읍,9.6
