기준연월,시도명,시군구,행정동,소비금액비율
202512,충청남도,천안시 동남구,신안동,36.71
202512,충청남도,천안시 서북구,불당2동,32.12
202512,충청남도,아산시,탕정면,11.37
202512,충청남도,천안시 서북구,부성1동,9.92
202512,충청남도,아산시,온양3동,9.89
202511,충청남도,천안시 동남구,신안동,38.24
202511,충청남도,천안시 서북구,불당2동,16.23
202511,충청남도,아산시,탕정면,3.49
202511,충청남도,천안시 서북구,부성1동,33.08
202511,충청남도,아산시,온양3동,8.96
202510,충청남도,천안시 동남구,신안동,32.91
202510,충청남도,천안시 서북구,불당2동,26.37
202510,충청남도,아산시,탕정면,3.98
202510,충청남도,천안시 서북구,부성1동,31.77
202510,충청남도,아산시,온양3동,4.96
202509,충청남도,천안시 동남구,신안동,43.13
202509,충청남도,천안시 서북구,불당2동,14.96
202509,충청남도,아산시,탕정면,2.81
202509,충청남도,천안시 서북구,부성1동,26.13
202509,충청남도,아산시,온양3동,12.97
202508,충청남도,천안시 동남구,신안동,43.48
202508,충청남도,천안시 서북구,불당2동,26.57
202508,충청남도,아산시,탕정면,3.36
202508,충청남도,천안시 서북구,부성1동,18.25
202508,충청남도,아산시,온양3동,8.34
202507,충청남도,천안시 동남구,신안동,50.68
202507,충청남도,천안시 서북구,불당2동,35.66
202507,충청남도,아산시,탕정면,8.09
202507,충청남도,천안시 서북구,부성1동,0.15
202507,충청남도,아산시,온양3동,5.41
202506,충청남도,천안시 동남구,신안동,32.45
202506,충청남도,천안시 서북구,불당2동,27.62
202506,충청남도,아산시,탕정면,14.79
202506,충청남도,천안시 서북구,부성1동,21.94
202506,충청남도,아산시,온양3동,3.21
202505,충청남도,천안시 동남구,신안동,34.77
202505,충청남도,천안시 서북구,불당2동,25.28
202505,충청남도,아산시,탕정면,3.75
202505,충청남도,천안시 서북구,부성1동,33.78
202505,충청남도,아산시,온양3동,2.42
202504,충청남도,천안시 동남구,신안동,43.31
202504,충청남도,천안시 서북구,불당2동,16.28
202504,충청남도,아산시,탕정면,1.92
202504,충청남도,천안시 서북구,부성1동,35.46
202504,충청남도,아산시,온양3동,3.03
202503,충청남도,천안시 동남구,신안동,31.98
202503,충청남도,천안시 서북구,불당2동,18.98
202503,충청남도,아산시,탕정면,4.36
202503,충청남도,천안시 서북구,부성1동,39.35
202503,충청남도,아산시,온양3동,5.33
202502,충청남도,천안시 동남구,신안동,55.89
202502,충청남도,천안시 서북구,불당2동,18.57
202502,충청남도,아산시,탕정면,5.13
202502,충청남도,천안시 서북구,부성1동,12.13
202502,충청남도,아산시,온양3동,8.29
202501,충청남도,천안시 동남구,신안동,64.88
202501,충청남도,천안시 서북구,불당2동,11.58
202501,충청남도,아산시,탕정면,4.38
202501,충청남도,천안시 서북구,부성1동,16.75
202501,충청남도,아산시,온양3동,2.41
