기준연월,시도명,시군구,행정동,소비금액비율
202512,전라남도,여수시,쌍봉동,44.5
202512,전라남도,목포시,하당동,24.48
202512,전라남도,순천시,왕조1동,19.04
202512,전라남도,순천시,덕연동,8.95
202512,전라남도,무안군,삼향읍,3.04
202511,전라남도,여수시,쌍봉동,11.86
202511,전라남도,목포시,하당동,27.51
202511,전라남도,순천시,왕조1동,27.64
202511,전라남도,순천시,덕연동,10.51
202511,전라남도,무안군,삼향읍,22.48
202510,전라남도,여수시,쌍봉동,16.78
202510,전라남도,목포시,하당동,15.85
202510,전라남도,순천시,왕조1동,36.82
202510,전라남도,순천시,덕연동,20.26
202510,전라남도,무안군,삼향읍,10.29
202509,전라남도,여수시,쌍봉동,32.79
202509,전라남도,목포시,하당동,9.04
202509,전라남도,순천시,왕조1동,19.78
202509,전라남도,순천시,덕연동,34.48
202509,전라남도,무안군,삼향읍,3.91
202508,전라남도,여수시,쌍봉동,17.15
202508,전라남도,목포시,하당동,32.19
202508,전라남도,순천시,왕조1동,15.05
202508,전라남도,순천시,덕연동,16.2
202508,전라남도,무안군,삼향읍,19.41
202507,전라남도,여수시,쌍봉동,9.03
202507,전라남도,목포시,하당동,35.98
202507,전라남도,순천시,왕조1동,4.51
202507,전라남도,순천시,덕연동,29.54
202507,전라남도,무안군,삼향읍,20.93
202506,전라남도,여수시,쌍봉동,33.92
202506,전라남도,목포시,하당동,3.45
202506,전라남도,순천시,왕조1동,28.34
202506,전라남도,순천시,덕연동,33.19
202506,전라남도,무안군,삼향읍,1.1
202505,전라남도,여수시,쌍봉동,76.57
202505,전라남도,목포시,하당동,6.69
202505,전라남도,순천시,왕조1동,4.47
202505,전라남도,순천시,덕연동,3.49
202505,전라남도,무안군,삼향읍,8.78
202504,전라남도,여수시,쌍봉동,49.23
202504,전라남도,목포시,하당동,11.11
202504,전라남도,순천시,왕조1동,21.38
202504,전라남도,순천시,덕연동,10.64
202504,전라남도,무안군,삼향읍,7.65
202503,전라남도,여수시,쌍봉동,43.95
202503,전라남도,목포시,하당동,18.78
202503,전라남도,순천시,왕조1동,16.44
202503,전라남도,순천시,덕연동,11.61
202503,전라남도,무안군,삼향읍,9.22
202502,전라남도,여수시,쌍봉동,3.32
202502,전라남도,목포시,하당동,25.14
202502,전라남도,순천시,왕조1동,8.97
202502,전라남도,순천시,덕연동,9.78
202502,전라남도,무안군,삼향읍,52.79
202501,전라남도,여수시,쌍봉동,18.24
202501,전라남도,목포시,하당동,12.73
202501,전라남도,순천시,왕조1동,28.18
202501,전라남도,순천시,덕연동,30.51
202501,전라남도,무안군,삼향읍,10.33
