기준연월,시도명,시군구,행정동,소비건수비율
202512,전라남도,목포시,하당동,31.1
202512,전라남도,여수시,쌍봉동,22.37
202512,전라남도,목포시,신흥동,19.74
202512,전라남도,순천시,왕조1동,15.61
202512,전라남도,광양시,중마동,11.18
202511,전라남도,목포시,하당동,21.84
202511,전라남도,여수시,쌍봉동,20.54
202511,전라남도,목포시,신흥동,22.8
202511,전라남도,순천시,왕조1동,18.09
202511,전라남도,광양시,중마동,16.73
202510,전라남도,목포시,하당동,14.4
202510,전라남도,여수시,쌍봉동,16.28
202510,전라남도,목포시,신흥동,28.9
202510,전라남도,순천시,왕조1동,17.28
202510,전라남도,광양시,중마동,23.15
202509,전라남도,목포시,하당동,22.18
202509,전라남도,여수시,쌍봉동,19.77
202509,전라남도,목포시,신흥동,16.64
202509,전라남도,순천시,왕조1동,17.48
202509,전라남도,광양시,중마동,23.93
202508,전라남도,목포시,하당동,24.13
202508,전라남도,여수시,쌍봉동,11.54
202508,전라남도,목포시,신흥동,20.95
202508,전라남도,순천시,왕조1동,25.07
202508,전라남도,광양시,중마동,18.31
202507,전라남도,목포시,하당동,22.02
202507,전라남도,여수시,쌍봉동,13.63
202507,전라남도,목포시,신흥동,22.13
202507,전라남도,순천시,왕조1동,16.79
202507,전라남도,광양시,중마동,25.43
202506,전라남도,목포시,하당동,10.07
202506,전라남도,여수시,쌍봉동,31.17
202506,전라남도,목포시,신흥동,19.64
202506,전라남도,순천시,왕조1동,32.4
202506,전라남도,광양시,중마동,6.72
202505,전라남도,목포시,하당동,11.81
202505,전라남도,여수시,쌍봉동,20.81
202505,전라남도,목포시,신흥동,28.91
202505,전라남도,순천시,왕조1동,20.54
202505,전라남도,광양시,중마동,17.93
202504,전라남도,목포시,하당동,12.95
202504,전라남도,여수시,쌍봉동,20.78
202504,전라남도,목포시,신흥동,26.93
202504,전라남도,순천시,왕조1동,20.45
202504,전라남도,광양시,중마동,18.89
202503,전라남도,목포시,하당동,19.83
202503,전라남도,여수시,쌍봉동,21.12
202503,전라남도,목포시,신흥동,21.21
202503,전라남도,순천시,왕조1동,21.55
202503,전라남도,광양시,중마동,16.29
202502,전라남도,목포시,하당동,25.24
202502,전라남도,여수시,쌍봉동,15.3
202502,전라남도,목포시,신흥동,17.02
202502,전라남도,순천시,왕조1동,21.03
202502,전라남도,광양시,중마동,21.41
202501,전라남도,목포시,하당동,15.44
202501,전라남도,여수시,쌍봉동,16.62
202501,전라남도,목포시,신흥동,30.79
202501,전라남도,순천시,왕조1동,24.44
202501,전라남도,광양시,중마동,12.71
