기준연월,시도명,시군구,행정동,소비건수비율
202512,경상북도,경산시,하양읍,41.95
202512,경상북도,경주시,성건동,21.06
202512,경상북도,경산시,북부동,13.4
202512,경상북도,칠곡군,왜관읍,12.47
202512,경상북도,경주시,황오동,11.13
202511,경상북도,경산시,하양읍,40.58
202511,경상북도,경주시,성건동,24.74
202511,경상북도,경산시,북부동,12.65
202511,경상북도,칠곡군,왜관읍,10.19
202511,경상북도,경주시,황오동,11.85
202510,경상북도,경산시,하양읍,35.82
202510,경상북도,경주시,성건동,28.32
202510,경상북도,경산시,북부동,10.79
202510,경상북도,칠곡군,왜관읍,8.05
202510,경상북도,경주시,황오동,17.03
202509,경상북도,경산시,하양읍,39.91
202509,경상북도,경주시,성건동,21.61
202509,경상북도,경산시,북부동,13.01
202509,경상북도,칠곡군,왜관읍,11.89
202509,경상북도,경주시,황오동,13.59
202508,경상북도,경산시,하양읍,14.27
202508,경상북도,경주시,성건동,29.32
202508,경상북도,경산시,북부동,9.33
202508,경상북도,칠곡군,왜관읍,20.39
202508,경상북도,경주시,황오동,26.69
202507,경상북도,경산시,하양읍,14.57
202507,경상북도,경주시,성건동,20.31
202507,경상북도,경산시,북부동,12.64
202507,경상북도,칠곡군,왜관읍,27.24
202507,경상북도,경주시,황오동,25.23
202506,경상북도,경산시,하양읍,32.05
202506,경상북도,경주시,성건동,18.52
202506,경상북도,경산시,북부동,12.37
202506,경상북도,칠곡군,왜관읍,16.03
202506,경상북도,경주시,황오동,21.04
202505,경상북도,경산시,하양읍,32.11
202505,경상북도,경주시,성건동,26.76
202505,경상북도,경산시,북부동,10.96
202505,경상북도,칠곡군,왜관읍,12.28
202505,경상북도,경주시,황오동,17.9
202504,경상북도,경산시,하양읍,34.8
202504,경상북도,경주시,성건동,26.73
202504,경상북도,경산시,북부동,13.94
202504,경상북도,칠곡군,왜관읍,6.08
202504,경상북도,경주시,황오동,18.44
202503,경상북도,경산시,하양읍,39.87
202503,경상북도,경주시,성건동,21.95
202503,경상북도,경산시,북부동,14.43
202503,경상북도,칠곡군,왜관읍,11.84
202503,경상북도,경주시,황오동,11.91
202502,경상북도,경산시,하양읍,10.41
202502,경상북도,경주시,성건동,22.08
202502,경상북도,경산시,북부동,14.47
202502,경상북도,칠곡군,왜관읍,30.08
202502,경상북도,경주시,황오동,22.97
202501,경상북도,경산시,하양읍,11.8
202501,경상북도,경주시,성건동,23.36
202501,경상북도,경산시,북부동,14.34
202501,경상북도,칠곡군,왜관읍,30.49
202501,경상북도,경주시,황오동,20.0
