기준연월,시도명,시군구,행정동,소비금액비율
202512,경상북도,경주시,성건동,50.67
202512,경상북도,포항시 남구,상대동,31.19
202512,경상북도,구미시,진미동,10.5
202512,경상북도,포항시 북구,죽도동,5.12
202512,경상북도,안동시,강남동,2.53
202511,경상북도,경주시,성건동,15.8
202511,경상북도,포항시 남구,상대동,12.72
202511,경상북도,구미시,진미동,22.29
202511,경상북도,포항시 북구,죽도동,27.29
202511,경상북도,안동시,강남동,21.91
202510,경상북도,경주시,성건동,26.68
202510,경상북도,포항시 남구,상대동,14.27
202510,경상북도,구미시,진미동,22.15
202510,경상북도,포항시 북구,죽도동,8.1
202510,경상북도,안동시,강남동,28.8
202509,경상북도,경주시,성건동,38.28
202509,경상북도,포항시 남구,상대동,7.12
202509,경상북도,구미시,진미동,4.49
202509,경상북도,포항시 북구,죽도동,31.95
202509,경상북도,안동시,강남동,18.16
202508,경상북도,경주시,성건동,29.49
202508,경상북도,포항시 남구,상대동,11.95
202508,경상북도,구미시,진미동,33.92
202508,경상북도,포항시 북구,죽도동,5.81
202508,경상북도,안동시,강남동,18.82
202507,경상북도,경주시,성건동,13.29
202507,경상북도,포항시 남구,상대동,62.7
202507,경상북도,구미시,진미동,8.04
202507,경상북도,포항시 북구,죽도동,8.07
202507,경상북도,안동시,강남동,7.89
202506,경상북도,경주시,성건동,16.08
202506,경상북도,포항시 남구,상대동,10.6
202506,경상북도,구미시,진미동,33.14
202506,경상북도,포항시 북구,죽도동,8.82
202506,경상북도,안동시,강남동,31.35
202505,경상북도,경주시,성건동,10.05
202505,경상북도,포항시 남구,상대동,21.16
202505,경상북도,구미시,진미동,30.74
202505,경상북도,포항시 북구,죽도동,6.02
202505,경상북도,안동시,강남동,32.03
202504,경상북도,경주시,성건동,18.04
202504,경상북도,포항시 남구,상대동,21.12
202504,경상북도,구미시,진미동,35.85
202504,경상북도,포항시 북구,죽도동,14.13
202504,경상북도,안동시,강남동,10.85
202503,경상북도,경주시,성건동,16.88
202503,경상북도,포항시 남구,상대동,11.52
202503,경상북도,구미시,진미동,9.26
202503,경상북도,포항시 북구,죽도동,7.34
202503,경상북도,안동시,강남동,54.99
202502,경상북도,경주시,성건동,10.01
202502,경상북도,포항시 남구,상대동,43.66
202502,경상북도,구미시,진미동,13.7
202502,경상북도,포항시 북구,죽도동,30.19
202502,경상북도,안동시,강남동,2.44
202501,경상북도,경주시,성건동,12.36
202501,경상북도,포항시 남구,상대동,27.87
202501,경상북도,구미시,진미동,20.34
202501,경상북도,포항시 북구,죽도동,32.04
202501,경상북도,안동시,강남동,7.38
