기준연월,시도명,시군구,행정동,소비건수비율
202512,제주특별자치도,제주시,노형동,48.21
202512,제주특별자치도,제주시,연동,37.22
202512,제주특별자치도,제주시,일도1동,6.26
202512,제주특별자치도,제주시,삼도2동,4.41
202512,제주특별자치도,제주시,용담2동,3.9
202511,제주특별자치도,제주시,노형동,41.57
202511,제주특별자치도,제주시,연동,40.35
202511,제주특별자치도,제주시,일도1동,7.49
202511,제주특별자치도,제주시,삼도2동,4.6
202511,제주특별자치도,제주시,용담2동,5.99
202510,제주특별자치도,제주시,노형동,38.19
202510,제주특별자치도,제주시,연동,43.51
202510,제주특별자치도,제주시,일도1동,7.47
202510,제주특별자치도,제주시,삼도2동,5.27
202510,제주특별자치도,제주시,용담2동,5.55
202509,제주특별자치도,제주시,노형동,39.52
202509,제주특별자치도,제주시,연동,43.19
202509,제주특별자치도,제주시,일도1동,6.8
202509,제주특별자치도,제주시,삼도2동,4.21
202509,제주특별자치도,제주시,용담2동,6.28
202508,제주특별자치도,제주시,노형동,40.34
202508,제주특별자치도,제주시,연동,44.93
202508,제주특별자치도,제주시,일도1동,5.71
202508,제주특별자치도,제주시,삼도2동,3.79
202508,제주특별자치도,제주시,용담2동,5.23
202507,제주특별자치도,제주시,노형동,40.35
202507,제주특별자치도,제주시,연동,44.02
202507,제주특별자치도,제주시,일도1동,5.54
202507,제주특별자치도,제주시,삼도2동,4.17
202507,제주특별자치도,제주시,용담2동,5.92
202506,제주특별자치도,제주시,노형동,41.35
202506,제주특별자치도,제주시,연동,41.68
202506,제주특별자치도,제주시,일도1동,5.31
202506,제주특별자치도,제주시,삼도2동,4.18
202506,제주특별자치도,제주시,용담2동,7.48
202505,제주특별자치도,제주시,노형동,38.22
202505,제주특별자치도,제주시,연동,43.07
202505,제주특별자치도,제주시,일도1동,5.31
202505,제주특별자치도,제주시,삼도2동,4.71
202505,제주특별자치도,제주시,용담2동,8.69
202504,제주특별자치도,제주시,노형동,40.49
202504,제주특별자치도,제주시,연동,40.87
202504,제주특별자치도,제주시,일도1동,4.21
202504,제주특별자치도,제주시,삼도2동,5.02
202504,제주특별자치도,제주시,용담2동,9.41
202503,제주특별자치도,제주시,노형동,43.03
202503,제주특별자치도,제주시,연동,40.72
202503,제주특별자치도,제주시,일도1동,4.56
202503,제주특별자치도,제주시,삼도2동,3.72
202503,제주특별자치도,제주시,용담2동,7.98
202502,제주특별자치도,제주시,노형동,44.21
202502,제주특별자치도,제주시,연동,44.47
202502,제주특별자치도,제주시,일도1동,3.32
202502,제주특별자치도,제주시,삼도2동,2.68
202502,제주특별자치도,제주시,용담2동,5.31
202501,제주특별자치도,제주시,노형동,42.74
202501,제주특별자치도,제주시,연동,45.64
202501,제주특별자치도,제주시,일도1동,2.38
202501,제주특별자치도,제주시,삼도2동,3.27
202501,제주특별자치도,제주시,용담2동,5.97
