기준연월,시도명,시군구,행정동,소비건수비율
202512,강원특별자치도,홍천군,서면,47.75
202512,강원특별자치도,춘천시,강남동,14.59
202512,강원특별자치도,강릉시,중앙동,13.2
202512,강원특별자치도,원주시,무실동,12.55
202512,강원특별자치도,춘천시,교동,11.91
202511,강원특별자치도,홍천군,서면,0.86
202511,강원특별자치도,춘천시,강남동,27.7
202511,강원특별자치도,강릉시,중앙동,28.05
202511,강원특별자치도,원주시,무실동,27.32
202511,강원특별자치도,춘천시,교동,16.08
202510,강원특별자치도,홍천군,서면,2.36
202510,강원특별자치도,춘천시,강남동,20.75
202510,강원특별자치도,강릉시,중앙동,37.58
202510,강원특별자치도,원주시,무실동,22.96
202510,강원특별자치도,춘천시,교동,16.35
202509,강원특별자치도,홍천군,서면,0.87
202509,강원특별자치도,춘천시,강남동,21.08
202509,강원특별자치도,강릉시,중앙동,33.67
202509,강원특별자치도,원주시,무실동,26.94
202509,강원특별자치도,춘천시,교동,17.44
202508,강원특별자치도,홍천군,서면,8.91
202508,강원특별자치도,춘천시,강남동,26.41
202508,강원특별자치도,강릉시,중앙동,31.0
202508,강원특별자치도,원주시,무실동,24.16
202508,강원특별자치도,춘천시,교동,9.52
202507,강원특별자치도,홍천군,서면,3.42
202507,강원특별자치도,춘천시,강남동,24.85
202507,강원특별자치도,강릉시,중앙동,29.39
202507,강원특별자치도,원주시,무실동,22.74
202507,강원특별자치도,춘천시,교동,19.6
202506,강원특별자치도,홍천군,서면,3.02
202506,강원특별자치도,춘천시,강남동,25.9
202506,강원특별자치도,강릉시,중앙동,25.45
202506,강원특별자치도,원주시,무실동,27.35
202506,강원특별자치도,춘천시,교동,18.29
202505,강원특별자치도,홍천군,서면,2.19
202505,강원특별자치도,춘천시,강남동,26.28
202505,강원특별자치도,강릉시,중앙동,27.87
202505,강원특별자치도,원주시,무실동,28.5
202505,강원특별자치도,춘천시,교동,15.17
202504,강원특별자치도,홍천군,서면,5.59
202504,강원특별자치도,춘천시,강남동,24.61
202504,강원특별자치도,강릉시,중앙동,18.3
202504,강원특별자치도,원주시,무실동,17.08
202504,강원특별자치도,춘천시,교동,34.42
202503,강원특별자치도,홍천군,서면,1.76
202503,강원특별자치도,춘천시,강남동,26.7
202503,강원특별자치도,강릉시,중앙동,16.41
202503,강원특별자치도,원주시,무실동,20.5
202503,강원특별자치도,춘천시,교동,34.62
202502,강원특별자치도,홍천군,서면,38.38
202502,강원특별자치도,춘천시,강남동,15.83
202502,강원특별자치도,강릉시,중앙동,18.56
202502,강원특별자치도,원주시,무실동,20.44
202502,강원특별자치도,춘천시,교동,6.79
202501,강원특별자치도,홍천군,서면,50.0
202501,강원특별자치도,춘천시,강남동,17.18
202501,강원특별자치도,강릉시,중앙동,13.73
202501,강원특별자치도,원주시,무실동,11.14
202501,강원특별자치도,춘천시,교동,7.96
