기준연월,시도명,시군구,행정동,소비금액비율
202512,제주특별자치도,제주시,노형동,76.94
202512,제주특별자치도,제주시,연동,19.58
202512,제주특별자치도,제주시,아라동,1.73
202512,제주특별자치도,제주시,이호동,1.58
202512,제주특별자치도,서귀포시,안덕면,0.16
202511,제주특별자치도,제주시,노형동,73.96
202511,제주특별자치도,제주시,연동,23.35
202511,제주특별자치도,제주시,아라동,1.21
202511,제주특별자치도,제주시,이호동,0.54
202511,제주특별자치도,서귀포시,안덕면,0.95
202510,제주특별자치도,제주시,노형동,72.21
202510,제주특별자치도,제주시,연동,24.28
202510,제주특별자치도,제주시,아라동,1.14
202510,제주특별자치도,제주시,이호동,1.11
202510,제주특별자치도,서귀포시,안덕면,1.26
202509,제주특별자치도,제주시,노형동,64.35
202509,제주특별자치도,제주시,연동,32.71
202509,제주특별자치도,제주시,아라동,1.17
202509,제주특별자치도,제주시,이호동,0.97
202509,제주특별자치도,서귀포시,안덕면,0.79
202508,제주특별자치도,제주시,노형동,71.51
202508,제주특별자치도,제주시,연동,26.16
202508,제주특별자치도,제주시,아라동,1.19
202508,제주특별자치도,제주시,이호동,0.75
202508,제주특별자치도,서귀포시,안덕면,0.39
202507,제주특별자치도,제주시,노형동,68.39
202507,제주특별자치도,제주시,연동,27.42
202507,제주특별자치도,제주시,아라동,1.17
202507,제주특별자치도,제주시,이호동,2.09
202507,제주특별자치도,서귀포시,안덕면,0.94
202506,제주특별자치도,제주시,노형동,63.28
202506,제주특별자치도,제주시,연동,32.16
202506,제주특별자치도,제주시,아라동,1.72
202506,제주특별자치도,제주시,이호동,1.11
202506,제주특별자치도,서귀포시,안덕면,1.73
202505,제주특별자치도,제주시,노형동,57.09
202505,제주특별자치도,제주시,연동,37.63
202505,제주특별자치도,제주시,아라동,2.72
202505,제주특별자치도,제주시,이호동,1.04
202505,제주특별자치도,서귀포시,안덕면,1.52
202504,제주특별자치도,제주시,노형동,68.74
202504,제주특별자치도,제주시,연동,27.1
202504,제주특별자치도,제주시,아라동,0.88
202504,제주특별자치도,제주시,이호동,1.34
202504,제주특별자치도,서귀포시,안덕면,1.94
202503,제주특별자치도,제주시,노형동,58.11
202503,제주특별자치도,제주시,연동,35.86
202503,제주특별자치도,제주시,아라동,2.36
202503,제주특별자치도,제주시,이호동,1.42
202503,제주특별자치도,서귀포시,안덕면,2.26
202502,제주특별자치도,제주시,노형동,58.92
202502,제주특별자치도,제주시,연동,30.06
202502,제주특별자치도,제주시,아라동,4.97
202502,제주특별자치도,제주시,이호동,4.13
202502,제주특별자치도,서귀포시,안덕면,1.92
202501,제주특별자치도,제주시,노형동,53.99
202501,제주특별자치도,제주시,연동,39.42
202501,제주특별자치도,제주시,아라동,3.96
202501,제주특별자치도,제주시,이호동,1.48
202501,제주특별자치도,서귀포시,안덕면,1.14
