기준연월,시도명,시군구,행정동,소비건수비율
202512,전북특별자치도,군산시,수송동,23.72
202512,전북특별자치도,익산시,신동,23.3
202512,전북특별자치도,전주시 덕진구,금암동,19.83
202512,전북특별자치도,전주시 완산구,중화산1동,18.05
202512,전북특별자치도,전주시 덕진구,덕진동,15.1
202511,전북특별자치도,군산시,수송동,22.65
202511,전북특별자치도,익산시,신동,14.96
202511,전북특별자치도,전주시 덕진구,금암동,24.33
202511,전북특별자치도,전주시 완산구,중화산1동,16.02
202511,전북특별자치도,전주시 덕진구,덕진동,22.04
202510,전북특별자치도,군산시,수송동,24.31
202510,전북특별자치도,익산시,신동,15.34
202510,전북특별자치도,전주시 덕진구,금암동,24.48
202510,전북특별자치도,전주시 완산구,중화산1동,16.61
202510,전북특별자치도,전주시 덕진구,덕진동,19.26
202509,전북특별자치도,군산시,수송동,25.1
202509,전북특별자치도,익산시,신동,15.3
202509,전북특별자치도,전주시 덕진구,금암동,22.08
202509,전북특별자치도,전주시 완산구,중화산1동,19.53
202509,전북특별자치도,전주시 덕진구,덕진동,18.0
202508,전북특별자치도,군산시,수송동,28.45
202508,전북특별자치도,익산시,신동,18.52
202508,전북특별자치도,전주시 덕진구,금암동,18.29
202508,전북특별자치도,전주시 완산구,중화산1동,15.18
202508,전북특별자치도,전주시 덕진구,덕진동,19.55
202507,전북특별자치도,군산시,수송동,28.85
202507,전북특별자치도,익산시,신동,18.96
202507,전북특별자치도,전주시 덕진구,금암동,25.06
202507,전북특별자치도,전주시 완산구,중화산1동,23.41
202507,전북특별자치도,전주시 덕진구,덕진동,3.72
202506,전북특별자치도,군산시,수송동,22.91
202506,전북특별자치도,익산시,신동,21.11
202506,전북특별자치도,전주시 덕진구,금암동,26.0
202506,전북특별자치도,전주시 완산구,중화산1동,15.66
202506,전북특별자치도,전주시 덕진구,덕진동,14.31
202505,전북특별자치도,군산시,수송동,28.68
202505,전북특별자치도,익산시,신동,10.48
202505,전북특별자치도,전주시 덕진구,금암동,28.26
202505,전북특별자치도,전주시 완산구,중화산1동,14.87
202505,전북특별자치도,전주시 덕진구,덕진동,17.71
202504,전북특별자치도,군산시,수송동,22.05
202504,전북특별자치도,익산시,신동,22.91
202504,전북특별자치도,전주시 덕진구,금암동,24.89
202504,전북특별자치도,전주시 완산구,중화산1동,13.01
202504,전북특별자치도,전주시 덕진구,덕진동,17.14
202503,전북특별자치도,군산시,수송동,31.74
202503,전북특별자치도,익산시,신동,12.77
202503,전북특별자치도,전주시 덕진구,금암동,26.53
202503,전북특별자치도,전주시 완산구,중화산1동,11.47
202503,전북특별자치도,전주시 덕진구,덕진동,17.49
202502,전북특별자치도,군산시,수송동,32.49
202502,전북특별자치도,익산시,신동,10.13
202502,전북특별자치도,전주시 덕진구,금암동,20.42
202502,전북특별자치도,전주시 완산구,중화산1동,18.48
202502,전북특별자치도,전주시 덕진구,덕진동,18.48
202501,전북특별자치도,군산시,수송동,42.03
202501,전북특별자치도,익산시,신동,12.73
202501,전북특별자치도,전주시 덕진구,금암동,17.85
202501,전북특별자치도,전주시 완산구,중화산1동,17.21
202501,전북특별자치도,전주시 덕진구,덕진동,10.17
