기준연월,시도명,시군구,행정동,소비금액비율
202512,전북특별자치도,전주시 덕진구,금암동,49.77
202512,전북특별자치도,익산시,신동,18.71
202512,전북특별자치도,전주시 완산구,중화산1동,13.32
202512,전북특별자치도,군산시,수송동,11.06
202512,전북특별자치도,전주시 완산구,효자5동,7.13
202511,전북특별자치도,전주시 덕진구,금암동,38.56
202511,전북특별자치도,익산시,신동,11.29
202511,전북특별자치도,전주시 완산구,중화산1동,15.05
202511,전북특별자치도,군산시,수송동,18.26
202511,전북특별자치도,전주시 완산구,효자5동,16.84
202510,전북특별자치도,전주시 덕진구,금암동,24.81
202510,전북특별자치도,익산시,신동,20.4
202510,전북특별자치도,전주시 완산구,중화산1동,17.09
202510,전북특별자치도,군산시,수송동,23.31
202510,전북특별자치도,전주시 완산구,효자5동,14.39
202509,전북특별자치도,전주시 덕진구,금암동,20.2
202509,전북특별자치도,익산시,신동,8.06
202509,전북특별자치도,전주시 완산구,중화산1동,32.48
202509,전북특별자치도,군산시,수송동,31.03
202509,전북특별자치도,전주시 완산구,효자5동,8.23
202508,전북특별자치도,전주시 덕진구,금암동,19.61
202508,전북특별자치도,익산시,신동,30.97
202508,전북특별자치도,전주시 완산구,중화산1동,15.97
202508,전북특별자치도,군산시,수송동,25.78
202508,전북특별자치도,전주시 완산구,효자5동,7.66
202507,전북특별자치도,전주시 덕진구,금암동,29.56
202507,전북특별자치도,익산시,신동,25.25
202507,전북특별자치도,전주시 완산구,중화산1동,10.07
202507,전북특별자치도,군산시,수송동,17.19
202507,전북특별자치도,전주시 완산구,효자5동,17.92
202506,전북특별자치도,전주시 덕진구,금암동,21.7
202506,전북특별자치도,익산시,신동,19.34
202506,전북특별자치도,전주시 완산구,중화산1동,30.31
202506,전북특별자치도,군산시,수송동,22.35
202506,전북특별자치도,전주시 완산구,효자5동,6.3
202505,전북특별자치도,전주시 덕진구,금암동,17.43
202505,전북특별자치도,익산시,신동,6.6
202505,전북특별자치도,전주시 완산구,중화산1동,30.75
202505,전북특별자치도,군산시,수송동,27.98
202505,전북특별자치도,전주시 완산구,효자5동,17.24
202504,전북특별자치도,전주시 덕진구,금암동,17.72
202504,전북특별자치도,익산시,신동,22.36
202504,전북특별자치도,전주시 완산구,중화산1동,17.84
202504,전북특별자치도,군산시,수송동,30.23
202504,전북특별자치도,전주시 완산구,효자5동,11.85
202503,전북특별자치도,전주시 덕진구,금암동,14.92
202503,전북특별자치도,익산시,신동,6.95
202503,전북특별자치도,전주시 완산구,중화산1동,5.12
202503,전북특별자치도,군산시,수송동,35.52
202503,전북특별자치도,전주시 완산구,효자5동,37.49
202502,전북특별자치도,전주시 덕진구,금암동,16.7
202502,전북특별자치도,익산시,신동,15.94
202502,전북특별자치도,전주시 완산구,중화산1동,18.52
202502,전북특별자치도,군산시,수송동,26.28
202502,전북특별자치도,전주시 완산구,효자5동,22.56
202501,전북특별자치도,전주시 덕진구,금암동,1.78
202501,전북특별자치도,익산시,신동,14.32
202501,전북특별자치도,전주시 완산구,중화산1동,22.63
202501,전북특별자치도,군산시,수송동,50.26
202501,전북특별자치도,전주시 완산구,효자5동,11.0
