기준연월,시도명,시군구,행정동,소비건수비율
201812,서울특별시,강남구,역삼1동,29.17
201812,서울특별시,중구,명동,22.38
201812,서울특별시,강남구,압구정동,17.42
201812,서울특별시,강남구,논현1동,16.47
201812,서울특별시,강남구,신사동,14.56
201811,서울특별시,강남구,역삼1동,29.49
201811,서울특별시,중구,명동,25.2
201811,서울특별시,강남구,압구정동,15.98
201811,서울특별시,강남구,논현1동,15.27
201811,서울특별시,강남구,신사동,14.05
201810,서울특별시,강남구,역삼1동,27.78
201810,서울특별시,중구,명동,24.69
201810,서울특별시,강남구,압구정동,17.94
201810,서울특별시,강남구,논현1동,16.17
201810,서울특별시,강남구,신사동,13.41
201809,서울특별시,강남구,역삼1동,27.79
201809,서울특별시,중구,명동,24.3
201809,서울특별시,강남구,압구정동,15.77
201809,서울특별시,강남구,논현1동,18.6
201809,서울특별시,강남구,신사동,13.53
201808,서울특별시,강남구,역삼1동,27.58
201808,서울특별시,중구,명동,23.32
201808,서울특별시,강남구,압구정동,15.37
201808,서울특별시,강남구,논현1동,18.14
201808,서울특별시,강남구,신사동,15.59
201807,서울특별시,강남구,역삼1동,28.97
201807,서울특별시,중구,명동,22.33
201807,서울특별시,강남구,압구정동,16.36
201807,서울특별시,강남구,논현1동,17.99
201807,서울특별시,강남구,신사동,14.34
201806,서울특별시,강남구,역삼1동,27.85
201806,서울특별시,중구,명동,22.72
201806,서울특별시,강남구,압구정동,16.41
201806,서울특별시,강남구,논현1동,17.96
201806,서울특별시,강남구,신사동,15.05
201805,서울특별시,강남구,역삼1동,27.09
201805,서울특별시,중구,명동,23.36
201805,서울특별시,강남구,압구정동,16.65
201805,서울특별시,강남구,논현1동,18.41
201805,서울특별시,강남구,신사동,14.48
201804,서울특별시,강남구,역삼1동,27.48
201804,서울특별시,중구,명동,22.89
201804,서울특별시,강남구,압구정동,16.48
201804,서울특별시,강남구,논현1동,17.02
201804,서울특별시,강남구,신사동,16.13
201803,서울특별시,강남구,역삼1동,27.42
201803,서울특별시,중구,명동,23.1
201803,서울특별시,강남구,압구정동,17.08
201803,서울특별시,강남구,논현1동,17.54
201803,서울특별시,강남구,신사동,14.87
201802,서울특별시,강남구,역삼1동,27.66
201802,서울특별시,중구,명동,23.83
201802,서울특별시,강남구,압구정동,16.47
201802,서울특별시,강남구,논현1동,15.86
201802,서울특별시,강남구,신사동,16.17
201801,서울특별시,강남구,역삼1동,27.41
201801,서울특별시,중구,명동,25.74
201801,서울특별시,강남구,압구정동,16.51
201801,서울특별시,강남구,논현1동,17.59
201801,서울특별시,강남구,신사동,12.74
