기준연월,시도명,시군구,행정동,소비금액비율
201812,서울특별시,강남구,압구정동,27.28
201812,서울특별시,강남구,신사동,22.55
201812,서울특별시,강남구,역삼1동,17.93
201812,서울특별시,강남구,논현1동,17.83
201812,서울특별시,강남구,청담동,14.41
201811,서울특별시,강남구,압구정동,28.21
201811,서울특별시,강남구,신사동,18.55
201811,서울특별시,강남구,역삼1동,22.3
201811,서울특별시,강남구,논현1동,16.06
201811,서울특별시,강남구,청담동,14.89
201810,서울특별시,강남구,압구정동,29.41
201810,서울특별시,강남구,신사동,20.52
201810,서울특별시,강남구,역삼1동,19.9
201810,서울특별시,강남구,논현1동,17.92
201810,서울특별시,강남구,청담동,12.25
201809,서울특별시,강남구,압구정동,24.51
201809,서울특별시,강남구,신사동,21.66
201809,서울특별시,강남구,역삼1동,16.56
201809,서울특별시,강남구,논현1동,21.1
201809,서울특별시,강남구,청담동,16.17
201808,서울특별시,강남구,압구정동,22.87
201808,서울특별시,강남구,신사동,22.86
201808,서울특별시,강남구,역삼1동,18.33
201808,서울특별시,강남구,논현1동,17.88
201808,서울특별시,강남구,청담동,18.06
201807,서울특별시,강남구,압구정동,23.38
201807,서울특별시,강남구,신사동,20.58
201807,서울특별시,강남구,역삼1동,19.4
201807,서울특별시,강남구,논현1동,17.76
201807,서울특별시,강남구,청담동,18.88
201806,서울특별시,강남구,압구정동,31.06
201806,서울특별시,강남구,신사동,23.21
201806,서울특별시,강남구,역삼1동,17.36
201806,서울특별시,강남구,논현1동,16.66
201806,서울특별시,강남구,청담동,11.71
201805,서울특별시,강남구,압구정동,20.91
201805,서울특별시,강남구,신사동,22.23
201805,서울특별시,강남구,역삼1동,16.48
201805,서울특별시,강남구,논현1동,17.97
201805,서울특별시,강남구,청담동,22.42
201804,서울특별시,강남구,압구정동,26.42
201804,서울특별시,강남구,신사동,25.49
201804,서울특별시,강남구,역삼1동,19.64
201804,서울특별시,강남구,논현1동,15.89
201804,서울특별시,강남구,청담동,12.58
201803,서울특별시,강남구,압구정동,23.13
201803,서울특별시,강남구,신사동,27.21
201803,서울특별시,강남구,역삼1동,17.39
201803,서울특별시,강남구,논현1동,15.72
201803,서울특별시,강남구,청담동,16.54
201802,서울특별시,강남구,압구정동,26.03
201802,서울특별시,강남구,신사동,25.74
201802,서울특별시,강남구,역삼1동,19.79
201802,서울특별시,강남구,논현1동,16.24
201802,서울특별시,강남구,청담동,12.2
201801,서울특별시,강남구,압구정동,23.18
201801,서울특별시,강남구,신사동,17.98
201801,서울특별시,강남구,역삼1동,20.45
201801,서울특별시,강남구,논현1동,15.23
201801,서울특별시,강남구,청담동,23.15
