시도명,기준연월,의료 소비액,의료 소비건수
강원특별자치도,202001,91509,801
강원특별자치도,202002,87875,510
강원특별자치도,202003,21410,236
강원특별자치도,202004,20867,271
강원특별자치도,202005,16437,316
강원특별자치도,202006,25566,362
강원특별자치도,202007,18041,380
강원특별자치도,202008,34971,381
강원특별자치도,202009,25647,321
강원특별자치도,202010,33247,278
강원특별자치도,202011,20774,304
강원특별자치도,202012,34425,372
강원특별자치도,202101,13235,274
강원특별자치도,202102,24653,285
강원특별자치도,202103,17736,368
강원특별자치도,202104,34548,388
강원특별자치도,202105,25183,365
강원특별자치도,202106,40972,468
강원특별자치도,202107,57529,550
강원특별자치도,202108,33638,459
강원특별자치도,202109,38929,444
강원특별자치도,202110,45522,507
강원특별자치도,202111,39839,538
강원특별자치도,202112,38346,475
강원특별자치도,202201,29403,379
강원특별자치도,202202,64620,309
강원특별자치도,202203,35934,369
강원특별자치도,202204,55420,454
강원특별자치도,202205,63744,608
강원특별자치도,202206,89644,731
강원특별자치도,202207,102271,864
강원특별자치도,202208,77304,890
강원특별자치도,202209,108070,795
강원특별자치도,202210,71216,829
강원특별자치도,202211,70824,793
강원특별자치도,202212,81284,915
강원특별자치도,202301,52441,672
강원특별자치도,202302,45674,556
강원특별자치도,202303,50037,631
강원특별자치도,202304,69136,842
강원특별자치도,202305,87373,988
강원특별자치도,202306,71210,940
강원특별자치도,202307,93371,1119
강원특별자치도,202308,79429,992
강원특별자치도,202309,78901,945
강원특별자치도,202310,81557,1070
강원특별자치도,202311,80441,876
강원특별자치도,202312,87648,1083
강원특별자치도,202401,62291,941
강원특별자치도,202402,72516,755
강원특별자치도,202403,73187,815
강원특별자치도,202404,106795,1112
강원특별자치도,202405,90637,1139
강원특별자치도,202406,94841,1190
강원특별자치도,202407,85788,1250
강원특별자치도,202408,88631,1171
강원특별자치도,202409,120228,1126
강원특별자치도,202410,146211,1420
강원특별자치도,202411,102268,1171
강원특별자치도,202412,99391,1401
강원특별자치도,202501,95601,1094
강원특별자치도,202502,90305,848
강원특별자치도,202503,97293,1025
강원특별자치도,202504,111164,1305
강원특별자치도,202505,104902,1450
강원특별자치도,202506,94645,1355
강원특별자치도,202507,119849,1410
강원특별자치도,202508,71126,1036
강원특별자치도,202509,129606,1294
강원특별자치도,202510,107434,1544
강원특별자치도,202511,114075,1368
강원특별자치도,202512,171348,1820
강원특별자치도,202601,89350,1281
강원특별자치도,202602,104694,1184
강원특별자치도,202603,160390,1582
강원특별자치도,202604,170246,2003
강원특별자치도,202605,165818,1907
강원특별자치도,202606,182136,2322
강원특별자치도,202607,167552,1938
경기도,202001,1621763,9693
경기도,202002,1656659,8889
경기도,202003,835518,4565
경기도,202004,490484,4579
경기도,202005,786285,5278
경기도,202006,1126909,6654
경기도,202007,1164493,7326
경기도,202008,937986,6758
경기도,202009,1043602,6902
경기도,202010,1131137,7193
경기도,202011,1077256,7248
경기도,202012,1194959,7705
경기도,202101,1080287,6922
경기도,202102,1031508,6719
경기도,202103,1421178,8199
경기도,202104,1202074,8629
경기도,202105,1228387,8688
경기도,202106,1476086,9988
경기도,202107,1605789,11421
경기도,202108,1387441,10543
경기도,202109,1243252,8951
경기도,202110,1386776,10136
경기도,202111,1459035,10979
경기도,202112,1244429,10210
경기도,202201,1153453,8234
경기도,202202,1270187,8259
경기도,202203,1332056,10225
경기도,202204,1616193,11427
경기도,202205,1866604,13699
경기도,202206,2049406,15209
경기도,202207,2179803,17215
경기도,202208,2041881,15628
경기도,202209,1920238,14654
경기도,202210,2411283,16124
경기도,202211,2255758,15879
경기도,202212,2270910,16062
경기도,202301,1937271,12934
경기도,202302,2004459,11544
경기도,202303,2191578,14407
경기도,202304,2437074,16779
경기도,202305,2712254,17568
경기도,202306,2880042,18502
경기도,202307,2342991,18253
경기도,202308,2199165,16084
경기도,202309,2221378,15217
경기도,202310,2832195,18533
경기도,202311,2718450,17734
경기도,202312,2408897,16594
경기도,202401,3164386,16870
경기도,202402,2630879,14242
경기도,202403,3312728,17509
경기도,202404,3570157,21237
경기도,202405,3808768,22102
경기도,202406,3951745,23038
경기도,202407,4290859,24860
경기도,202408,3550931,20994
경기도,202409,3628846,20052
경기도,202410,4705586,25436
경기도,202411,4492523,23793
경기도,202412,4291783,25069
경기도,202501,4031220,20722
경기도,202502,3464409,18709
경기도,202503,4698717,23246
경기도,202504,5239891,27138
경기도,202505,4524244,26466
경기도,202506,5040138,27845
경기도,202507,4580558,27970
경기도,202508,3841152,22492
