시도명,기준연도,진료과목,소비액 비율(%),소비건수 비율(%)
강원특별자치도,2020,대학/종합병원,41.24,18.87
강원특별자치도,2020,성형외과,1.73,0.35
강원특별자치도,2020,안과,1.02,1.15
강원특별자치도,2020,약국,33.91,66.15
강원특별자치도,2020,치과,16.18,6.59
강원특별자치도,2020,피부과,3.26,1.38
강원특별자치도,2020,한약방,0.19,0.13
강원특별자치도,2020,한의학과,2.48,5.37
강원특별자치도,2021,대학/종합병원,51.81,30.35
강원특별자치도,2021,성형외과,1.11,0.41
강원특별자치도,2021,안과,1.3,1.77
강원특별자치도,2021,약국,15.98,53.14
강원특별자치도,2021,치과,22.56,7.44
강원특별자치도,2021,피부과,1.85,1.67
강원특별자치도,2021,한약방,0.5,0.2
강원특별자치도,2021,한의학과,4.88,5.04
강원특별자치도,2022,대학/종합병원,52.19,20.21
강원특별자치도,2022,성형외과,0.88,0.42
강원특별자치도,2022,안과,1.18,1.93
강원특별자치도,2022,약국,15.21,61.91
강원특별자치도,2022,치과,19.07,7.86
강원특별자치도,2022,피부과,5.6,3.32
강원특별자치도,2022,한약방,0.24,0.18
강원특별자치도,2022,한의학과,5.63,4.17
강원특별자치도,2023,대학/종합병원,34.03,14.17
강원특별자치도,2023,성형외과,2.75,0.35
강원특별자치도,2023,안과,2.73,1.9
강원특별자치도,2023,약국,19.9,68.02
강원특별자치도,2023,치과,21.12,7.71
강원특별자치도,2023,피부과,12.57,3.29
강원특별자치도,2023,한약방,0.18,0.24
강원특별자치도,2023,한의학과,6.7,4.32
강원특별자치도,2024,대학/종합병원,34.31,11.87
강원특별자치도,2024,성형외과,2.49,0.42
강원특별자치도,2024,안과,2.13,2.05
강원특별자치도,2024,약국,21.6,70.54
강원특별자치도,2024,치과,25.95,7.9
강원특별자치도,2024,피부과,7.87,2.65
강원특별자치도,2024,한약방,0.11,0.19
강원특별자치도,2024,한의학과,5.53,4.38
강원특별자치도,2025,대학/종합병원,34.38,10.01
강원특별자치도,2025,성형외과,3.56,0.33
강원특별자치도,2025,안과,1.2,1.97
강원특별자치도,2025,약국,23.11,73.32
강원특별자치도,2025,치과,24.02,8.15
강원특별자치도,2025,피부과,9.23,2.35
강원특별자치도,2025,한약방,0.15,0.27
강원특별자치도,2025,한의학과,4.35,3.59
강원특별자치도,2026,대학/종합병원,30.45,9.1
강원특별자치도,2026,성형외과,2.97,0.46
강원특별자치도,2026,안과,1.45,1.85
강원특별자치도,2026,약국,23.54,73.8
강원특별자치도,2026,치과,24.36,8.05
강원특별자치도,2026,피부과,12.65,3.07
강원특별자치도,2026,한약방,0.24,0.25
강원특별자치도,2026,한의학과,4.33,3.42
경기도,2020,대학/종합병원,39.08,20.22
경기도,2020,성형외과,1.85,0.34
경기도,2020,안과,0.7,1.4
경기도,2020,약국,19.01,55.61
경기도,2020,치과,21.93,10.24
경기도,2020,피부과,13.57,7.84
경기도,2020,한약방,0.14,0.08
경기도,2020,한의학과,3.72,4.27
경기도,2021,대학/종합병원,47.01,34.61
경기도,2021,성형외과,1.07,0.31
경기도,2021,안과,0.81,1.52
경기도,2021,약국,9.85,41.11
경기도,2021,치과,21.76,10.08
경기도,2021,피부과,16.13,7.93
경기도,2021,한약방,0.05,0.03
경기도,2021,한의학과,3.31,4.42
경기도,2022,대학/종합병원,39.0,26.3
경기도,2022,성형외과,3.08,0.43
경기도,2022,안과,1.23,1.73
경기도,2022,약국,11.17,49.33
경기도,2022,치과,23.56,9.86
경기도,2022,피부과,17.8,8.03
경기도,2022,한약방,0.08,0.05
경기도,2022,한의학과,4.08,4.29
경기도,2023,대학/종합병원,36.86,18.93
경기도,2023,성형외과,4.53,0.55
경기도,2023,안과,1.44,1.93
경기도,2023,약국,11.69,55.5
경기도,2023,치과,21.29,9.74
경기도,2023,피부과,20.32,8.97
경기도,2023,한약방,0.04,0.03
경기도,2023,한의학과,3.85,4.35
경기도,2024,대학/종합병원,45.79,18.69
경기도,2024,성형외과,3.19,0.56
경기도,2024,안과,1.23,2.08
경기도,2024,약국,11.57,56.56
경기도,2024,치과,17.65,9.46
경기도,2024,피부과,17.34,8.18
