기준년월,기초지자체,중분류,소비액(천원)
2020,강남구,관광총소비,1.98964691E8
2021,강남구,관광총소비,1.48371264E8
2024,강남구,관광총소비,1.726723525E9
2025,강남구,관광총소비,2.31043492E9
2022,강남구,관광총소비,5.27297858E8
2018,강남구,관광총소비,6.29468046E8
2019,강남구,관광총소비,8.85612617E8
2023,강남구,관광총소비,1.205284871E9
2020,강남구,호텔,1.448437E7
2020,강남구,캠핑장/펜션,18825.0
2020,강남구,기타숙박,3534273.0
2020,강남구,여행업,59982.0
2020,강남구,육상운송,3715171.0
2020,강남구,렌터카,13182.0
2020,강남구,면세점,4754233.0
2020,강남구,대형쇼핑몰,2.7862141E7
2020,강남구,레저용품쇼핑,4933777.0
2020,강남구,기타관광쇼핑,4.4722954E7
2020,강남구,골프장,114922.0
2020,강남구,기타레저,1207217.0
2020,강남구,문화서비스,471543.0
2020,강남구,의료관광,3.8698339E7
2020,강남구,뷰티,1.5458863E7
2020,강남구,일반외식업,2.8013431E7
2020,강남구,제과음료업,1.0901467E7
2021,강남구,호텔,1.1990414E7
2021,강남구,캠핑장/펜션,811.0
2021,강남구,기타숙박,2564752.0
2021,강남구,여행업,53580.0
2021,강남구,육상운송,4754337.0
2021,강남구,렌터카,13394.0
2021,강남구,면세점,2284570.0
2021,강남구,대형쇼핑몰,2.4587819E7
2021,강남구,레저용품쇼핑,3565383.0
2021,강남구,기타관광쇼핑,2.8013389E7
2021,강남구,골프장,169471.0
2021,강남구,기타레저,1183559.0
2021,강남구,문화서비스,577773.0
2021,강남구,의료관광,2.6575442E7
2021,강남구,뷰티,1.0975352E7
2021,강남구,일반외식업,2.1313537E7
2021,강남구,제과음료업,9747682.0
2024,강남구,기타숙박,3.9771715E7
2024,강남구,여행업,857079.0
2024,강남구,렌터카,34861.0
2024,강남구,면세점,7.5323921E7
2024,강남구,레저용품쇼핑,4.5273565E7
2024,강남구,문화서비스,6242084.0
2024,강남구,의료관광,3.71518192E8
2024,강남구,제과음료업,4.9603484E7
2025,강남구,호텔,1.21105363E8
2025,강남구,캠핑장/펜션,18864.0
2025,강남구,육상운송,4.1980716E7
2025,강남구,대형쇼핑몰,2.86256475E8
2025,강남구,기타관광쇼핑,3.94388986E8
2025,강남구,골프장,220801.0
2025,강남구,기타레저,5729738.0
2025,강남구,뷰티,4.40113992E8
2025,강남구,일반외식업,1.97339485E8
2022,강남구,호텔,6.8099383E7
2022,강남구,캠핑장/펜션,11041.0
2022,강남구,기타숙박,1.5974795E7
2022,강남구,여행업,198021.0
2022,강남구,육상운송,2.1652579E7
2022,강남구,렌터카,24412.0
2022,강남구,면세점,1.4250724E7
2022,강남구,대형쇼핑몰,8.5904151E7
2022,강남구,레저용품쇼핑,1.3945697E7
2022,강남구,기타관광쇼핑,8.1770574E7
2022,강남구,골프장,223571.0
2022,강남구,기타레저,1715580.0
2022,강남구,문화서비스,1743555.0
2022,강남구,의료관광,9.8976553E7
2022,강남구,뷰티,3.9897166E7
2022,강남구,일반외식업,6.360879E7
2022,강남구,제과음료업,1.9301266E7
2024,강남구,호텔,1.22999122E8
2024,강남구,캠핑장/펜션,11355.0
2024,강남구,육상운송,5.3989138E7
2024,강남구,대형쇼핑몰,2.17114075E8
2024,강남구,기타관광쇼핑,2.80636682E8
2024,강남구,골프장,223393.0
2024,강남구,기타레저,4181596.0
2024,강남구,뷰티,2.99540677E8
2024,강남구,일반외식업,1.59402588E8
2018,강남구,호텔,1.5168401E8
2018,강남구,콘도,304.0
2018,강남구,캠핑장/펜션,57844.0
2018,강남구,기타숙박,2.2560533E7
2018,강남구,여행업,333076.0
2018,강남구,육상운송,4468349.0
2018,강남구,수상운송,6940.0
2018,강남구,렌터카,32993.0
2018,강남구,면세점,1.1373992E7
2018,강남구,대형쇼핑몰,7.1512167E7
2018,강남구,레저용품쇼핑,1.5888622E7
2018,강남구,기타관광쇼핑,1.26007931E8
2018,강남구,관광유원시설,5749.0
2018,강남구,골프장,48020.0
2018,강남구,기타레저,1023773.0
2018,강남구,문화서비스,2079114.0
2018,강남구,의료관광,1.12531242E8
2018,강남구,뷰티,2.0389784E7
2018,강남구,일반외식업,6.756607E7
2018,강남구,제과음료업,2.1897531E7
2019,강남구,호텔,1.51755566E8
2019,강남구,캠핑장/펜션,66436.0
2019,강남구,기타숙박,2.8326605E7
2019,강남구,여행업,388196.0
2019,강남구,육상운송,1.2100561E7
2019,강남구,수상운송,9346.0
2019,강남구,렌터카,21292.0
2019,강남구,면세점,6.3482923E7
2019,강남구,대형쇼핑몰,1.01103677E8
2019,강남구,레저용품쇼핑,2.3194352E7
2019,강남구,기타관광쇼핑,1.8925393E8
2019,강남구,골프장,76128.0
2019,강남구,기타레저,1940406.0
2019,강남구,문화서비스,2913344.0
2019,강남구,의료관광,1.53717588E8
2019,강남구,뷰티,3.251022E7
2019,강남구,일반외식업,9.8404598E7
2019,강남구,제과음료업,2.6347448E7
2025,강남구,기타숙박,4.1237983E7
2025,강남구,여행업,199379.0
2025,강남구,렌터카,81133.0
2025,강남구,면세점,8.3473041E7
2025,강남구,레저용품쇼핑,5.4339383E7
2025,강남구,문화서비스,7156264.0
2025,강남구,의료관광,5.69546434E8
2025,강남구,제과음료업,6.7246882E7
2023,강남구,호텔,1.06935805E8
2023,강남구,캠핑장/펜션,15873.0
2023,강남구,기타숙박,3.504837E7
2023,강남구,여행업,528139.0
2023,강남구,육상운송,4.602793E7
2023,강남구,렌터카,42434.0
2023,강남구,면세점,5.0043532E7
2023,강남구,대형쇼핑몰,1.66334515E8
2023,강남구,레저용품쇼핑,3.559365E7
2023,강남구,기타관광쇼핑,1.92972798E8
2023,강남구,관광유원시설,110.0
2023,강남구,골프장,215813.0
2023,강남구,기타레저,3043152.0
2023,강남구,문화서비스,5081821.0
2023,강남구,의료관광,2.45790491E8
2023,강남구,뷰티,1.57442684E8
2023,강남구,일반외식업,1.22161575E8
2023,강남구,제과음료업,3.8006179E7
2019,강남구,콘도,0.0
2019,강남구,관광유원시설,0.0
2020,강남구,수상운송,0.0
2024,강남구,관광유원시설,0.0
