기준년월,광역지자체,중분류,소비액(천원)
2020,서울특별시,관광총소비,8.68653264E8
2021,서울특별시,관광총소비,5.20866974E8
2024,서울특별시,관광총소비,6.204203083E9
2025,서울특별시,관광총소비,7.937537785E9
2022,서울특별시,관광총소비,1.775809633E9
2018,서울특별시,관광총소비,4.121813958E9
2019,서울특별시,관광총소비,4.780073508E9
2023,서울특별시,관광총소비,4.38316297E9
2020,서울특별시,호텔,1.29505898E8
2020,서울특별시,캠핑장/펜션,320826.0
2020,서울특별시,기타숙박,1.6773893E7
2020,서울특별시,여행업,7468521.0
2020,서울특별시,육상운송,3.0572609E7
2020,서울특별시,수상운송,116611.0
2020,서울특별시,항공운송,5126597.0
2020,서울특별시,면세점,5.1027877E7
2020,서울특별시,대형쇼핑몰,2.12412062E8
2020,서울특별시,레저용품쇼핑,1.236338E7
2020,서울특별시,기타관광쇼핑,1.48103501E8
2020,서울특별시,골프장,416861.0
2020,서울특별시,기타레저,5542712.0
2020,서울특별시,문화서비스,2105892.0
2020,서울특별시,의료관광,7.9845018E7
2020,서울특별시,뷰티,4.139198E7
2020,서울특별시,일반외식업,1.03491338E8
2020,서울특별시,제과음료업,2.116966E7
2020,서울특별시,콘도,582051.0
2020,서울특별시,렌터카,311589.0
2020,서울특별시,관광유원시설,4131.0
2020,서울특별시,스키장,260.0
2021,서울특별시,호텔,7.1186245E7
2021,서울특별시,캠핑장/펜션,63547.0
2021,서울특별시,기타숙박,1.1247957E7
2021,서울특별시,여행업,625671.0
2021,서울특별시,육상운송,2.8259651E7
2021,서울특별시,수상운송,167113.0
2021,서울특별시,항공운송,2674454.0
2021,서울특별시,면세점,8409933.0
2021,서울특별시,대형쇼핑몰,1.23732289E8
2021,서울특별시,레저용품쇼핑,9228441.0
2021,서울특별시,기타관광쇼핑,8.1501837E7
2021,서울특별시,관광유원시설,24242.0
2021,서울특별시,골프장,484013.0
2021,서울특별시,기타레저,6312942.0
2021,서울특별시,문화서비스,1876789.0
2021,서울특별시,의료관광,5.6914373E7
2021,서울특별시,뷰티,1.9788029E7
2021,서울특별시,일반외식업,7.7525897E7
2021,서울특별시,제과음료업,1.9880725E7
2021,서울특별시,콘도,516423.0
2021,서울특별시,렌터카,445801.0
2021,서울특별시,스키장,600.0
2024,서울특별시,기타숙박,1.7917864E8
2024,서울특별시,여행업,7118742.0
2024,서울특별시,면세점,2.29379285E8
2024,서울특별시,레저용품쇼핑,1.22695597E8
2024,서울특별시,문화서비스,2.5350284E7
2024,서울특별시,의료관광,7.59755106E8
2024,서울특별시,제과음료업,1.63949904E8
2024,서울특별시,호텔,8.2041848E8
2024,서울특별시,캠핑장/펜션,2003017.0
2024,서울특별시,육상운송,1.70940239E8
2024,서울특별시,항공운송,1.6749274E7
2024,서울특별시,대형쇼핑몰,1.279362716E9
2024,서울특별시,기타관광쇼핑,1.196634632E9
2024,서울특별시,골프장,3396942.0
2024,서울특별시,기타레저,2.0637542E7
2024,서울특별시,뷰티,5.2628842E8
2024,서울특별시,일반외식업,6.7686152E8
2024,서울특별시,렌터카,1630625.0
2024,서울특별시,관광유원시설,178686.0
2025,서울특별시,호텔,8.36523339E8
2025,서울특별시,캠핑장/펜션,1304500.0
2025,서울특별시,육상운송,1.67496936E8
2025,서울특별시,항공운송,1.8851262E7
2025,서울특별시,대형쇼핑몰,1.567478481E9
2025,서울특별시,기타관광쇼핑,1.560056633E9
2025,서울특별시,골프장,2984554.0
2025,서울특별시,기타레저,2.6722829E7
2025,서울특별시,뷰티,7.45329824E8
2025,서울특별시,일반외식업,8.42958724E8
2025,서울특별시,콘도,1518089.0
2025,서울특별시,기타숙박,1.93306825E8
2025,서울특별시,여행업,6850240.0
2025,서울특별시,렌터카,1622123.0
2025,서울특별시,면세점,2.42975404E8
2025,서울특별시,레저용품쇼핑,1.67313507E8
2025,서울특별시,문화서비스,3.2126541E7
2025,서울특별시,의료관광,1.300227751E9
2025,서울특별시,제과음료업,2.21293894E8
2025,서울특별시,관광유원시설,241917.0
2025,서울특별시,수상운송,354413.0
2022,서울특별시,호텔,3.33156227E8
2022,서울특별시,캠핑장/펜션,823997.0
2022,서울특별시,기타숙박,5.9818934E7
2022,서울특별시,여행업,2674715.0
2022,서울특별시,육상운송,6.6520961E7
2022,서울특별시,수상운송,351012.0
2022,서울특별시,항공운송,7297378.0
2022,서울특별시,면세점,4.91418E7
2022,서울특별시,대형쇼핑몰,4.20025494E8
2022,서울특별시,레저용품쇼핑,3.1819133E7
2022,서울특별시,기타관광쇼핑,2.63371786E8
2022,서울특별시,골프장,673797.0
2022,서울특별시,기타레저,9824714.0
2022,서울특별시,문화서비스,6164634.0
2022,서울특별시,의료관광,1.65639547E8
2022,서울특별시,뷰티,7.3485001E7
2022,서울특별시,일반외식업,2.34423903E8
2022,서울특별시,제과음료업,4.8507238E7
2022,서울특별시,콘도,985033.0
2022,서울특별시,렌터카,1037442.0
2022,서울특별시,관광유원시설,66886.0
2024,서울특별시,콘도,1374217.0
2024,서울특별시,수상운송,299214.0
2018,서울특별시,호텔,8.20252147E8
2018,서울특별시,캠핑장/펜션,2232631.0
2018,서울특별시,기타숙박,9.3740434E7
2018,서울특별시,여행업,9115812.0
2018,서울특별시,육상운송,7.2025018E7
2018,서울특별시,항공운송,2.117813E7
2018,서울특별시,면세점,4.90983684E8
2018,서울특별시,대형쇼핑몰,1.31081544E9
2018,서울특별시,레저용품쇼핑,4.3418699E7
2018,서울특별시,기타관광쇼핑,5.66432732E8
2018,서울특별시,골프장,223286.0
2018,서울특별시,기타레저,5684597.0
2018,서울특별시,문화서비스,9154013.0
2018,서울특별시,의료관광,1.95499413E8
2018,서울특별시,뷰티,1.62551666E8
2018,서울특별시,일반외식업,2.75280744E8
2018,서울특별시,제과음료업,4.1290499E7
2018,서울특별시,콘도,1011718.0
2018,서울특별시,렌터카,737556.0
2018,서울특별시,관광유원시설,11686.0
2018,서울특별시,수상운송,174053.0
2019,서울특별시,호텔,9.88318271E8
2019,서울특별시,캠핑장/펜션,2265637.0
2019,서울특별시,기타숙박,1.20236681E8
2019,서울특별시,여행업,7827606.0
2019,서울특별시,육상운송,9.896988E7
2019,서울특별시,수상운송,288072.0
2019,서울특별시,항공운송,1.5216676E7
2019,서울특별시,면세점,5.89323695E8
2019,서울특별시,대형쇼핑몰,1.286158268E9
2019,서울특별시,레저용품쇼핑,5.4147422E7
2019,서울특별시,기타관광쇼핑,7.00249886E8
2019,서울특별시,골프장,261789.0
2019,서울특별시,기타레저,9198508.0
2019,서울특별시,문화서비스,1.1605054E7
2019,서울특별시,의료관광,2.54217046E8
2019,서울특별시,뷰티,1.95954969E8
2019,서울특별시,일반외식업,3.87080796E8
2019,서울특별시,제과음료업,5.6733605E7
2019,서울특별시,콘도,1204883.0
2019,서울특별시,렌터카,797325.0
2019,서울특별시,관광유원시설,17331.0
2019,서울특별시,스키장,110.0
2023,서울특별시,호텔,6.80462624E8
2023,서울특별시,캠핑장/펜션,2417141.0
2023,서울특별시,기타숙박,1.42752505E8
2023,서울특별시,여행업,5943622.0
2023,서울특별시,육상운송,1.44989284E8
2023,서울특별시,수상운송,374338.0
2023,서울특별시,항공운송,1.2240374E7
2023,서울특별시,면세점,1.77290253E8
2023,서울특별시,대형쇼핑몰,9.05709845E8
2023,서울특별시,레저용품쇼핑,8.6161689E7
2023,서울특별시,기타관광쇼핑,8.48133443E8
2023,서울특별시,골프장,1126797.0
2023,서울특별시,기타레저,1.6031918E7
2023,서울특별시,문화서비스,1.7310448E7
2023,서울특별시,의료관광,4.18435181E8
2023,서울특별시,뷰티,2.88514367E8
2023,서울특별시,일반외식업,5.17164596E8
2023,서울특별시,제과음료업,1.15004458E8
2023,서울특별시,콘도,1465345.0
2023,서울특별시,렌터카,1484073.0
2023,서울특별시,관광유원시설,150671.0
2022,서울특별시,스키장,0.0
