기준년월,광역지자체,중분류,지출액(천원)
2018,전국,관광총소비,7.063743924E9
2019,전국,관광총소비,8.268687826E9
2020,전국,관광총소비,1.959826854E9
2021,전국,관광총소비,1.532678628E9
2022,전국,관광총소비,3.862154107E9
2023,전국,관광총소비,8.518017462E9
2024,전국,관광총소비,1.1638162936E10
2025,전국,관광총소비,1.4734967093E10
2018,전국,호텔,1.57636969E9
2018,전국,콘도,1.10751373E8
2018,전국,캠핑장/펜션,1.4147198E7
2018,전국,기타숙박,3.42103002E8
2018,전국,여행업,2.6593041E7
2018,전국,육상운송,1.39510545E8
2018,전국,수상운송,826984.0
2018,전국,항공운송,2.95177935E8
2018,전국,렌터카,1.0681604E7
2018,전국,면세점,9.59597599E8
2018,전국,레저용품쇼핑,7.1065474E7
2018,전국,기타관광쇼핑,7.5887006E8
2018,전국,관광유원시설,4953560.0
2018,전국,골프장,1.8816445E7
2018,전국,기타레저,1.3429863E7
2018,전국,문화서비스,1.5953608E7
2018,전국,의료관광,2.9583466E8
2018,전국,뷰티,2.24161379E8
2018,전국,일반외식업,4.90794444E8
2018,전국,제과음료업,7.355113E7
2018,전국,대형쇼핑몰,1.620422796E9
2018,전국,스키장,131533.0
2019,전국,호텔,1.868650366E9
2019,전국,콘도,6.9815503E7
2019,전국,캠핑장/펜션,1.360378E7
2019,전국,기타숙박,4.28631764E8
2019,전국,여행업,2.442704E7
2019,전국,육상운송,1.8860296E8
2019,전국,수상운송,998125.0
2019,전국,항공운송,3.35051229E8
2019,전국,렌터카,1.3227584E7
2019,전국,면세점,1.125904217E9
2019,전국,레저용품쇼핑,9.1926617E7
2019,전국,기타관광쇼핑,9.39195625E8
2019,전국,관광유원시설,6827431.0
2019,전국,골프장,1.953098E7
2019,전국,기타레저,2.261733E7
2019,전국,문화서비스,2.1589021E7
2019,전국,의료관광,3.88618581E8
2019,전국,뷰티,2.64470602E8
2019,전국,일반외식업,6.93954938E8
2019,전국,제과음료업,1.02355663E8
2019,전국,대형쇼핑몰,1.648568431E9
2019,전국,스키장,120040.0
2020,전국,호텔,3.80338548E8
2020,전국,콘도,2.3969774E7
2020,전국,캠핑장/펜션,1759160.0
2020,전국,기타숙박,1.28224373E8
2020,전국,여행업,1.0651754E7
2020,전국,육상운송,5.8347956E7
2020,전국,수상운송,243263.0
2020,전국,항공운송,9.6296525E7
2020,전국,렌터카,5092773.0
2020,전국,면세점,1.30120376E8
2020,전국,레저용품쇼핑,2.5804323E7
2020,전국,기타관광쇼핑,2.39303044E8
2020,전국,관광유원시설,1107331.0
2020,전국,골프장,1.5505584E7
2020,전국,기타레저,1.2792079E7
2020,전국,문화서비스,5227580.0
2020,전국,의료관광,1.42213622E8
2020,전국,뷰티,5.8242694E7
2020,전국,일반외식업,2.38094102E8
2020,전국,제과음료업,4.0514876E7
2020,전국,대형쇼핑몰,3.45913934E8
2020,전국,스키장,63183.0
2021,전국,호텔,3.14784911E8
2021,전국,콘도,3.4609047E7
2021,전국,캠핑장/펜션,773116.0
2021,전국,기타숙박,1.49688223E8
2021,전국,여행업,2265610.0
2021,전국,육상운송,5.8197799E7
2021,전국,수상운송,273151.0
2021,전국,항공운송,4.3445615E7
2021,전국,렌터카,5819664.0
2021,전국,면세점,4.2956182E7
2021,전국,레저용품쇼핑,1.8918855E7
2021,전국,기타관광쇼핑,1.63398021E8
2021,전국,관광유원시설,1577998.0
2021,전국,골프장,2.4354904E7
2021,전국,기타레저,1.387405E7
2021,전국,문화서비스,5603223.0
2021,전국,의료관광,1.1380951E8
2021,전국,뷰티,3.6070797E7
2021,전국,일반외식업,2.16348331E8
2021,전국,제과음료업,4.1518032E7
2021,전국,대형쇼핑몰,2.44364823E8
2021,전국,스키장,26764.0
2022,전국,호텔,8.68117845E8
2022,전국,콘도,2.5657679E7
2022,전국,캠핑장/펜션,2338281.0
2022,전국,기타숙박,2.8959276E8
2022,전국,여행업,9625242.0
2022,전국,육상운송,1.42805672E8
2022,전국,수상운송,516901.0
2022,전국,항공운송,2.26685523E8
2022,전국,렌터카,1.5676928E7
2022,전국,면세점,1.74632581E8
2022,전국,레저용품쇼핑,4.7757843E7
2022,전국,기타관광쇼핑,3.95866711E8
2022,전국,관광유원시설,5511682.0
2022,전국,골프장,3.3698328E7
2022,전국,기타레저,2.0281627E7
2022,전국,문화서비스,1.4293156E7
2022,전국,의료관광,2.6299094E8
2022,전국,뷰티,9.9135138E7
2022,전국,일반외식업,5.00010118E8
2022,전국,제과음료업,9.2058324E7
2022,전국,대형쇼핑몰,6.34869139E8
2022,전국,스키장,31690.0
2023,전국,호텔,1.723831267E9
2023,전국,콘도,3.9925054E7
2023,전국,캠핑장/펜션,7001146.0
2023,전국,기타숙박,5.78248258E8
2023,전국,여행업,1.8910845E7
2023,전국,육상운송,3.04582715E8
2023,전국,수상운송,1123146.0
2023,전국,항공운송,5.93347278E8
2023,전국,렌터카,3.0131259E7
2023,전국,면세점,4.51344718E8
2023,전국,레저용품쇼핑,1.24377645E8
2023,전국,기타관광쇼핑,1.116241972E9
2023,전국,관광유원시설,1.2442556E7
2023,전국,골프장,4.849401E7
2023,전국,기타레저,3.2459763E7
2023,전국,문화서비스,3.407842E7
2023,전국,의료관광,5.81715547E8
2023,전국,뷰티,3.47219985E8
2023,전국,일반외식업,9.76901265E8
2023,전국,제과음료업,2.01958722E8
2023,전국,대형쇼핑몰,1.29368189E9
2024,전국,호텔,2.217977287E9
2024,전국,콘도,4.9339686E7
2024,전국,캠핑장/펜션,4586378.0
2024,전국,기타숙박,6.84595545E8
2024,전국,여행업,2.2403573E7
2024,전국,육상운송,3.96048775E8
2024,전국,수상운송,1126340.0
2024,전국,항공운송,7.45817091E8
2024,전국,렌터카,3.9250922E7
2024,전국,면세점,5.76194905E8
2024,전국,레저용품쇼핑,1.79070079E8
2024,전국,기타관광쇼핑,1.554445325E9
2024,전국,관광유원시설,1.575238E7
2024,전국,골프장,4.7857824E7
2024,전국,기타레저,4.2858034E7
2024,전국,문화서비스,4.8913722E7
2024,전국,의료관광,1.03878922E9
2024,전국,뷰티,6.09082357E8
2024,전국,일반외식업,1.279187501E9
2024,전국,제과음료업,2.91308126E8
2024,전국,대형쇼핑몰,1.793346706E9
2024,전국,스키장,211158.0
2025,전국,호텔,2.553986794E9
2025,전국,콘도,5.8006068E7
2025,전국,캠핑장/펜션,4650133.0
2025,전국,기타숙박,7.68171826E8
2025,전국,여행업,2.1453253E7
2025,전국,육상운송,4.59828203E8
2025,전국,수상운송,1295252.0
2025,전국,항공운송,9.09435594E8
