광역지자체,소비액,전년동기 소비액
서울특별시,3.0592121174E10,2.2654583389E10
부산광역시,2.802126904E9,1.977461759E9
대구광역시,3.68079041E8,2.95276119E8
인천광역시,3.170939201E9,2.347628624E9
광주광역시,1.15774876E8,9.219959E7
대전광역시,2.5153887E8,2.00349381E8
울산광역시,1.05308816E8,8.4123444E7
세종특별자치시,1.7760222E7,1.3063865E7
경기도,3.9510457E9,3.104211507E9
충청북도,1.29719069E8,1.00944148E8
충청남도,1.88038882E8,1.4752853E8
전라남도,1.03661076E8,8.2993022E7
경상북도,2.64823711E8,1.9719702E8
경상남도,2.97375567E8,2.34899693E8
제주특별자치도,1.486865456E9,1.173910073E9
강원특별자치도,2.8213944E8,2.24342927E8
전북특별자치도,1.77806443E8,1.4163791E8
온라인 소비액,1.3273114382E10,9.770920737E9
