방문자 거주지,방문지,기준년월,거주지 관광소비 비율(%),전체 관광소비액(천원)
대만,강원특별자치도,202001,3.002,5672147
대만,강원특별자치도,202002,2.969,2369131
대만,강원특별자치도,202003,0.285,673829
대만,강원특별자치도,202004,0.362,668254
대만,강원특별자치도,202005,0.195,751476
대만,강원특별자치도,202006,0.371,829504
대만,강원특별자치도,202007,0.212,1198248
대만,강원특별자치도,202008,0.463,1094231
대만,강원특별자치도,202009,0.206,1075294
대만,강원특별자치도,202010,0.4,1170418
대만,강원특별자치도,202011,0.252,962200
대만,강원특별자치도,202012,0.306,861894
대만,강원특별자치도,202101,0.258,749368
대만,강원특별자치도,202102,0.532,1064215
대만,강원특별자치도,202103,0.099,869103
대만,강원특별자치도,202104,0.117,867159
대만,강원특별자치도,202105,0.22,1118353
대만,강원특별자치도,202106,0.177,1102241
대만,강원특별자치도,202107,0.259,1531474
대만,강원특별자치도,202108,0.451,1309439
대만,강원특별자치도,202109,0.196,1354214
대만,강원특별자치도,202110,0.284,1357771
대만,강원특별자치도,202111,0.27,1232315
대만,강원특별자치도,202112,0.166,1505838
대만,강원특별자치도,202201,0.376,1131981
대만,강원특별자치도,202202,0.263,1222613
대만,강원특별자치도,202203,0.161,1118199
대만,강원특별자치도,202204,0.259,1616237
대만,강원특별자치도,202205,0.361,2323166
대만,강원특별자치도,202206,0.748,2282525
대만,강원특별자치도,202207,0.396,2794204
대만,강원특별자치도,202208,0.305,2788137
대만,강원특별자치도,202209,0.636,3223648
대만,강원특별자치도,202210,0.725,3578243
대만,강원특별자치도,202211,0.66,2501660
대만,강원특별자치도,202212,1.214,5414833
대만,강원특별자치도,202301,5.493,3909861
대만,강원특별자치도,202302,4.584,2816591
대만,강원특별자치도,202303,3.09,2470977
대만,강원특별자치도,202304,2.803,3532632
대만,강원특별자치도,202305,1.246,3503293
대만,강원특별자치도,202306,1.731,3603632
대만,강원특별자치도,202307,1.797,3721307
대만,강원특별자치도,202308,1.797,4359043
대만,강원특별자치도,202309,1.699,3500794
대만,강원특별자치도,202310,1.873,4676423
대만,강원특별자치도,202311,2.228,3003481
대만,강원특별자치도,202312,2.892,6519994
대만,강원특별자치도,202401,5.119,5752507
대만,강원특별자치도,202402,6.55,4698338
대만,강원특별자치도,202403,2.237,2990382
대만,강원특별자치도,202404,1.994,3384418
대만,강원특별자치도,202405,1.696,3632763
대만,강원특별자치도,202406,3.181,5501989
대만,강원특별자치도,202407,2.178,3813270
대만,강원특별자치도,202408,1.946,4383123
대만,강원특별자치도,202409,1.98,4123483
대만,강원특별자치도,202410,1.911,5567470
대만,강원특별자치도,202411,1.783,3485011
대만,강원특별자치도,202412,2.82,7020599
대만,강원특별자치도,202501,8.796,5830564
대만,강원특별자치도,202502,8.811,4362570
대만,강원특별자치도,202503,2.73,3049864
대만,강원특별자치도,202504,1.646,3929638
대만,강원특별자치도,202505,1.392,4170550
대만,강원특별자치도,202506,1.849,4183558
대만,강원특별자치도,202507,3.5,4721259
대만,강원특별자치도,202508,3.271,4826066
대만,강원특별자치도,202509,2.176,3782946
대만,강원특별자치도,202510,2.154,5906202
대만,강원특별자치도,202511,1.944,4278026
대만,강원특별자치도,202512,3.332,8755272
대만,강원특별자치도,202601,9.043,6059742
대만,강원특별자치도,202602,12.414,6264365
대만,강원특별자치도,202603,3.375,4592667
대만,강원특별자치도,202604,1.906,6626635
대만,강원특별자치도,202605,1.812,7482784
대만,강원특별자치도,202606,1.88,7250879
대만,강원특별자치도,202607,3.928,6562572
대만,경기도,202001,4.122,35645465
대만,경기도,202002,4.079,27841973
대만,경기도,202003,0.546,13130988
대만,경기도,202004,0.556,10713056
대만,경기도,202005,0.456,14367337
대만,경기도,202006,0.574,15897945
대만,경기도,202007,0.784,18589907
대만,경기도,202008,1.065,17324322
대만,경기도,202009,0.866,18038518
대만,경기도,202010,0.578,20525355
대만,경기도,202011,0.719,19440468
대만,경기도,202012,0.841,18171345
대만,경기도,202101,1.14,15061376
대만,경기도,202102,0.668,16030119
대만,경기도,202103,0.812,21243734
대만,경기도,202104,0.944,20177076
대만,경기도,202105,0.637,22552175
대만,경기도,202106,0.811,21665377
대만,경기도,202107,0.894,22377770
대만,경기도,202108,1.009,22458652
대만,경기도,202109,0.858,21827526
대만,경기도,202110,0.906,26171074
대만,경기도,202111,1.136,24766252
대만,경기도,202112,0.984,22160903
대만,경기도,202201,1.268,14398933
대만,경기도,202202,1.015,17516907
대만,경기도,202203,1.234,22015432
대만,경기도,202204,1.003,28824957
대만,경기도,202205,0.964,33803354
대만,경기도,202206,1.021,36079282
대만,경기도,202207,1.237,41292078
대만,경기도,202208,1.125,37396217
대만,경기도,202209,1.476,40441868
대만,경기도,202210,1.69,50008197
대만,경기도,202211,1.981,44305235
대만,경기도,202212,2.343,44771504
대만,경기도,202301,3.285,33928781
대만,경기도,202302,3.649,34734011
대만,경기도,202303,2.915,46279852
대만,경기도,202304,3.302,51904071
대만,경기도,202305,3.461,53208270
대만,경기도,202306,3.774,52541921
대만,경기도,202307,3.879,51466523
대만,경기도,202308,4.097,48361309
대만,경기도,202309,3.63,50869110
대만,경기도,202310,3.404,60482191
대만,경기도,202311,3.171,56479006
대만,경기도,202312,3.145,52219285
대만,경기도,202401,4.439,44116233
대만,경기도,202402,4.612,42580869
대만,경기도,202403,3.778,56484205
대만,경기도,202404,4.018,60780313
대만,경기도,202405,3.762,59563239
대만,경기도,202406,3.741,61094062
대만,경기도,202407,4.206,58549297
대만,경기도,202408,4.496,58952896
대만,경기도,202409,3.81,59671026
대만,경기도,202410,3.506,70124218
대만,경기도,202411,3.714,68812692
대만,경기도,202412,4.04,66943173
대만,경기도,202501,5.748,52264894
대만,경기도,202502,5.366,50321885
대만,경기도,202503,3.898,69989767
대만,경기도,202504,3.736,73501735
대만,경기도,202505,3.918,74102725
대만,경기도,202506,4.025,72088580
대만,경기도,202507,5.122,68406089
대만,경기도,202508,5.224,66837951
대만,경기도,202509,4.548,69996920
대만,경기도,202510,4.408,80359800
대만,경기도,202511,4.351,84865689
대만,경기도,202512,5.871,84098157
대만,경기도,202601,5.804,67227887
대만,경기도,202602,7.079,58909312
대만,경기도,202603,4.336,90937569
대만,경기도,202604,4.104,103386696
대만,경기도,202605,4.927,106156472
대만,경기도,202606,5.031,99772775
대만,경기도,202607,5.527,95766721
대만,경상남도,202001,1.082,2821024
대만,경상남도,202002,0.948,2465061
대만,경상남도,202003,0.172,1367780
대만,경상남도,202004,0.194,1170629
대만,경상남도,202005,0.293,1215736
대만,경상남도,202006,0.224,1438797
대만,경상남도,202007,0.645,1457613
대만,경상남도,202008,0.332,1578318
대만,경상남도,202009,0.321,1718017
대만,경상남도,202010,1.314,1726256
대만,경상남도,202011,0.398,1910519
대만,경상남도,202012,0.474,1623108
대만,경상남도,202101,0.215,1379973
대만,경상남도,202102,0.393,1197886
대만,경상남도,202103,0.306,1624495
대만,경상남도,202104,0.542,1524906
대만,경상남도,202105,0.175,1748554
대만,경상남도,202106,0.312,1778325
대만,경상남도,202107,0.758,1706786
대만,경상남도,202108,0.858,1714196
대만,경상남도,202109,0.286,1767239
대만,경상남도,202110,0.659,2010019
대만,경상남도,202111,0.477,2075463
대만,경상남도,202112,0.373,1724010
대만,경상남도,202201,0.722,1207730
대만,경상남도,202202,0.876,1131395
대만,경상남도,202203,0.518,1655939
대만,경상남도,202204,0.928,1885531
대만,경상남도,202205,1.441,2307618
대만,경상남도,202206,0.916,2372788
대만,경상남도,202207,0.926,2939674
대만,경상남도,202208,0.919,2564154
대만,경상남도,202209,1.144,2441127
대만,경상남도,202210,1.109,2970887
대만,경상남도,202211,1.904,2686769
대만,경상남도,202212,1.996,2647160
대만,경상남도,202301,2.576,2060247
대만,경상남도,202302,2.34,2182245
대만,경상남도,202303,2.268,2895481
대만,경상남도,202304,2.588,3357719
대만,경상남도,202305,2.234,3550822
대만,경상남도,202306,2.998,3125441
대만,경상남도,202307,2.201,3572787
대만,경상남도,202308,3.084,3037381
대만,경상남도,202309,2.334,3688791
대만,경상남도,202310,2.947,4528625
대만,경상남도,202311,2.934,3697889
대만,경상남도,202312,7.391,3377265
대만,경상남도,202401,3.192,2963043
대만,경상남도,202402,3.721,2662662
대만,경상남도,202403,5.627,3731943
대만,경상남도,202404,2.606,3984774
대만,경상남도,202405,3.063,4029045
대만,경상남도,202406,2.433,4038907
대만,경상남도,202407,2.655,3972599
대만,경상남도,202408,3.328,3652409
대만,경상남도,202409,2.455,3838137
대만,경상남도,202410,2.371,5101272
대만,경상남도,202411,3.173,4513885
대만,경상남도,202412,3.341,4243213
대만,경상남도,202501,4.35,3482656
대만,경상남도,202502,3.963,3402645
대만,경상남도,202503,3.538,4727271
대만,경상남도,202504,3.62,5052865
대만,경상남도,202505,2.986,5001888
대만,경상남도,202506,2.932,5165059
대만,경상남도,202507,4.661,5050696
대만,경상남도,202508,4.129,5161201
대만,경상남도,202509,3.291,5621069
대만,경상남도,202510,3.474,6255197
대만,경상남도,202511,6.862,8321967
대만,경상남도,202512,4.796,5233360
대만,경상남도,202601,4.68,4304159
대만,경상남도,202602,5.735,3785557
대만,경상남도,202603,5.957,6118737
대만,경상남도,202604,5.865,6938692
대만,경상남도,202605,5.544,7243511
대만,경상남도,202606,4.626,6562127
대만,경상남도,202607,5.999,6295300
대만,경상북도,202001,1.365,1625896
대만,경상북도,202002,1.265,1121701
대만,경상북도,202003,0.202,452839
대만,경상북도,202004,0.226,453240
대만,경상북도,202005,0.155,693482
대만,경상북도,202006,0.246,744294
대만,경상북도,202007,0.221,982722
대만,경상북도,202008,0.099,1050543
대만,경상북도,202009,0.288,1027389
대만,경상북도,202010,0.491,1112678
대만,경상북도,202011,0.332,1068515
대만,경상북도,202012,0.362,967674
대만,경상북도,202101,0.214,841147
대만,경상북도,202102,0.359,762385
대만,경상북도,202103,0.272,1059629
대만,경상북도,202104,0.499,986932
대만,경상북도,202105,0.368,1067675
대만,경상북도,202106,0.256,1118099
대만,경상북도,202107,0.484,1236207
대만,경상북도,202108,0.747,1170875
대만,경상북도,202109,0.574,1225037
대만,경상북도,202110,0.542,1495777
대만,경상북도,202111,0.45,1485779
대만,경상북도,202112,0.317,1147668
대만,경상북도,202201,0.735,828004
대만,경상북도,202202,0.852,863708
대만,경상북도,202203,0.476,1216638
대만,경상북도,202204,0.898,1875661
대만,경상북도,202205,0.74,1874048
대만,경상북도,202206,0.964,2079262
대만,경상북도,202207,0.359,2354618
대만,경상북도,202208,0.659,2262054
대만,경상북도,202209,0.734,2339799
대만,경상북도,202210,0.937,3496325
대만,경상북도,202211,0.935,2581217
대만,경상북도,202212,0.649,2482295
대만,경상북도,202301,1.48,2016578
대만,경상북도,202302,1.144,2339935
대만,경상북도,202303,1.183,3628666
대만,경상북도,202304,1.355,4182818
대만,경상북도,202305,1.133,3826710
대만,경상북도,202306,1.488,3961784
대만,경상북도,202307,1.336,3716363
대만,경상북도,202308,1.347,3814148
대만,경상북도,202309,1.719,3825771
대만,경상북도,202310,1.68,4629207
대만,경상북도,202311,1.716,3827314
대만,경상북도,202312,1.558,2935639
대만,경상북도,202401,1.81,2414688
대만,경상북도,202402,2.155,2773465
대만,경상북도,202403,1.677,4618506
대만,경상북도,202404,1.933,4639326
대만,경상북도,202405,1.413,5046167
대만,경상북도,202406,1.801,4395343
대만,경상북도,202407,1.945,4089682
대만,경상북도,202408,1.469,5110201
대만,경상북도,202409,1.593,5450236
대만,경상북도,202410,1.917,6187358
대만,경상북도,202411,1.874,5287938
대만,경상북도,202412,1.652,4309976
대만,경상북도,202501,2.73,2994467
대만,경상북도,202502,3.499,3669191
대만,경상북도,202503,2.381,6655454
대만,경상북도,202504,1.432,6464151
대만,경상북도,202505,1.485,6318613
대만,경상북도,202506,1.816,5594361
대만,경상북도,202507,2.198,4772022
대만,경상북도,202508,2.119,5444693
대만,경상북도,202509,1.558,6010425
대만,경상북도,202510,2.335,8074866
대만,경상북도,202511,1.937,7052614
대만,경상북도,202512,1.864,4575833
대만,경상북도,202601,3.098,3031059
대만,경상북도,202602,3.994,3046291
대만,경상북도,202603,1.316,8021124
대만,경상북도,202604,1.739,9165578
대만,경상북도,202605,1.592,9483358
대만,경상북도,202606,2.337,7487848
대만,경상북도,202607,2.912,7217154
대만,광주광역시,202001,0.898,800621
대만,광주광역시,202002,0.678,543558
대만,광주광역시,202003,0.125,383465
대만,광주광역시,202004,0.135,450289
대만,광주광역시,202005,0.046,473306
대만,광주광역시,202006,0.046,426929
대만,광주광역시,202007,0.099,500090
대만,광주광역시,202008,0.064,409073
대만,광주광역시,202009,0.055,412703
대만,광주광역시,202010,0.025,559901
대만,광주광역시,202011,0.114,541820
대만,광주광역시,202012,0.224,499572
대만,광주광역시,202101,0.047,393509
대만,광주광역시,202102,0.243,415547
대만,광주광역시,202103,0.029,599508
대만,광주광역시,202104,0.05,548501
대만,광주광역시,202105,0.064,595741
대만,광주광역시,202106,0.066,560571
