방문자 거주지,방문지,기준년월,전체 외국인 방문자 수,거주지 방문자 수 비율(%)
대만,강원특별자치도,202001,155793,23.204
대만,강원특별자치도,202002,78089,15.630
대만,강원특별자치도,202003,3030,0.693
대만,강원특별자치도,202004,4840,0.310
대만,강원특별자치도,202005,4483,0.513
대만,강원특별자치도,202006,6347,0.741
대만,강원특별자치도,202007,4340,0.276
대만,강원특별자치도,202008,5165,0.794
대만,강원특별자치도,202009,4824,0.352
대만,강원특별자치도,202010,4489,0.267
대만,강원특별자치도,202011,4084,0.416
대만,강원특별자치도,202012,3549,0.282
대만,강원특별자치도,202101,7048,0.511
대만,강원특별자치도,202102,7889,0.748
대만,강원특별자치도,202103,9690,0.444
대만,강원특별자치도,202104,8484,0.212
대만,강원특별자치도,202105,9432,0.170
대만,강원특별자치도,202106,9403,0.213
대만,강원특별자치도,202107,11156,0.179
대만,강원특별자치도,202108,13493,0.585
대만,강원특별자치도,202109,11693,0.222
대만,강원특별자치도,202110,12725,0.314
대만,강원특별자치도,202111,10433,0.230
대만,강원특별자치도,202112,11036,0.353
대만,강원특별자치도,202201,12081,0.232
대만,강원특별자치도,202202,14742,0.597
대만,강원특별자치도,202203,14171,0.346
대만,강원특별자치도,202204,19600,0.235
대만,강원특별자치도,202205,31620,0.269
대만,강원특별자치도,202206,46109,0.293
대만,강원특별자치도,202207,57331,0.398
대만,강원특별자치도,202208,62000,0.890
대만,강원특별자치도,202209,58761,0.854
대만,강원특별자치도,202210,85157,2.454
대만,강원특별자치도,202211,63081,3.629
대만,강원특별자치도,202212,114406,8.182
대만,강원특별자치도,202301,131525,23.711
대만,강원특별자치도,202302,115731,16.503
대만,강원특별자치도,202303,98048,7.602
대만,강원특별자치도,202304,247608,9.193
대만,강원특별자치도,202305,235564,6.850
대만,강원특별자치도,202306,243846,7.343
대만,강원특별자치도,202307,266403,8.003
대만,강원특별자치도,202308,251695,11.425
대만,강원특별자치도,202309,230999,13.002
대만,강원특별자치도,202310,293984,11.972
대만,강원특별자치도,202311,216274,10.490
대만,강원특별자치도,202312,306455,13.565
대만,강원특별자치도,202401,287002,27.548
대만,강원특별자치도,202402,253974,23.952
대만,강원특별자치도,202403,207427,12.516
대만,강원특별자치도,202404,287107,12.426
대만,강원특별자치도,202405,296436,5.034
