방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
대만,서울특별시,쇼핑업,면세점,53.3,9.3
대만,서울특별시,쇼핑업,레저용품쇼핑,53.3,3.7
대만,서울특별시,쇼핑업,기타관광쇼핑,53.3,54.4
대만,서울특별시,쇼핑업,대형쇼핑몰,53.3,32.5
대만,서울특별시,숙박업,호텔,9.3,82.8
대만,서울특별시,숙박업,캠핑장/펜션,9.3,0.4
대만,서울특별시,숙박업,기타숙박,9.3,16.8
대만,서울특별시,숙박업,콘도,9.3,0.0
대만,서울특별시,식음료업,일반외식업,7.4,75.0
대만,서울특별시,식음료업,제과음료업,7.4,25.0
대만,서울특별시,여가서비스업,기타레저,0.5,24.8
대만,서울특별시,여가서비스업,문화서비스,0.5,73.2
대만,서울특별시,여가서비스업,골프장,0.5,1.6
대만,서울특별시,여가서비스업,관광유원시설,0.5,0.4
대만,서울특별시,여행업,여행업,0.0,100.0
대만,서울특별시,운송업,육상운송,3.1,97.2
대만,서울특별시,운송업,항공운송,3.1,2.8
대만,서울특별시,운송업,수상운송,3.1,0.0
대만,서울특별시,운송업,렌터카,3.1,0.1
대만,서울특별시,의료웰니스업,의료관광,26.3,46.7
대만,서울특별시,의료웰니스업,뷰티,26.3,53.3
