기준연월,방문자 거주지,방문지,거주지관광소비율(%),전체관광소비액(천원)
201801,대만,서울특별시,4.325,2.75544641E8
201802,대만,서울특별시,5.085,2.83293972E8
201803,대만,서울특별시,3.743,3.33943185E8
201804,대만,서울특별시,4.187,3.78053559E8
201805,대만,서울특별시,3.26,3.83383999E8
201806,대만,서울특별시,4.199,3.34312928E8
201807,대만,서울특별시,4.281,3.25389333E8
201808,대만,서울특별시,4.325,3.20891708E8
201809,대만,서울특별시,4.058,3.15757877E8
201810,대만,서울특별시,4.029,3.6509972E8
201811,대만,서울특별시,3.47,3.9466033E8
201812,대만,서울특별시,3.368,4.11482707E8
201901,대만,서울특별시,5.375,2.93280574E8
201902,대만,서울특별시,5.393,2.82379807E8
201903,대만,서울특별시,4.2,3.79025707E8
201904,대만,서울특별시,4.008,4.36642222E8
201905,대만,서울특별시,3.4,4.48214049E8
201906,대만,서울특별시,4.354,3.99725229E8
201907,대만,서울특별시,4.588,3.65914679E8
201908,대만,서울특별시,4.179,3.92026807E8
201909,대만,서울특별시,4.093,3.82044446E8
201910,대만,서울특별시,4.09,4.86130052E8
201911,대만,서울특별시,4.011,4.42260383E8
201912,대만,서울특별시,3.518,4.72429554E8
202001,대만,서울특별시,5.518,3.23591126E8
202002,대만,서울특별시,6.758,1.65021315E8
202003,대만,서울특별시,0.872,3.9607929E7
202004,대만,서울특별시,0.79,3.4592019E7
202005,대만,서울특별시,0.844,3.2205574E7
202006,대만,서울특별시,1.135,3.5002512E7
202007,대만,서울특별시,0.804,4.2129704E7
202008,대만,서울특별시,1.206,3.754692E7
202009,대만,서울특별시,1.118,3.8014955E7
202010,대만,서울특별시,1.287,4.0553731E7
202011,대만,서울특별시,0.974,4.1005532E7
202012,대만,서울특별시,0.997,3.9381949E7
202101,대만,서울특별시,1.296,3.2371588E7
202102,대만,서울특별시,1.182,2.9094392E7
202103,대만,서울특별시,0.992,3.6228725E7
202104,대만,서울특별시,0.777,3.7340626E7
202105,대만,서울특별시,0.802,4.0381266E7
202106,대만,서울특별시,0.857,4.2627805E7
202107,대만,서울특별시,0.858,4.467739E7
202108,대만,서울특별시,0.947,4.3973737E7
202109,대만,서울특별시,0.822,4.5483853E7
202110,대만,서울특별시,0.84,5.7342038E7
202111,대만,서울특별시,0.888,5.9382268E7
202112,대만,서울특별시,0.934,5.1963285E7
202201,대만,서울특별시,1.022,3.4584737E7
202202,대만,서울특별시,1.041,3.8686033E7
202203,대만,서울특별시,1.079,4.9976032E7
202204,대만,서울특별시,0.975,7.9997737E7
202205,대만,서울특별시,0.65,1.16074169E8
202206,대만,서울특별시,0.815,1.34735028E8
202207,대만,서울특별시,1.104,1.64672112E8
202208,대만,서울특별시,1.881,1.56532903E8
202209,대만,서울특별시,2.776,1.94589426E8
202210,대만,서울특별시,2.666,2.84435776E8
202211,대만,서울특별시,3.71,2.52644683E8
202212,대만,서울특별시,4.618,2.68880997E8
202301,대만,서울특별시,9.36,1.85223356E8
202302,대만,서울특별시,9.958,1.8698697E8
202303,대만,서울특별시,7.146,2.98978542E8
202304,대만,서울특별시,8.116,3.90884619E8
202305,대만,서울특별시,6.307,3.86869962E8
202306,대만,서울특별시,8.413,3.93095345E8
202307,대만,서울특별시,8.327,3.84085247E8
202308,대만,서울특별시,8.64,3.6187208E8
202309,대만,서울특별시,7.958,4.08312534E8
202310,대만,서울특별시,7.077,4.97571432E8
202311,대만,서울특별시,6.791,4.61569926E8
202312,대만,서울특별시,7.357,4.27712955E8
202401,대만,서울특별시,9.53,3.33073025E8
202402,대만,서울특별시,11.143,3.13936996E8
202403,대만,서울특별시,8.094,4.85227728E8
202404,대만,서울특별시,8.054,5.62583197E8
202405,대만,서울특별시,7.845,5.46757566E8
202406,대만,서울특별시,9.34,5.52141737E8
202407,대만,서울특별시,8.755,5.00013702E8
202408,대만,서울특별시,8.574,4.9483841E8
202409,대만,서울특별시,9.108,5.39680529E8
202410,대만,서울특별시,7.724,6.7911495E8
202411,대만,서울특별시,7.862,6.12108173E8
202412,대만,서울특별시,9.111,5.8472707E8
202501,대만,서울특별시,12.086,4.25920307E8
202502,대만,서울특별시,11.946,4.03508542E8
202503,대만,서울특별시,9.523,6.23504638E8
202504,대만,서울특별시,7.858,7.66372291E8
202505,대만,서울특별시,8.958,6.93613073E8
202506,대만,서울특별시,9.767,6.69033208E8
202507,대만,서울특별시,10.753,6.30938755E8
202508,대만,서울특별시,11.334,6.16991698E8
202509,대만,서울특별시,10.377,7.11460185E8
202510,대만,서울특별시,9.297,7.61065347E8
202511,대만,서울특별시,9.623,8.19495239E8
202512,대만,서울특별시,11.431,8.15634502E8
