방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
대만,서울특별시,쇼핑업,기타관광쇼핑,61.8,38.2
대만,서울특별시,쇼핑업,레저용품쇼핑,61.8,3.7
대만,서울특별시,쇼핑업,대형쇼핑몰,61.8,46.4
대만,서울특별시,쇼핑업,면세점,61.8,11.7
대만,서울특별시,숙박업,호텔,16.5,80.5
대만,서울특별시,숙박업,기타숙박,16.5,19.0
대만,서울특별시,숙박업,캠핑장/펜션,16.5,0.4
대만,서울특별시,숙박업,콘도,16.5,0.1
대만,서울특별시,식음료업,제과음료업,9.6,20.1
대만,서울특별시,식음료업,일반외식업,9.6,79.9
대만,서울특별시,여가서비스업,문화서비스,0.6,54.3
대만,서울특별시,여가서비스업,기타레저,0.6,43.6
대만,서울특별시,여가서비스업,골프장,0.6,1.8
대만,서울특별시,여가서비스업,관광유원시설,0.6,0.3
대만,서울특별시,여행업,여행업,0.0,100.0
대만,서울특별시,운송업,육상운송,4.1,96.7
대만,서울특별시,운송업,항공운송,4.1,3.1
대만,서울특별시,운송업,렌터카,4.1,0.2
대만,서울특별시,운송업,수상운송,4.1,0.1
대만,서울특별시,의료웰니스업,뷰티,7.4,62.7
대만,서울특별시,의료웰니스업,의료관광,7.4,37.3
