기준년월,구분,방문지,방문자 수,방문자 수 비율
202301,전체 외국인,서울특별시,1181600,
202302,전체 외국인,서울특별시,1296856,
202303,전체 외국인,서울특별시,1434333,
202304,전체 외국인,서울특별시,3136446,
202305,전체 외국인,서울특별시,3135586,
202306,전체 외국인,서울특별시,3092666,
202307,전체 외국인,서울특별시,3208067,
202308,전체 외국인,서울특별시,3414283,
202309,전체 외국인,서울특별시,3398620,
202310,전체 외국인,서울특별시,3779528,
202311,전체 외국인,서울특별시,3427845,
202312,전체 외국인,서울특별시,3294170,
202301,대만인,서울특별시,,18.807
202302,대만인,서울특별시,,15.684
202303,대만인,서울특별시,,7.273
202304,대만인,서울특별시,,11.028
202305,대만인,서울특별시,,10.467
202306,대만인,서울특별시,,11.766
202307,대만인,서울특별시,,11.854
202308,대만인,서울특별시,,14.445
202309,대만인,서울특별시,,15.473
202310,대만인,서울특별시,,11.720
202311,대만인,서울특별시,,10.521
202312,대만인,서울특별시,,13.292
