방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
미국,서울특별시,쇼핑업,면세점,36.1,6.6
미국,서울특별시,쇼핑업,레저용품쇼핑,36.1,3.9
미국,서울특별시,쇼핑업,기타관광쇼핑,36.1,38.5
미국,서울특별시,쇼핑업,대형쇼핑몰,36.1,51.0
미국,서울특별시,숙박업,호텔,22.9,88.8
미국,서울특별시,숙박업,캠핑장/펜션,22.9,0.1
미국,서울특별시,숙박업,기타숙박,22.9,10.8
미국,서울특별시,숙박업,콘도,22.9,0.3
미국,서울특별시,식음료업,일반외식업,16.7,81.8
미국,서울특별시,식음료업,제과음료업,16.7,18.2
미국,서울특별시,여가서비스업,기타레저,1.1,57.8
미국,서울특별시,여가서비스업,문화서비스,1.1,38.1
미국,서울특별시,여가서비스업,골프장,1.1,3.7
미국,서울특별시,여가서비스업,관광유원시설,1.1,0.4
미국,서울특별시,여가서비스업,스키장,1.1,0.0
미국,서울특별시,여행업,여행업,0.3,100.0
미국,서울특별시,운송업,육상운송,4.8,86.6
미국,서울특별시,운송업,항공운송,4.8,11.5
미국,서울특별시,운송업,렌터카,4.8,1.5
미국,서울특별시,운송업,수상운송,4.8,0.4
미국,서울특별시,의료웰니스업,의료관광,18.1,69.8
미국,서울특별시,의료웰니스업,뷰티,18.1,30.2
