기준연월,방문자 거주지,방문지,거주지관광소비율(%),전체관광소비액(천원)
201801,미국,서울특별시,9.311,2.75544641E8
201802,미국,서울특별시,10.375,2.83293972E8
201803,미국,서울특별시,10.421,3.33943185E8
201804,미국,서울특별시,9.933,3.78053559E8
201805,미국,서울특별시,9.665,3.83383999E8
201806,미국,서울특별시,11.588,3.34312928E8
201807,미국,서울특별시,11.749,3.25389333E8
201808,미국,서울특별시,10.545,3.20891708E8
201809,미국,서울특별시,11.332,3.15757877E8
201810,미국,서울특별시,12.261,3.6509972E8
201811,미국,서울특별시,9.949,3.9466033E8
201812,미국,서울특별시,8.667,4.11482707E8
201901,미국,서울특별시,9.705,2.93280574E8
201902,미국,서울특별시,8.804,2.82379807E8
201903,미국,서울특별시,10.133,3.79025707E8
201904,미국,서울특별시,9.862,4.36642222E8
201905,미국,서울특별시,9.815,4.48214049E8
201906,미국,서울특별시,11.894,3.99725229E8
201907,미국,서울특별시,11.889,3.65914679E8
201908,미국,서울특별시,10.53,3.92026807E8
201909,미국,서울특별시,11.925,3.82044446E8
201910,미국,서울특별시,11.349,4.86130052E8
201911,미국,서울특별시,10.765,4.42260383E8
201912,미국,서울특별시,9.2,4.72429554E8
202001,미국,서울특별시,9.957,3.23591126E8
202002,미국,서울특별시,13.953,1.65021315E8
202003,미국,서울특별시,19.159,3.9607929E7
202004,미국,서울특별시,20.581,3.4592019E7
202005,미국,서울특별시,33.806,3.2205574E7
202006,미국,서울특별시,38.638,3.5002512E7
202007,미국,서울특별시,37.693,4.2129704E7
202008,미국,서울특별시,40.776,3.754692E7
202009,미국,서울특별시,36.491,3.8014955E7
202010,미국,서울특별시,43.219,4.0553731E7
202011,미국,서울특별시,40.68,4.1005532E7
202012,미국,서울특별시,39.008,3.9381949E7
202101,미국,서울특별시,36.938,3.2371588E7
202102,미국,서울특별시,38.101,2.9094392E7
202103,미국,서울특별시,38.517,3.6228725E7
202104,미국,서울특별시,45.373,3.7340626E7
202105,미국,서울특별시,46.997,4.0381266E7
202106,미국,서울특별시,47.747,4.2627805E7
202107,미국,서울특별시,50.377,4.467739E7
202108,미국,서울특별시,45.88,4.3973737E7
202109,미국,서울특별시,44.813,4.5483853E7
202110,미국,서울특별시,44.955,5.7342038E7
202111,미국,서울특별시,44.775,5.9382268E7
202112,미국,서울특별시,42.715,5.1963285E7
202201,미국,서울특별시,39.812,3.4584737E7
202202,미국,서울특별시,35.97,3.8686033E7
202203,미국,서울특별시,37.57,4.9976032E7
202204,미국,서울특별시,42.444,7.9997737E7
202205,미국,서울특별시,40.834,1.16074169E8
202206,미국,서울특별시,40.463,1.34735028E8
202207,미국,서울특별시,38.552,1.64672112E8
202208,미국,서울특별시,35.437,1.56532903E8
202209,미국,서울특별시,35.077,1.94589426E8
202210,미국,서울특별시,31.66,2.84435776E8
202211,미국,서울특별시,28.851,2.52644683E8
202212,미국,서울특별시,23.267,2.68880997E8
202301,미국,서울특별시,21.559,1.85223356E8
202302,미국,서울특별시,21.463,1.8698697E8
202303,미국,서울특별시,22.164,2.98978542E8
202304,미국,서울특별시,21.923,3.90884619E8
202305,미국,서울특별시,22.721,3.86869962E8
202306,미국,서울특별시,24.488,3.93095345E8
202307,미국,서울특별시,22.143,3.84085247E8
202308,미국,서울특별시,19.558,3.6187208E8
202309,미국,서울특별시,21.26,4.08312534E8
202310,미국,서울특별시,21.795,4.97571432E8
202311,미국,서울특별시,20.292,4.61569926E8
202312,미국,서울특별시,17.885,4.27712955E8
202401,미국,서울특별시,16.573,3.33073025E8
202402,미국,서울특별시,16.434,3.13936996E8
202403,미국,서울특별시,19.563,4.85227728E8
202404,미국,서울특별시,19.384,5.62583197E8
202405,미국,서울특별시,19.935,5.46757566E8
202406,미국,서울특별시,23.707,5.52141737E8
202407,미국,서울특별시,21.543,5.00013702E8
202408,미국,서울특별시,18.612,4.9483841E8
202409,미국,서울특별시,19.205,5.39680529E8
202410,미국,서울특별시,20.661,6.7911495E8
202411,미국,서울특별시,20.282,6.12108173E8
202412,미국,서울특별시,19.24,5.8472707E8
202501,미국,서울특별시,17.983,4.25920307E8
202502,미국,서울특별시,17.799,4.03508542E8
202503,미국,서울특별시,19.86,6.23504638E8
202504,미국,서울특별시,19.84,7.66372291E8
202505,미국,서울특별시,19.32,6.93613073E8
202506,미국,서울특별시,22.247,6.69033208E8
202507,미국,서울특별시,19.837,6.30938755E8
202508,미국,서울특별시,16.759,6.16991698E8
202509,미국,서울특별시,18.583,7.11460185E8
202510,미국,서울특별시,20.516,7.61065347E8
202511,미국,서울특별시,20.436,8.19495239E8
202512,미국,서울특별시,18.098,8.15634502E8
