기준년월,구분,방문지,방문자 수,방문자 수 비율
202001,전체 외국인,서울특별시,2029695,
202002,전체 외국인,서울특별시,1087730,
202003,전체 외국인,서울특별시,34160,
202004,전체 외국인,서울특별시,47062,
202005,전체 외국인,서울특별시,53983,
202006,전체 외국인,서울특별시,69499,
202007,전체 외국인,서울특별시,63401,
202008,전체 외국인,서울특별시,80364,
202009,전체 외국인,서울특별시,78187,
202010,전체 외국인,서울특별시,75875,
202011,전체 외국인,서울특별시,73468,
202012,전체 외국인,서울특별시,72805,
202001,미국인,서울특별시,,3.057
202002,미국인,서울특별시,,3.314
202003,미국인,서울특별시,,7.389
202004,미국인,서울특별시,,15.267
202005,미국인,서울특별시,,16.157
202006,미국인,서울특별시,,18.580
202007,미국인,서울특별시,,33.709
202008,미국인,서울특별시,,33.138
202009,미국인,서울특별시,,36.322
202010,미국인,서울특별시,,39.452
202011,미국인,서울특별시,,38.534
202012,미국인,서울특별시,,39.570
