방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
미국,서울특별시,쇼핑업,기타관광쇼핑,35.9,36.6
미국,서울특별시,쇼핑업,레저용품쇼핑,35.9,4.3
미국,서울특별시,쇼핑업,대형쇼핑몰,35.9,53.4
미국,서울특별시,쇼핑업,면세점,35.9,5.8
미국,서울특별시,숙박업,기타숙박,17.1,7.2
미국,서울특별시,숙박업,캠핑장/펜션,17.1,0.1
미국,서울특별시,숙박업,호텔,17.1,91.9
미국,서울특별시,숙박업,콘도,17.1,0.8
미국,서울특별시,식음료업,제과음료업,20.1,21.0
미국,서울특별시,식음료업,일반외식업,20.1,79.0
미국,서울특별시,여가서비스업,문화서비스,1.5,20.9
미국,서울특별시,여가서비스업,기타레저,1.5,74.4
미국,서울특별시,여가서비스업,골프장,1.5,4.6
미국,서울특별시,여가서비스업,관광유원시설,1.5,0.1
미국,서울특별시,여행업,여행업,1.8,100.0
미국,서울특별시,운송업,항공운송,9.8,6.5
미국,서울특별시,운송업,수상운송,9.8,0.4
미국,서울특별시,운송업,육상운송,9.8,92.3
미국,서울특별시,운송업,렌터카,9.8,0.9
미국,서울특별시,의료웰니스업,뷰티,13.8,24.3
미국,서울특별시,의료웰니스업,의료관광,13.8,75.7
