기준연월,방문자 거주지,방문지,거주지관광소비율(%),전체관광소비액(천원)
201801,일본,서울특별시,8.571,2.75544641E8
201802,일본,서울특별시,7.376,2.83293972E8
201803,일본,서울특별시,9.38,3.33943185E8
201804,일본,서울특별시,7.108,3.78053559E8
201805,일본,서울특별시,7.676,3.83383999E8
201806,일본,서울특별시,8.765,3.34312928E8
201807,일본,서울특별시,9.133,3.25389333E8
201808,일본,서울특별시,10.825,3.20891708E8
201809,일본,서울특별시,9.607,3.15757877E8
201810,일본,서울특별시,10.173,3.6509972E8
201811,일본,서울특별시,9.806,3.9466033E8
201812,일본,서울특별시,8.871,4.11482707E8
201901,일본,서울특별시,10.372,2.93280574E8
201902,일본,서울특별시,9.108,2.82379807E8
201903,일본,서울특별시,11.038,3.79025707E8
201904,일본,서울특별시,8.016,4.36642222E8
201905,일본,서울특별시,8.452,4.48214049E8
201906,일본,서울특별시,9.136,3.99725229E8
201907,일본,서울특별시,9.561,3.65914679E8
201908,일본,서울특별시,10.152,3.92026807E8
201909,일본,서울특별시,8.648,3.82044446E8
201910,일본,서울특별시,7.146,4.86130052E8
201911,일본,서울특별시,8.656,4.42260383E8
201912,일본,서울특별시,8.38,4.72429554E8
202001,일본,서울특별시,10.221,3.23591126E8
202002,일본,서울특별시,19.248,1.65021315E8
202003,일본,서울특별시,7.323,3.9607929E7
202004,일본,서울특별시,3.452,3.4592019E7
202005,일본,서울특별시,4.206,3.2205574E7
202006,일본,서울특별시,4.19,3.5002512E7
202007,일본,서울특별시,4.273,4.2129704E7
202008,일본,서울특별시,4.626,3.754692E7
202009,일본,서울특별시,4.181,3.8014955E7
202010,일본,서울특별시,4.675,4.0553731E7
202011,일본,서울특별시,4.424,4.1005532E7
202012,일본,서울특별시,5.044,3.9381949E7
202101,일본,서울특별시,4.948,3.2371588E7
202102,일본,서울특별시,6.619,2.9094392E7
202103,일본,서울특별시,6.983,3.6228725E7
202104,일본,서울특별시,5.291,3.7340626E7
202105,일본,서울특별시,5.916,4.0381266E7
202106,일본,서울특별시,4.828,4.2627805E7
202107,일본,서울특별시,4.981,4.467739E7
202108,일본,서울특별시,5.514,4.3973737E7
202109,일본,서울특별시,5.619,4.5483853E7
202110,일본,서울특별시,4.988,5.7342038E7
202111,일본,서울특별시,5.157,5.9382268E7
202112,일본,서울특별시,5.144,5.1963285E7
202201,일본,서울특별시,5.849,3.4584737E7
202202,일본,서울특별시,6.398,3.8686033E7
202203,일본,서울특별시,6.273,4.9976032E7
202204,일본,서울특별시,4.446,7.9997737E7
202205,일본,서울특별시,4.049,1.16074169E8
202206,일본,서울특별시,3.785,1.34735028E8
202207,일본,서울특별시,4.627,1.64672112E8
202208,일본,서울특별시,8.098,1.56532903E8
202209,일본,서울특별시,7.407,1.94589426E8
202210,일본,서울특별시,7.972,2.84435776E8
202211,일본,서울특별시,9.166,2.52644683E8
202212,일본,서울특별시,10.06,2.68880997E8
202301,일본,서울특별시,12.247,1.85223356E8
202302,일본,서울특별시,15.622,1.8698697E8
202303,일본,서울특별시,17.16,2.98978542E8
202304,일본,서울특별시,10.411,3.90884619E8
202305,일본,서울특별시,13.819,3.86869962E8
202306,일본,서울특별시,14.602,3.93095345E8
202307,일본,서울특별시,15.662,3.84085247E8
202308,일본,서울특별시,18.542,3.6187208E8
202309,일본,서울특별시,17.046,4.08312534E8
202310,일본,서울특별시,14.391,4.97571432E8
202311,일본,서울특별시,17.563,4.61569926E8
202312,일본,서울특별시,13.881,4.27712955E8
202401,일본,서울특별시,15.143,3.33073025E8
202402,일본,서울특별시,18.039,3.13936996E8
202403,일본,서울특별시,19.084,4.85227728E8
202404,일본,서울특별시,12.943,5.62583197E8
202405,일본,서울특별시,14.428,5.46757566E8
202406,일본,서울특별시,14.313,5.52141737E8
202407,일본,서울특별시,15.039,5.00013702E8
202408,일본,서울특별시,18.292,4.9483841E8
202409,일본,서울특별시,18.105,5.39680529E8
202410,일본,서울특별시,14.866,6.7911495E8
202411,일본,서울특별시,17.37,6.12108173E8
202412,일본,서울특별시,14.069,5.8472707E8
202501,일본,서울특별시,14.411,4.25920307E8
202502,일본,서울특별시,18.172,4.03508542E8
202503,일본,서울특별시,18.425,6.23504638E8
202504,일본,서울특별시,11.316,7.66372291E8
202505,일본,서울특별시,14.327,6.93613073E8
202506,일본,서울특별시,14.174,6.69033208E8
202507,일본,서울특별시,15.211,6.30938755E8
202508,일본,서울특별시,18.082,6.16991698E8
202509,일본,서울특별시,16.729,7.11460185E8
202510,일본,서울특별시,12.498,7.61065347E8
202511,일본,서울특별시,15.397,8.19495239E8
202512,일본,서울특별시,13.513,8.15634502E8
