기준년월,구분,방문지,방문자 수,방문자 수 비율
202101,전체 외국인,서울특별시,86978,
202102,전체 외국인,서울특별시,106108,
202103,전체 외국인,서울특별시,138717,
202104,전체 외국인,서울특별시,119328,
202105,전체 외국인,서울특별시,123672,
202106,전체 외국인,서울특별시,124195,
202107,전체 외국인,서울특별시,139743,
202108,전체 외국인,서울특별시,174626,
202109,전체 외국인,서울특별시,164899,
202110,전체 외국인,서울특별시,180555,
202111,전체 외국인,서울특별시,155590,
202112,전체 외국인,서울특별시,155897,
202101,일본인,서울특별시,,1.941
202102,일본인,서울특별시,,1.255
202103,일본인,서울특별시,,0.952
202104,일본인,서울특별시,,0.974
202105,일본인,서울특별시,,1.886
202106,일본인,서울특별시,,1.240
202107,일본인,서울특별시,,0.983
202108,일본인,서울특별시,,1.925
202109,일본인,서울특별시,,0.918
202110,일본인,서울특별시,,1.192
202111,일본인,서울특별시,,1.373
202112,일본인,서울특별시,,0.899
