방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
일본,서울특별시,쇼핑업,면세점,43.6,11.0
일본,서울특별시,쇼핑업,대형쇼핑몰,43.6,36.2
일본,서울특별시,쇼핑업,레저용품쇼핑,43.6,5.4
일본,서울특별시,쇼핑업,기타관광쇼핑,43.6,47.5
일본,서울특별시,숙박업,호텔,13.0,80.5
일본,서울특별시,숙박업,캠핑장/펜션,13.0,0.3
일본,서울특별시,숙박업,기타숙박,13.0,19.1
일본,서울특별시,숙박업,콘도,13.0,0.1
일본,서울특별시,식음료업,일반외식업,13.1,77.8
일본,서울특별시,식음료업,제과음료업,13.1,22.2
일본,서울특별시,여가서비스업,골프장,0.5,2.1
일본,서울특별시,여가서비스업,기타레저,0.5,40.7
일본,서울특별시,여가서비스업,문화서비스,0.5,56.9
일본,서울특별시,여가서비스업,관광유원시설,0.5,0.3
일본,서울특별시,여행업,여행업,0.1,100.0
일본,서울특별시,운송업,육상운송,3.8,94.0
일본,서울특별시,운송업,항공운송,3.8,5.8
일본,서울특별시,운송업,렌터카,3.8,0.2
일본,서울특별시,운송업,수상운송,3.8,0.1
일본,서울특별시,의료웰니스업,의료관광,25.9,66.5
일본,서울특별시,의료웰니스업,뷰티,25.9,33.5
