방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
중국,서울특별시,쇼핑업,면세점,61.7,21.2
중국,서울특별시,쇼핑업,레저용품쇼핑,61.7,2.3
중국,서울특별시,쇼핑업,기타관광쇼핑,61.7,22.9
중국,서울특별시,쇼핑업,대형쇼핑몰,61.7,53.6
중국,서울특별시,숙박업,호텔,15.6,87.8
중국,서울특별시,숙박업,캠핑장/펜션,15.6,0.1
중국,서울특별시,숙박업,기타숙박,15.6,11.9
중국,서울특별시,숙박업,콘도,15.6,0.1
중국,서울특별시,식음료업,일반외식업,10.0,87.6
중국,서울특별시,식음료업,제과음료업,10.0,12.4
중국,서울특별시,여가서비스업,기타레저,0.5,45.6
중국,서울특별시,여가서비스업,문화서비스,0.5,52.2
중국,서울특별시,여가서비스업,골프장,0.5,2.1
중국,서울특별시,여가서비스업,관광유원시설,0.5,0.1
중국,서울특별시,여행업,여행업,0.1,100.0
중국,서울특별시,운송업,육상운송,1.2,74.4
중국,서울특별시,운송업,항공운송,1.2,24.7
중국,서울특별시,운송업,렌터카,1.2,0.8
중국,서울특별시,운송업,수상운송,1.2,0.2
중국,서울특별시,의료웰니스업,의료관광,11.0,68.8
중국,서울특별시,의료웰니스업,뷰티,11.0,31.2
