기준연월,방문자 거주지,방문지,거주지관광소비율(%),전체관광소비액(천원)
201801,중국,서울특별시,59.504,2.75544641E8
201802,중국,서울특별시,58.448,2.83293972E8
201803,중국,서울특별시,56.329,3.33943185E8
201804,중국,서울특별시,56.912,3.78053559E8
201805,중국,서울특별시,61.385,3.83383999E8
201806,중국,서울특별시,55.607,3.34312928E8
201807,중국,서울특별시,55.094,3.25389333E8
201808,중국,서울특별시,55.728,3.20891708E8
201809,중국,서울특별시,52.854,3.15757877E8
201810,중국,서울특별시,49.026,3.6509972E8
201811,중국,서울특별시,55.502,3.9466033E8
201812,중국,서울특별시,58.49,4.11482707E8
201901,중국,서울특별시,54.884,2.93280574E8
201902,중국,서울특별시,57.887,2.82379807E8
201903,중국,서울특별시,55.094,3.79025707E8
201904,중국,서울특별시,54.062,4.36642222E8
201905,중국,서울특별시,59.757,4.48214049E8
201906,중국,서울특별시,53.89,3.99725229E8
201907,중국,서울특별시,53.655,3.65914679E8
201908,중국,서울특별시,55.198,3.92026807E8
201909,중국,서울특별시,52.779,3.82044446E8
201910,중국,서울특별시,53.749,4.86130052E8
201911,중국,서울특별시,53.493,4.42260383E8
201912,중국,서울특별시,56.886,4.72429554E8
202001,중국,서울특별시,52.48,3.23591126E8
202002,중국,서울특별시,33.813,1.65021315E8
202003,중국,서울특별시,51.735,3.9607929E7
202004,중국,서울특별시,54.499,3.4592019E7
202005,중국,서울특별시,37.186,3.2205574E7
202006,중국,서울특별시,32.556,3.5002512E7
202007,중국,서울특별시,34.964,4.2129704E7
202008,중국,서울특별시,28.836,3.754692E7
202009,중국,서울특별시,36.285,3.8014955E7
202010,중국,서울특별시,26.963,4.0553731E7
202011,중국,서울특별시,30.13,4.1005532E7
202012,중국,서울특별시,30.967,3.9381949E7
202101,중국,서울특별시,32.136,3.2371588E7
202102,중국,서울특별시,28.19,2.9094392E7
202103,중국,서울특별시,25.796,3.6228725E7
202104,중국,서울특별시,21.855,3.7340626E7
202105,중국,서울특별시,19.723,4.0381266E7
202106,중국,서울특별시,20.258,4.2627805E7
202107,중국,서울특별시,19.414,4.467739E7
202108,중국,서울특별시,18.874,4.3973737E7
202109,중국,서울특별시,19.126,4.5483853E7
202110,중국,서울특별시,16.896,5.7342038E7
202111,중국,서울특별시,10.472,5.9382268E7
202112,중국,서울특별시,9.273,5.1963285E7
202201,중국,서울특별시,12.094,3.4584737E7
202202,중국,서울특별시,18.622,3.8686033E7
202203,중국,서울특별시,15.795,4.9976032E7
202204,중국,서울특별시,9.357,7.9997737E7
202205,중국,서울특별시,8.553,1.16074169E8
202206,중국,서울특별시,8.804,1.34735028E8
202207,중국,서울특별시,9.497,1.64672112E8
202208,중국,서울특별시,8.208,1.56532903E8
202209,중국,서울특별시,6.862,1.94589426E8
202210,중국,서울특별시,5.262,2.84435776E8
202211,중국,서울특별시,6.125,2.52644683E8
202212,중국,서울특별시,8.034,2.68880997E8
202301,중국,서울특별시,10.226,1.85223356E8
202302,중국,서울특별시,10.528,1.8698697E8
202303,중국,서울특별시,9.775,2.98978542E8
202304,중국,서울특별시,11.06,3.90884619E8
202305,중국,서울특별시,14.109,3.86869962E8
202306,중국,서울특별시,15.598,3.93095345E8
202307,중국,서울특별시,18.334,3.84085247E8
202308,중국,서울특별시,17.421,3.6187208E8
202309,중국,서울특별시,15.21,4.08312534E8
202310,중국,서울특별시,13.791,4.97571432E8
202311,중국,서울특별시,13.787,4.61569926E8
202312,중국,서울특별시,16.969,4.27712955E8
202401,중국,서울특별시,23.217,3.33073025E8
202402,중국,서울특별시,19.717,3.13936996E8
202403,중국,서울특별시,13.205,4.85227728E8
202404,중국,서울특별시,13.984,5.62583197E8
202405,중국,서울특별시,15.452,5.46757566E8
202406,중국,서울특별시,15.512,5.52141737E8
202407,중국,서울특별시,18.378,5.00013702E8
202408,중국,서울특별시,19.069,4.9483841E8
202409,중국,서울특별시,15.24,5.39680529E8
202410,중국,서울특별시,13.014,6.7911495E8
202411,중국,서울특별시,11.941,6.12108173E8
202412,중국,서울특별시,14.437,5.8472707E8
202501,중국,서울특별시,18.079,4.25920307E8
202502,중국,서울특별시,15.104,4.03508542E8
202503,중국,서울특별시,13.462,6.23504638E8
202504,중국,서울특별시,13.03,7.66372291E8
202505,중국,서울특별시,14.622,6.93613073E8
202506,중국,서울특별시,14.615,6.69033208E8
202507,중국,서울특별시,18.392,6.30938755E8
202508,중국,서울특별시,17.949,6.16991698E8
202509,중국,서울특별시,13.929,7.11460185E8
202510,중국,서울특별시,13.028,7.61065347E8
202511,중국,서울특별시,11.905,8.19495239E8
202512,중국,서울특별시,16.267,8.15634502E8
