방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
중국,서울특별시,쇼핑업,면세점,53.5,16.1
중국,서울특별시,쇼핑업,대형쇼핑몰,53.5,42.7
중국,서울특별시,쇼핑업,레저용품쇼핑,53.5,3.3
중국,서울특별시,쇼핑업,기타관광쇼핑,53.5,37.9
중국,서울특별시,숙박업,호텔,15.1,82.2
중국,서울특별시,숙박업,캠핑장/펜션,15.1,0.1
중국,서울특별시,숙박업,기타숙박,15.1,17.7
중국,서울특별시,숙박업,콘도,15.1,0.0
중국,서울특별시,식음료업,일반외식업,14.8,86.4
중국,서울특별시,식음료업,제과음료업,14.8,13.6
중국,서울특별시,여가서비스업,골프장,0.9,2.2
중국,서울특별시,여가서비스업,기타레저,0.9,45.4
중국,서울특별시,여가서비스업,문화서비스,0.9,52.2
중국,서울특별시,여가서비스업,관광유원시설,0.9,0.2
중국,서울특별시,여행업,여행업,0.0,100.0
중국,서울특별시,운송업,육상운송,1.9,86.4
중국,서울특별시,운송업,항공운송,1.9,13.1
중국,서울특별시,운송업,렌터카,1.9,0.4
중국,서울특별시,운송업,수상운송,1.9,0.2
중국,서울특별시,의료웰니스업,의료관광,13.8,59.9
중국,서울특별시,의료웰니스업,뷰티,13.8,40.1
