기준년월,구분,방문지,방문자 수,방문자 수 비율
202501,전체 외국인,서울특별시,2665409,
202502,전체 외국인,서울특별시,2386482,
202503,전체 외국인,서울특별시,3570478,
202504,전체 외국인,서울특별시,4190106,
202505,전체 외국인,서울특별시,4175491,
202506,전체 외국인,서울특별시,4170480,
202507,전체 외국인,서울특별시,4781449,
202508,전체 외국인,서울특별시,3997109,
202509,전체 외국인,서울특별시,4080530,
202510,전체 외국인,서울특별시,4724138,
202511,전체 외국인,서울특별시,4499486,
202512,전체 외국인,서울특별시,4168698,
202501,중국인,서울특별시,,20.524
202502,중국인,서울특별시,,21.340
202503,중국인,서울특별시,,19.041
202504,중국인,서울특별시,,19.092
202505,중국인,서울특별시,,21.344
202506,중국인,서울특별시,,19.832
202507,중국인,서울특별시,,24.718
202508,중국인,서울특별시,,27.767
202509,중국인,서울특별시,,22.075
202510,중국인,서울특별시,,19.196
202511,중국인,서울특별시,,17.763
202512,중국인,서울특별시,,20.068
