방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
태국,서울특별시,쇼핑업,면세점,57.4,5.4
태국,서울특별시,쇼핑업,레저용품쇼핑,57.4,4.6
태국,서울특별시,쇼핑업,기타관광쇼핑,57.4,45.4
태국,서울특별시,쇼핑업,대형쇼핑몰,57.4,44.7
태국,서울특별시,숙박업,호텔,11.0,80.6
태국,서울특별시,숙박업,캠핑장/펜션,11.0,0.4
태국,서울특별시,숙박업,기타숙박,11.0,18.9
태국,서울특별시,숙박업,콘도,11.0,0.1
태국,서울특별시,식음료업,일반외식업,9.8,81.0
태국,서울특별시,식음료업,제과음료업,9.8,19.0
태국,서울특별시,여가서비스업,기타레저,0.4,26.3
태국,서울특별시,여가서비스업,문화서비스,0.4,71.4
태국,서울특별시,여가서비스업,골프장,0.4,1.9
태국,서울특별시,여가서비스업,관광유원시설,0.4,0.4
태국,서울특별시,여행업,여행업,0.0,100.0
태국,서울특별시,운송업,육상운송,1.6,88.3
태국,서울특별시,운송업,항공운송,1.6,11.2
태국,서울특별시,운송업,렌터카,1.6,0.5
태국,서울특별시,운송업,수상운송,1.6,0.0
태국,서울특별시,의료웰니스업,의료관광,19.8,53.6
태국,서울특별시,의료웰니스업,뷰티,19.8,46.4
