기준연월,방문자 거주지,방문지,거주지관광소비율(%),전체관광소비액(천원)
201801,태국,서울특별시,1.95,2.75544641E8
201802,태국,서울특별시,1.591,2.83293972E8
201803,태국,서울특별시,2.076,3.33943185E8
201804,태국,서울특별시,2.507,3.78053559E8
201805,태국,서울특별시,1.779,3.83383999E8
201806,태국,서울특별시,1.577,3.34312928E8
201807,태국,서울특별시,1.523,3.25389333E8
201808,태국,서울특별시,1.144,3.20891708E8
201809,태국,서울특별시,1.459,3.15757877E8
201810,태국,서울특별시,2.452,3.6509972E8
201811,태국,서울특별시,1.717,3.9466033E8
201812,태국,서울특별시,2.223,4.11482707E8
201901,태국,서울특별시,2.06,2.93280574E8
201902,태국,서울특별시,2.068,2.82379807E8
201903,태국,서울특별시,2.08,3.79025707E8
201904,태국,서울특별시,2.679,4.36642222E8
201905,태국,서울특별시,1.982,4.48214049E8
201906,태국,서울특별시,1.506,3.99725229E8
201907,태국,서울특별시,1.605,3.65914679E8
201908,태국,서울특별시,1.406,3.92026807E8
201909,태국,서울특별시,1.666,3.82044446E8
201910,태국,서울특별시,2.448,4.86130052E8
201911,태국,서울특별시,2.272,4.42260383E8
201912,태국,서울특별시,2.624,4.72429554E8
202001,태국,서울특별시,2.373,3.23591126E8
202002,태국,서울특별시,3.738,1.65021315E8
202003,태국,서울특별시,0.97,3.9607929E7
202004,태국,서울특별시,1.941,3.4592019E7
202005,태국,서울특별시,1.46,3.2205574E7
202006,태국,서울특별시,1.043,3.5002512E7
202007,태국,서울특별시,0.85,4.2129704E7
202008,태국,서울특별시,1.527,3.754692E7
202009,태국,서울특별시,0.697,3.8014955E7
202010,태국,서울특별시,0.77,4.0553731E7
202011,태국,서울특별시,0.725,4.1005532E7
202012,태국,서울특별시,1.135,3.9381949E7
202101,태국,서울특별시,0.854,3.2371588E7
202102,태국,서울특별시,0.91,2.9094392E7
202103,태국,서울특별시,0.752,3.6228725E7
202104,태국,서울특별시,0.851,3.7340626E7
202105,태국,서울특별시,0.626,4.0381266E7
202106,태국,서울특별시,0.872,4.2627805E7
202107,태국,서울특별시,0.501,4.467739E7
202108,태국,서울특별시,0.698,4.3973737E7
202109,태국,서울특별시,0.699,4.5483853E7
202110,태국,서울특별시,0.844,5.7342038E7
202111,태국,서울특별시,0.972,5.9382268E7
202112,태국,서울특별시,0.916,5.1963285E7
202201,태국,서울특별시,1.301,3.4584737E7
202202,태국,서울특별시,1.281,3.8686033E7
202203,태국,서울특별시,1.132,4.9976032E7
202204,태국,서울특별시,3.178,7.9997737E7
202205,태국,서울특별시,5.496,1.16074169E8
202206,태국,서울특별시,5.046,1.34735028E8
202207,태국,서울특별시,6.065,1.64672112E8
202208,태국,서울특별시,3.813,1.56532903E8
202209,태국,서울특별시,4.027,1.94589426E8
202210,태국,서울특별시,6.462,2.84435776E8
202211,태국,서울특별시,5.206,2.52644683E8
202212,태국,서울특별시,6.28,2.68880997E8
202301,태국,서울특별시,4.951,1.85223356E8
202302,태국,서울특별시,4.997,1.8698697E8
202303,태국,서울특별시,5.245,2.98978542E8
202304,태국,서울특별시,7.118,3.90884619E8
202305,태국,서울특별시,4.786,3.86869962E8
202306,태국,서울특별시,3.416,3.93095345E8
202307,태국,서울특별시,3.252,3.84085247E8
202308,태국,서울특별시,2.378,3.6187208E8
202309,태국,서울특별시,2.845,4.08312534E8
202310,태국,서울특별시,4.58,4.97571432E8
202311,태국,서울특별시,3.47,4.61569926E8
202312,태국,서울특별시,3.636,4.27712955E8
202401,태국,서울특별시,2.632,3.33073025E8
202402,태국,서울특별시,3.034,3.13936996E8
202403,태국,서울특별시,3.026,4.85227728E8
202404,태국,서울특별시,4.563,5.62583197E8
202405,태국,서울특별시,3.264,5.46757566E8
202406,태국,서울특별시,2.132,5.52141737E8
202407,태국,서울특별시,2.099,5.00013702E8
202408,태국,서울특별시,1.581,4.9483841E8
202409,태국,서울특별시,1.774,5.39680529E8
202410,태국,서울특별시,3.529,6.7911495E8
202411,태국,서울특별시,2.709,6.12108173E8
202412,태국,서울특별시,3.098,5.8472707E8
202501,태국,서울특별시,2.212,4.25920307E8
202502,태국,서울특별시,2.641,4.03508542E8
202503,태국,서울특별시,2.565,6.23504638E8
202504,태국,서울특별시,3.566,7.66372291E8
202505,태국,서울특별시,2.646,6.93613073E8
202506,태국,서울특별시,1.797,6.69033208E8
202507,태국,서울특별시,1.936,6.30938755E8
202508,태국,서울특별시,1.405,6.16991698E8
202509,태국,서울특별시,1.879,7.11460185E8
202510,태국,서울특별시,3.141,7.61065347E8
202511,태국,서울특별시,2.68,8.19495239E8
202512,태국,서울특별시,3.212,8.15634502E8
