기준년월,구분,방문지,방문자 수,방문자 수 비율
202001,전체 외국인,서울특별시,2029695,
202002,전체 외국인,서울특별시,1087730,
202003,전체 외국인,서울특별시,34160,
202004,전체 외국인,서울특별시,47062,
202005,전체 외국인,서울특별시,53983,
202006,전체 외국인,서울특별시,69499,
202007,전체 외국인,서울특별시,63401,
202008,전체 외국인,서울특별시,80364,
202009,전체 외국인,서울특별시,78187,
202010,전체 외국인,서울특별시,75875,
202011,전체 외국인,서울특별시,73468,
202012,전체 외국인,서울특별시,72805,
202001,태국인,서울특별시,,1.628
202002,태국인,서울특별시,,3.039
202003,태국인,서울특별시,,1.232
202004,태국인,서울특별시,,0.446
202005,태국인,서울특별시,,0.228
202006,태국인,서울특별시,,0.312
202007,태국인,서울특별시,,0.226
202008,태국인,서울특별시,,0.250
202009,태국인,서울특별시,,0.150
202010,태국인,서울특별시,,0.132
202011,태국인,서울특별시,,0.125
202012,태국인,서울특별시,,0.124
