방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
태국,서울특별시,쇼핑업,기타관광쇼핑,58.3,39.8
태국,서울특별시,쇼핑업,레저용품쇼핑,58.3,6.0
태국,서울특별시,쇼핑업,대형쇼핑몰,58.3,48.0
태국,서울특별시,쇼핑업,면세점,58.3,6.3
태국,서울특별시,숙박업,기타숙박,14.1,21.5
태국,서울특별시,숙박업,호텔,14.1,77.8
태국,서울특별시,숙박업,캠핑장/펜션,14.1,0.6
태국,서울특별시,숙박업,콘도,14.1,0.1
태국,서울특별시,식음료업,제과음료업,10.9,17.0
태국,서울특별시,식음료업,일반외식업,10.9,83.0
태국,서울특별시,여가서비스업,문화서비스,0.4,78.1
태국,서울특별시,여가서비스업,기타레저,0.4,20.5
태국,서울특별시,여가서비스업,골프장,0.4,1.2
태국,서울특별시,여가서비스업,관광유원시설,0.4,0.2
태국,서울특별시,여행업,여행업,0.0,100.0
태국,서울특별시,운송업,육상운송,2.0,90.4
태국,서울특별시,운송업,렌터카,2.0,0.6
태국,서울특별시,운송업,항공운송,2.0,8.9
태국,서울특별시,운송업,수상운송,2.0,0.0
태국,서울특별시,의료웰니스업,의료관광,14.3,65.3
태국,서울특별시,의료웰니스업,뷰티,14.3,34.7
