방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
홍콩,서울특별시,쇼핑업,면세점,49.1,8.0
홍콩,서울특별시,쇼핑업,레저용품쇼핑,49.1,2.9
홍콩,서울특별시,쇼핑업,기타관광쇼핑,49.1,47.7
홍콩,서울특별시,쇼핑업,대형쇼핑몰,49.1,41.3
홍콩,서울특별시,숙박업,호텔,17.2,86.6
홍콩,서울특별시,숙박업,캠핑장/펜션,17.2,0.1
홍콩,서울특별시,숙박업,기타숙박,17.2,12.9
홍콩,서울특별시,숙박업,콘도,17.2,0.5
홍콩,서울특별시,식음료업,일반외식업,11.7,88.7
홍콩,서울특별시,식음료업,제과음료업,11.7,11.3
홍콩,서울특별시,여가서비스업,기타레저,0.7,46.1
홍콩,서울특별시,여가서비스업,문화서비스,0.7,49.5
홍콩,서울특별시,여가서비스업,골프장,0.7,4.0
홍콩,서울특별시,여가서비스업,관광유원시설,0.7,0.4
홍콩,서울특별시,여가서비스업,스키장,0.7,0.0
홍콩,서울특별시,여행업,여행업,0.1,100.0
홍콩,서울특별시,운송업,육상운송,2.9,95.0
홍콩,서울특별시,운송업,항공운송,2.9,4.3
홍콩,서울특별시,운송업,렌터카,2.9,0.7
홍콩,서울특별시,운송업,수상운송,2.9,0.1
홍콩,서울특별시,의료웰니스업,의료관광,18.3,61.0
홍콩,서울특별시,의료웰니스업,뷰티,18.3,39.0
