기준연월,방문자 거주지,방문지,거주지관광소비율(%),전체관광소비액(천원)
201801,홍콩,서울특별시,2.755,2.75544641E8
201802,홍콩,서울특별시,3.335,2.83293972E8
201803,홍콩,서울특별시,2.924,3.33943185E8
201804,홍콩,서울특별시,3.351,3.78053559E8
201805,홍콩,서울특별시,2.622,3.83383999E8
201806,홍콩,서울특별시,3.018,3.34312928E8
201807,홍콩,서울특별시,3.306,3.25389333E8
201808,홍콩,서울특별시,3.096,3.20891708E8
201809,홍콩,서울특별시,3.21,3.15757877E8
201810,홍콩,서울특별시,3.608,3.6509972E8
201811,홍콩,서울특별시,3.274,3.9466033E8
201812,홍콩,서울특별시,3.062,4.11482707E8
201901,홍콩,서울특별시,2.921,2.93280574E8
201902,홍콩,서울특별시,3.617,2.82379807E8
201903,홍콩,서울특별시,2.564,3.79025707E8
201904,홍콩,서울특별시,3.451,4.36642222E8
201905,홍콩,서울특별시,2.594,4.48214049E8
201906,홍콩,서울특별시,2.922,3.99725229E8
201907,홍콩,서울특별시,3.038,3.65914679E8
201908,홍콩,서울특별시,2.892,3.92026807E8
201909,홍콩,서울특별시,2.723,3.82044446E8
201910,홍콩,서울특별시,2.872,4.86130052E8
201911,홍콩,서울특별시,2.979,4.42260383E8
201912,홍콩,서울특별시,3.131,4.72429554E8
202001,홍콩,서울특별시,3.8,3.23591126E8
202002,홍콩,서울특별시,3.988,1.65021315E8
202003,홍콩,서울특별시,2.235,3.9607929E7
202004,홍콩,서울특별시,2.682,3.4592019E7
202005,홍콩,서울특별시,3.311,3.2205574E7
202006,홍콩,서울특별시,3.704,3.5002512E7
202007,홍콩,서울특별시,3.504,4.2129704E7
202008,홍콩,서울특별시,3.948,3.754692E7
202009,홍콩,서울특별시,3.507,3.8014955E7
202010,홍콩,서울특별시,3.455,4.0553731E7
202011,홍콩,서울특별시,3.271,4.1005532E7
202012,홍콩,서울특별시,3.143,3.9381949E7
202101,홍콩,서울특별시,4.687,3.2371588E7
202102,홍콩,서울특별시,3.881,2.9094392E7
202103,홍콩,서울특별시,4.262,3.6228725E7
202104,홍콩,서울특별시,3.614,3.7340626E7
202105,홍콩,서울특별시,3.766,4.0381266E7
202106,홍콩,서울특별시,3.772,4.2627805E7
202107,홍콩,서울특별시,3.355,4.467739E7
202108,홍콩,서울특별시,3.537,4.3973737E7
202109,홍콩,서울특별시,3.256,4.5483853E7
202110,홍콩,서울특별시,3.423,5.7342038E7
202111,홍콩,서울특별시,3.392,5.9382268E7
202112,홍콩,서울특별시,3.12,5.1963285E7
202201,홍콩,서울특별시,5.155,3.4584737E7
202202,홍콩,서울특별시,3.696,3.8686033E7
202203,홍콩,서울특별시,4.112,4.9976032E7
202204,홍콩,서울특별시,4.226,7.9997737E7
202205,홍콩,서울특별시,3.457,1.16074169E8
202206,홍콩,서울특별시,3.077,1.34735028E8
202207,홍콩,서울특별시,3.383,1.64672112E8
202208,홍콩,서울특별시,3.822,1.56532903E8
202209,홍콩,서울특별시,3.499,1.94589426E8
202210,홍콩,서울특별시,4.448,2.84435776E8
202211,홍콩,서울특별시,4.507,2.52644683E8
202212,홍콩,서울특별시,5.771,2.68880997E8
202301,홍콩,서울특별시,6.491,1.85223356E8
202302,홍콩,서울특별시,4.985,1.8698697E8
202303,홍콩,서울특별시,4.368,2.98978542E8
202304,홍콩,서울특별시,5.11,3.90884619E8
202305,홍콩,서울특별시,4.105,3.86869962E8
202306,홍콩,서울특별시,4.073,3.93095345E8
202307,홍콩,서울특별시,4.717,3.84085247E8
202308,홍콩,서울특별시,4.902,3.6187208E8
202309,홍콩,서울특별시,4.214,4.08312534E8
202310,홍콩,서울특별시,4.433,4.97571432E8
202311,홍콩,서울특별시,4.417,4.61569926E8
202312,홍콩,서울특별시,5.263,4.27712955E8
202401,홍콩,서울특별시,4.176,3.33073025E8
202402,홍콩,서울특별시,5.002,3.13936996E8
202403,홍콩,서울특별시,4.442,4.85227728E8
202404,홍콩,서울특별시,4.548,5.62583197E8
202405,홍콩,서울특별시,4.466,5.46757566E8
202406,홍콩,서울특별시,5.064,5.52141737E8
202407,홍콩,서울특별시,5.713,5.00013702E8
202408,홍콩,서울특별시,5.773,4.9483841E8
202409,홍콩,서울특별시,4.826,5.39680529E8
202410,홍콩,서울특별시,4.771,6.7911495E8
202411,홍콩,서울특별시,5.024,6.12108173E8
202412,홍콩,서울특별시,5.845,5.8472707E8
202501,홍콩,서울특별시,5.757,4.25920307E8
202502,홍콩,서울특별시,5.529,4.03508542E8
202503,홍콩,서울특별시,5.318,6.23504638E8
202504,홍콩,서울특별시,5.707,7.66372291E8
202505,홍콩,서울특별시,5.495,6.93613073E8
202506,홍콩,서울특별시,5.187,6.69033208E8
202507,홍콩,서울특별시,6.251,6.30938755E8
202508,홍콩,서울특별시,5.981,6.16991698E8
202509,홍콩,서울특별시,5.367,7.11460185E8
202510,홍콩,서울특별시,4.562,7.61065347E8
202511,홍콩,서울특별시,5.363,8.19495239E8
202512,홍콩,서울특별시,5.873,8.15634502E8
