방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
홍콩,서울특별시,쇼핑업,기타관광쇼핑,46.5,27.8
홍콩,서울특별시,쇼핑업,레저용품쇼핑,46.5,3.9
홍콩,서울특별시,쇼핑업,면세점,46.5,2.0
홍콩,서울특별시,쇼핑업,대형쇼핑몰,46.5,66.3
홍콩,서울특별시,숙박업,기타숙박,18.4,5.4
홍콩,서울특별시,숙박업,호텔,18.4,92.0
홍콩,서울특별시,숙박업,콘도,18.4,2.6
홍콩,서울특별시,숙박업,캠핑장/펜션,18.4,0.0
홍콩,서울특별시,식음료업,제과음료업,18.0,8.2
홍콩,서울특별시,식음료업,일반외식업,18.0,91.8
홍콩,서울특별시,여가서비스업,문화서비스,1.9,9.6
홍콩,서울특별시,여가서비스업,기타레저,1.9,77.9
홍콩,서울특별시,여가서비스업,골프장,1.9,12.4
홍콩,서울특별시,여가서비스업,관광유원시설,1.9,0.0
홍콩,서울특별시,여행업,여행업,0.0,100.0
홍콩,서울특별시,운송업,육상운송,3.0,90.3
홍콩,서울특별시,운송업,항공운송,3.0,7.4
홍콩,서울특별시,운송업,수상운송,3.0,1.2
홍콩,서울특별시,운송업,렌터카,3.0,1.1
홍콩,서울특별시,의료웰니스업,뷰티,12.3,26.7
홍콩,서울특별시,의료웰니스업,의료관광,12.3,73.3
