기준년월,구분,방문지,방문자 수,방문자 수 비율
202301,전체 외국인,서울특별시,1181600,
202302,전체 외국인,서울특별시,1296856,
202303,전체 외국인,서울특별시,1434333,
202304,전체 외국인,서울특별시,3136446,
202305,전체 외국인,서울특별시,3135586,
202306,전체 외국인,서울특별시,3092666,
202307,전체 외국인,서울특별시,3208067,
202308,전체 외국인,서울특별시,3414283,
202309,전체 외국인,서울특별시,3398620,
202310,전체 외국인,서울특별시,3779528,
202311,전체 외국인,서울특별시,3427845,
202312,전체 외국인,서울특별시,3294170,
202301,홍콩인,서울특별시,,7.650
202302,홍콩인,서울특별시,,3.620
202303,홍콩인,서울특별시,,4.001
202304,홍콩인,서울특별시,,4.867
202305,홍콩인,서울특별시,,3.709
202306,홍콩인,서울특별시,,4.038
202307,홍콩인,서울특별시,,4.543
202308,홍콩인,서울특별시,,4.671
202309,홍콩인,서울특별시,,3.052
202310,홍콩인,서울특별시,,3.834
202311,홍콩인,서울특별시,,4.173
202312,홍콩인,서울특별시,,5.216
