기준년월일,업종별 구분,소비액(천원)
2020,전체,8.68653264E8
2021,전체,5.20866974E8
2022,전체,1.775809633E9
2023,전체,4.38316297E9
2024,전체,6.204203083E9
2025,전체,7.937537785E9
2020,여행업,7468521.0
2020,숙박업,1.47182667E8
2020,운송업,3.6127406E7
2020,쇼핑업,4.23906819E8
2020,여가서비스업,8069855.0
2020,의료웰니스업,1.21236998E8
2020,식음료업,1.24660998E8
2021,여행업,625671.0
2021,숙박업,8.3014171E7
2021,운송업,3.154702E7
2021,쇼핑업,2.228725E8
2021,여가서비스업,8698586.0
2021,의료웰니스업,7.6702403E7
2021,식음료업,9.7406622E7
2022,여행업,2674715.0
2022,숙박업,3.9478419E8
2022,운송업,7.5206794E7
2022,쇼핑업,7.64358213E8
2022,여가서비스업,1.6730031E7
2022,의료웰니스업,2.39124548E8
2022,식음료업,2.82931141E8
2023,여행업,5943622.0
2023,숙박업,8.27097615E8
2023,운송업,1.59088068E8
2023,쇼핑업,2.017295229E9
2023,여가서비스업,3.4619834E7
2023,의료웰니스업,7.06949549E8
2023,식음료업,6.32169054E8
2024,여행업,7118742.0
2024,운송업,1.89619352E8
2024,식음료업,8.40811424E8
2024,의료웰니스업,1.286043526E9
2024,여가서비스업,4.9563454E7
2024,쇼핑업,2.82807223E9
2024,숙박업,1.002974354E9
2025,숙박업,1.032652753E9
2025,운송업,1.88324735E8
2025,쇼핑업,3.537824025E9
2025,여가서비스업,6.207584E7
2025,의료웰니스업,2.045557575E9
2025,여행업,6850240.0
2025,식음료업,1.064252617E9
